departamento,provincia,municipio,cluster,appareil,variante,trajectoire,annee,acces,possession
Beni,Yacuma,Exaltación,C1,computadora,centrale,acces_2035,2035,1.0,0.2563569960474675
Beni,Yacuma,Exaltación,C1,internet,centrale,acces_2035,2035,1.0,0.3408245193887109
Beni,Yacuma,Exaltación,C1,refrigerador,centrale,acces_2035,2050,1.0,0.5881040953481024
Beni,Yacuma,Exaltación,C1,microondas,centrale,acces_2035,2050,1.0,0.0766864514812912
Beni,Yacuma,Exaltación,C1,calefon,centrale,acces_2035,2050,1.0,0.0293774731002341
Beni,Yacuma,Exaltación,C1,aire_acondicionado,centrale,acces_2035,2050,1.0,0.0886685431673337
Beni,Yacuma,Exaltación,C1,lavadora,centrale,acces_2035,2050,1.0,0.3360973045851914
Beni,Yacuma,Exaltación,C1,radio,centrale,acces_2035,2050,1.0,0.4456435295145152
Beni,Yacuma,Exaltación,C1,television,centrale,acces_2035,2050,1.0,0.6646428445052183
Beni,Yacuma,Exaltación,C1,telefono,centrale,acces_2035,2050,1.0,0.8980726264535877
Beni,Yacuma,Exaltación,C1,computadora,centrale,acces_2035,2050,1.0,0.2563569960474675
Beni,Yacuma,Exaltación,C1,internet,centrale,acces_2035,2050,1.0,0.3408245193887109
Pando,Nicolás Suárez,Cobija,C5,refrigerador,centrale,acces_2035,2024,0.9746209200719608,0.7561576354679803
Pando,Nicolás Suárez,Cobija,C5,microondas,centrale,acces_2035,2024,0.9746209200719608,0.1357613689326852
Pando,Nicolás Suárez,Cobija,C5,calefon,centrale,acces_2035,2024,0.9746209200719608,0.0352862849533954
Pando,Nicolás Suárez,Cobija,C5,aire_acondicionado,centrale,acces_2035,2024,0.9746209200719608,0.188735769922109
Pando,Nicolás Suárez,Cobija,C5,lavadora,centrale,acces_2035,2024,0.9746209200719608,0.5479297031021169
Pando,Nicolás Suárez,Cobija,C5,radio,centrale,acces_2035,2024,0.9746209200719608,0.572103861517976
Pando,Nicolás Suárez,Cobija,C5,television,centrale,acces_2035,2024,0.9746209200719608,0.7450562620680471
Pando,Nicolás Suárez,Cobija,C5,telefono,centrale,acces_2035,2024,0.9746209200719608,0.9375416167265948
Pando,Nicolás Suárez,Cobija,C5,computadora,centrale,acces_2035,2024,0.9746209200719608,0.4310161139965375
Pando,Nicolás Suárez,Cobija,C5,internet,centrale,acces_2035,2024,0.9746209200719608,0.6279549843510688
Pando,Nicolás Suárez,Cobija,C5,refrigerador,centrale,acces_2035,2035,1.0,0.5881040953481024
Pando,Nicolás Suárez,Cobija,C5,microondas,centrale,acces_2035,2035,1.0,0.0766864514812912
Pando,Nicolás Suárez,Cobija,C5,calefon,centrale,acces_2035,2035,1.0,0.0293774731002341
Pando,Nicolás Suárez,Cobija,C5,aire_acondicionado,centrale,acces_2035,2035,1.0,0.0886685431673337
Pando,Nicolás Suárez,Cobija,C5,lavadora,centrale,acces_2035,2035,1.0,0.3360973045851914
Pando,Nicolás Suárez,Cobija,C5,radio,centrale,acces_2035,2035,1.0,0.4456435295145152
Pando,Nicolás Suárez,Cobija,C5,television,centrale,acces_2035,2035,1.0,0.6646428445052183
Pando,Nicolás Suárez,Cobija,C5,telefono,centrale,acces_2035,2035,1.0,0.8980726264535877
