departamento,provincia,municipio,cluster,trajectoire,annee,secteur,usage_final,demande_GWh
Pando,Madre de Dios,San Lorenzo,C4,acces_2035,2050,SERVICES,ELECTRICITY,0.7520169376808442
Pando,Madre de Dios,San Lorenzo,C4,acces_2050,2024,SERVICES,ELECTRICITY,0.3472488188188188
Pando,Madre de Dios,San Lorenzo,C4,acces_2050,2035,SERVICES,ELECTRICITY,0.5476063099801003
Pando,Madre de Dios,San Lorenzo,C4,acces_2050,2050,SERVICES,ELECTRICITY,0.7520169376808442
Pando,Madre de Dios,Sena,C4,acces_2035,2024,SERVICES,ELECTRICITY,0.7270803803803804
Pando,Madre de Dios,Sena,C4,acces_2035,2035,SERVICES,ELECTRICITY,1.9089899529139056
Pando,Madre de Dios,Sena,C4,acces_2035,2050,SERVICES,ELECTRICITY,2.4048983391265475
Pando,Madre de Dios,Sena,C4,acces_2050,2024,SERVICES,ELECTRICITY,0.7270803803803804
Pando,Madre de Dios,Sena,C4,acces_2050,2035,SERVICES,ELECTRICITY,1.5577993290564218
Pando,Madre de Dios,Sena,C4,acces_2050,2050,SERVICES,ELECTRICITY,2.4048983391265475
Pando,Manuripi,Filadelfia,C4,acces_2035,2024,SERVICES,ELECTRICITY,1.06370998998999
Pando,Manuripi,Filadelfia,C4,acces_2035,2035,SERVICES,ELECTRICITY,2.6104117883695346
Pando,Manuripi,Filadelfia,C4,acces_2035,2050,SERVICES,ELECTRICITY,3.296935552824053
Pando,Manuripi,Filadelfia,C4,acces_2050,2024,SERVICES,ELECTRICITY,1.06370998998999
Pando,Manuripi,Filadelfia,C4,acces_2050,2035,SERVICES,ELECTRICITY,2.106859044313367
Pando,Manuripi,Filadelfia,C4,acces_2050,2050,SERVICES,ELECTRICITY,3.296935552824053
Pando,Manuripi,Puerto Rico,C4,acces_2035,2024,SERVICES,ELECTRICITY,1.0896514914914914
Pando,Manuripi,Puerto Rico,C4,acces_2035,2035,SERVICES,ELECTRICITY,1.809556479703811
Pando,Manuripi,Puerto Rico,C4,acces_2035,2050,SERVICES,ELECTRICITY,2.2263950950931504
Pando,Manuripi,Puerto Rico,C4,acces_2050,2024,SERVICES,ELECTRICITY,1.0896514914914914
Pando,Manuripi,Puerto Rico,C4,acces_2050,2035,SERVICES,ELECTRICITY,1.6394338586459076
Pando,Manuripi,Puerto Rico,C4,acces_2050,2050,SERVICES,ELECTRICITY,2.2263950950931504
Pando,Manuripi,San Pedro,C4,acces_2035,2024,SERVICES,ELECTRICITY,0.0003456156156156156
Pando,Manuripi,San Pedro,C4,acces_2035,2035,SERVICES,ELECTRICITY,0.12676201534590223
Pando,Manuripi,San Pedro,C4,acces_2035,2050,SERVICES,ELECTRICITY,0.15881655041774861
Pando,Manuripi,San Pedro,C4,acces_2050,2024,SERVICES,ELECTRICITY,0.0003456156156156156
Pando,Manuripi,San Pedro,C4,acces_2050,2035,SERVICES,ELECTRICITY,0.05962751745415402
Pando,Manuripi,San Pedro,C4,acces_2050,2050,SERVICES,ELECTRICITY,0.15881655041774861
Pando,Nicolás Suárez,Bella Flor,C4,acces_2035,2024,SERVICES,ELECTRICITY,0.20521435435435434
Pando,Nicolás Suárez,Bella Flor,C4,acces_2035,2035,SERVICES,ELECTRICITY,0.45246882220434453
Pando,Nicolás Suárez,Bella Flor,C4,acces_2035,2050,SERVICES,ELECTRICITY,0.479757660876855
Pando,Nicolás Suárez,Bella Flor,C4,acces_2050,2024,SERVICES,ELECTRICITY,0.20521435435435434
Pando,Nicolás Suárez,Bella Flor,C4,acces_2050,2035,SERVICES,ELECTRICITY,0.34885860112605305
Pando,Nicolás Suárez,Bella Flor,C4,acces_2050,2050,SERVICES,ELECTRICITY,0.479757660876855
Pando,Nicolás Suárez,Bolpebra,C2,acces_2035,2024,SERVICES,ELECTRICITY,0.05626080080080079
Pando,Nicolás Suárez,Bolpebra,C2,acces_2035,2035,SERVICES,ELECTRICITY,0.2994137633921124
Pando,Nicolás Suárez,Bolpebra,C2,acces_2035,2050,SERVICES,ELECTRICITY,0.36127556715297127
Pando,Nicolás Suárez,Bolpebra,C2,acces_2050,2024,SERVICES,ELECTRICITY,0.05626080080080079
Pando,Nicolás Suárez,Bolpebra,C2,acces_2050,2035,SERVICES,ELECTRICITY,0.20164995695376078
Pando,Nicolás Suárez,Bolpebra,C2,acces_2050,2050,SERVICES,ELECTRICITY,0.36127556715297127
Pando,Nicolás Suárez,Cobija,C5,acces_2035,2024,SERVICES,ELECTRICITY,12.780668938938938
Pando,Nicolás Suárez,Cobija,C5,acces_2035,2035,SERVICES,ELECTRICITY,16.346302048192253
Pando,Nicolás Suárez,Cobija,C5,acces_2035,2050,SERVICES,ELECTRICITY,19.69553847436829
Pando,Nicolás Suárez,Cobija,C5,acces_2050,2024,SERVICES,ELECTRICITY,12.780668938938938
Pando,Nicolás Suárez,Cobija,C5,acces_2050,2035,SERVICES,ELECTRICITY,16.155124194229497
Pando,Nicolás Suárez,Cobija,C5,acces_2050,2050,SERVICES,ELECTRICITY,19.69553847436829
Pando,Nicolás Suárez,Porvenir,C4,acces_2035,2024,SERVICES,ELECTRICITY,1.1614853253253252
Pando,Nicolás Suárez,Porvenir,C4,acces_2035,2035,SERVICES,ELECTRICITY,1.8284064444829762
Pando,Nicolás Suárez,Porvenir,C4,acces_2035,2050,SERVICES,ELECTRICITY,2.2687339428565267
Pando,Nicolás Suárez,Porvenir,C4,acces_2050,2024,SERVICES,ELECTRICITY,1.1614853253253252
Pando,Nicolás Suárez,Porvenir,C4,acces_2050,2035,SERVICES,ELECTRICITY,1.707004420654814
Pando,Nicolás Suárez,Porvenir,C4,acces_2050,2050,SERVICES,ELECTRICITY,2.2687339428565267
Beni,General José Ballivián,Reyes,C1,acces_2035,2024,SERVICES,SPACE_COOLING,0.10869629629629629
Beni,General José Ballivián,Reyes,C1,acces_2035,2035,SERVICES,SPACE_COOLING,0.1529036606521153
Beni,General José Ballivián,Reyes,C1,acces_2035,2050,SERVICES,SPACE_COOLING,0.15864827521309013
Beni,General José Ballivián,Reyes,C1,acces_2050,2024,SERVICES,SPACE_COOLING,0.10869629629629629
Beni,General José Ballivián,Reyes,C1,acces_2050,2035,SERVICES,SPACE_COOLING,0.13621315956885885
Beni,General José Ballivián,Reyes,C1,acces_2050,2050,SERVICES,SPACE_COOLING,0.15864827521309013
Beni,General José Ballivián,Santa Rosa,C1,acces_2035,2024,SERVICES,SPACE_COOLING,0.09762694694694694
Beni,General José Ballivián,Santa Rosa,C1,acces_2035,2035,SERVICES,SPACE_COOLING,0.1742487841645093
Beni,General José Ballivián,Santa Rosa,C1,acces_2035,2050,SERVICES,SPACE_COOLING,0.20765610428421272
Beni,General José Ballivián,Santa Rosa,C1,acces_2050,2024,SERVICES,SPACE_COOLING,0.09762694694694694
Beni,General José Ballivián,Santa Rosa,C1,acces_2050,2035,SERVICES,SPACE_COOLING,0.1440662540505194
Beni,General José Ballivián,Santa Rosa,C1,acces_2050,2050,SERVICES,SPACE_COOLING,0.20765610428421272
Beni,Vaca Diez,Guayaramerín,C3,acces_2035,2024,SERVICES,SPACE_COOLING,0.9925338538538538
Beni,Vaca Diez,Guayaramerín,C3,acces_2035,2035,SERVICES,SPACE_COOLING,1.2903557774919316
Beni,Vaca Diez,Guayaramerín,C3,acces_2035,2050,SERVICES,SPACE_COOLING,1.4119151920718696
Beni,Vaca Diez,Guayaramerín,C3,acces_2050,2024,SERVICES,SPACE_COOLING,0.9925338538538538
Beni,Vaca Diez,Guayaramerín,C3,acces_2050,2035,SERVICES,SPACE_COOLING,1.2100416725535437
Beni,Vaca Diez,Guayaramerín,C3,acces_2050,2050,SERVICES,SPACE_COOLING,1.4119151920718696
Beni,Vaca Diez,Riberalta,C3,acces_2035,2024,SERVICES,SPACE_COOLING,2.0079100700700696
Beni,Vaca Diez,Riberalta,C3,acces_2035,2035,SERVICES,SPACE_COOLING,2.8419694876979658
Beni,Vaca Diez,Riberalta,C3,acces_2035,2050,SERVICES,SPACE_COOLING,3.3444478506398028
Beni,Vaca Diez,Riberalta,C3,acces_2050,2024,SERVICES,SPACE_COOLING,2.0079100700700696
Beni,Vaca Diez,Riberalta,C3,acces_2050,2035,SERVICES,SPACE_COOLING,2.6206035877756264
Beni,Vaca Diez,Riberalta,C3,acces_2050,2050,SERVICES,SPACE_COOLING,3.3444478506398028
Beni,Yacuma,Exaltación,C1,acces_2035,2024,SERVICES,SPACE_COOLING,0.008665745745745745
Beni,Yacuma,Exaltación,C1,acces_2035,2035,SERVICES,SPACE_COOLING,0.03842854590702281
Beni,Yacuma,Exaltación,C1,acces_2035,2050,SERVICES,SPACE_COOLING,0.04665287784896864
Beni,Yacuma,Exaltación,C1,acces_2050,2024,SERVICES,SPACE_COOLING,0.008665745745745745
Beni,Yacuma,Exaltación,C1,acces_2050,2035,SERVICES,SPACE_COOLING,0.025675593485534352
Beni,Yacuma,Exaltación,C1,acces_2050,2050,SERVICES,SPACE_COOLING,0.04665287784896864
La Paz,Abel Iturralde,Ixiamas,C1,acces_2035,2024,SERVICES,SPACE_COOLING,0.06790586586586585
La Paz,Abel Iturralde,Ixiamas,C1,acces_2035,2035,SERVICES,SPACE_COOLING,0.15746138856103695
La Paz,Abel Iturralde,Ixiamas,C1,acces_2035,2050,SERVICES,SPACE_COOLING,0.18664021689450452
La Paz,Abel Iturralde,Ixiamas,C1,acces_2050,2024,SERVICES,SPACE_COOLING,0.06790586586586585
La Paz,Abel Iturralde,Ixiamas,C1,acces_2050,2035,SERVICES,SPACE_COOLING,0.12103486126004762
La Paz,Abel Iturralde,Ixiamas,C1,acces_2050,2050,SERVICES,SPACE_COOLING,0.18664021689450452
Pando,Abuná,Ingavi,C4,acces_2035,2024,SERVICES,SPACE_COOLING,0.003353433433433433
Pando,Abuná,Ingavi,C4,acces_2035,2035,SERVICES,SPACE_COOLING,0.018595352467891825
Pando,Abuná,Ingavi,C4,acces_2035,2050,SERVICES,SPACE_COOLING,0.023491026339095094
Pando,Abuná,Ingavi,C4,acces_2050,2024,SERVICES,SPACE_COOLING,0.003353433433433433
Pando,Abuná,Ingavi,C4,acces_2050,2035,SERVICES,SPACE_COOLING,0.010360384753214824
Pando,Abuná,Ingavi,C4,acces_2050,2050,SERVICES,SPACE_COOLING,0.023491026339095094
Pando,Abuná,Santa Rosa,C4,acces_2035,2024,SERVICES,SPACE_COOLING,0.016856576576576576
Pando,Abuná,Santa Rosa,C4,acces_2035,2035,SERVICES,SPACE_COOLING,0.0308272970791817
Pando,Abuná,Santa Rosa,C4,acces_2035,2050,SERVICES,SPACE_COOLING,0.037766372216662666
Pando,Abuná,Santa Rosa,C4,acces_2050,2024,SERVICES,SPACE_COOLING,0.016856576576576576
Pando,Abuná,Santa Rosa,C4,acces_2050,2035,SERVICES,SPACE_COOLING,0.0269634376097871
Pando,Abuná,Santa Rosa,C4,acces_2050,2050,SERVICES,SPACE_COOLING,0.037766372216662666
Pando,Federico Román,Nueva Esperanza,C4,acces_2035,2024,SERVICES,SPACE_COOLING,0.002107507507507507
Pando,Federico Román,Nueva Esperanza,C4,acces_2035,2035,SERVICES,SPACE_COOLING,0.011324221991600898
Pando,Federico Román,Nueva Esperanza,C4,acces_2035,2050,SERVICES,SPACE_COOLING,0.01191647922404367
Pando,Federico Román,Nueva Esperanza,C4,acces_2050,2024,SERVICES,SPACE_COOLING,0.002107507507507507
Pando,Federico Román,Nueva Esperanza,C4,acces_2050,2035,SERVICES,SPACE_COOLING,0.0073539316274925486
Pando,Federico Román,Nueva Esperanza,C4,acces_2050,2050,SERVICES,SPACE_COOLING,0.01191647922404367
Pando,Federico Román,Santos Mercado,C4,acces_2035,2024,SERVICES,SPACE_COOLING,0.005579379379379379
Pando,Federico Román,Santos Mercado,C4,acces_2035,2035,SERVICES,SPACE_COOLING,0.016096340366877765
Pando,Federico Román,Santos Mercado,C4,acces_2035,2050,SERVICES,SPACE_COOLING,0.019805419966982055
Pando,Federico Román,Santos Mercado,C4,acces_2050,2024,SERVICES,SPACE_COOLING,0.005579379379379379
Pando,Federico Román,Santos Mercado,C4,acces_2050,2035,SERVICES,SPACE_COOLING,0.011760923401576553
Pando,Federico Román,Santos Mercado,C4,acces_2050,2050,SERVICES,SPACE_COOLING,0.019805419966982055
Pando,Federico Román,Villa Nueva,C4,acces_2035,2024,SERVICES,SPACE_COOLING,0.021432712712712715
Pando,Federico Román,Villa Nueva,C4,acces_2035,2035,SERVICES,SPACE_COOLING,0.04939906948760769
Pando,Federico Román,Villa Nueva,C4,acces_2035,2050,SERVICES,SPACE_COOLING,0.052636778492557365
Pando,Federico Román,Villa Nueva,C4,acces_2050,2024,SERVICES,SPACE_COOLING,0.021432712712712715
Pando,Federico Román,Villa Nueva,C4,acces_2050,2035,SERVICES,SPACE_COOLING,0.03715998434059688
Pando,Federico Román,Villa Nueva,C4,acces_2050,2050,SERVICES,SPACE_COOLING,0.052636778492557365
Pando,Madre de Dios,Puerto Gonzalo Moreno,C3,acces_2035,2024,SERVICES,SPACE_COOLING,0.0479664064064064
Pando,Madre de Dios,Puerto Gonzalo Moreno,C3,acces_2035,2035,SERVICES,SPACE_COOLING,0.08784126070848458
Pando,Madre de Dios,Puerto Gonzalo Moreno,C3,acces_2035,2050,SERVICES,SPACE_COOLING,0.11119567081744801
Pando,Madre de Dios,Puerto Gonzalo Moreno,C3,acces_2050,2024,SERVICES,SPACE_COOLING,0.0479664064064064
Pando,Madre de Dios,Puerto Gonzalo Moreno,C3,acces_2050,2035,SERVICES,SPACE_COOLING,0.07771620724301424
Pando,Madre de Dios,Puerto Gonzalo Moreno,C3,acces_2050,2050,SERVICES,SPACE_COOLING,0.11119567081744801
Pando,Madre de Dios,San Lorenzo,C4,acces_2035,2024,SERVICES,SPACE_COOLING,0.05949905905905905
Pando,Madre de Dios,San Lorenzo,C4,acces_2035,2035,SERVICES,SPACE_COOLING,0.10237888668495491
Pando,Madre de Dios,San Lorenzo,C4,acces_2035,2050,SERVICES,SPACE_COOLING,0.12885371458046962
Pando,Madre de Dios,San Lorenzo,C4,acces_2050,2024,SERVICES,SPACE_COOLING,0.05949905905905905
Pando,Madre de Dios,San Lorenzo,C4,acces_2050,2035,SERVICES,SPACE_COOLING,0.09382914617088868
Pando,Madre de Dios,San Lorenzo,C4,acces_2050,2050,SERVICES,SPACE_COOLING,0.12885371458046962
Pando,Madre de Dios,Sena,C4,acces_2035,2024,SERVICES,SPACE_COOLING,0.12458098098098098
Pando,Madre de Dios,Sena,C4,acces_2035,2035,SERVICES,SPACE_COOLING,0.3270942903072571
Pando,Madre de Dios,Sena,C4,acces_2035,2050,SERVICES,SPACE_COOLING,0.4120652988754498
Pando,Madre de Dios,Sena,C4,acces_2050,2024,SERVICES,SPACE_COOLING,0.12458098098098098
Pando,Madre de Dios,Sena,C4,acces_2050,2035,SERVICES,SPACE_COOLING,0.2669198259535376
Pando,Madre de Dios,Sena,C4,acces_2050,2050,SERVICES,SPACE_COOLING,0.4120652988754498
Pando,Manuripi,Filadelfia,C4,acces_2035,2024,SERVICES,SPACE_COOLING,0.18226050050050052
Pando,Manuripi,Filadelfia,C4,acces_2035,2035,SERVICES,SPACE_COOLING,0.4472788293218109
Pando,Manuripi,Filadelfia,C4,acces_2035,2050,SERVICES,SPACE_COOLING,0.5649106707940771
Pando,Manuripi,Filadelfia,C4,acces_2050,2024,SERVICES,SPACE_COOLING,0.18226050050050052
Pando,Manuripi,Filadelfia,C4,acces_2050,2035,SERVICES,SPACE_COOLING,0.3609980046386271
Pando,Manuripi,Filadelfia,C4,acces_2050,2050,SERVICES,SPACE_COOLING,0.5649106707940771
Pando,Manuripi,Puerto Rico,C4,acces_2035,2024,SERVICES,SPACE_COOLING,0.18670542542542543
Pando,Manuripi,Puerto Rico,C4,acces_2035,2035,SERVICES,SPACE_COOLING,0.3100569448236958
Pando,Manuripi,Puerto Rico,C4,acces_2035,2050,SERVICES,SPACE_COOLING,0.38147980949897403
Pando,Manuripi,Puerto Rico,C4,acces_2050,2024,SERVICES,SPACE_COOLING,0.18670542542542543
Pando,Manuripi,Puerto Rico,C4,acces_2050,2035,SERVICES,SPACE_COOLING,0.2809074262967877
Pando,Manuripi,Puerto Rico,C4,acces_2050,2050,SERVICES,SPACE_COOLING,0.38147980949897403
Pando,Manuripi,San Pedro,C4,acces_2035,2024,SERVICES,SPACE_COOLING,5.921921921921922e-05
Pando,Manuripi,San Pedro,C4,acces_2035,2035,SERVICES,SPACE_COOLING,0.02171993172839684
Pando,Manuripi,San Pedro,C4,acces_2035,2050,SERVICES,SPACE_COOLING,0.027212289288713203
Pando,Manuripi,San Pedro,C4,acces_2050,2024,SERVICES,SPACE_COOLING,5.921921921921922e-05
Pando,Manuripi,San Pedro,C4,acces_2050,2035,SERVICES,SPACE_COOLING,0.010216827215187393
Pando,Manuripi,San Pedro,C4,acces_2050,2050,SERVICES,SPACE_COOLING,0.027212289288713203
Pando,Nicolás Suárez,Bella Flor,C4,acces_2035,2024,SERVICES,SPACE_COOLING,0.03516228228228228
Pando,Nicolás Suárez,Bella Flor,C4,acces_2035,2035,SERVICES,SPACE_COOLING,0.07752789272629833
Pando,Nicolás Suárez,Bella Flor,C4,acces_2035,2050,SERVICES,SPACE_COOLING,0.08220367601435034
Pando,Nicolás Suárez,Bella Flor,C4,acces_2050,2024,SERVICES,SPACE_COOLING,0.03516228228228228
Pando,Nicolás Suárez,Bella Flor,C4,acces_2050,2035,SERVICES,SPACE_COOLING,0.05977488586502534
Pando,Nicolás Suárez,Bella Flor,C4,acces_2050,2050,SERVICES,SPACE_COOLING,0.08220367601435034
Pando,Nicolás Suárez,Bolpebra,C2,acces_2035,2024,SERVICES,SPACE_COOLING,0.00963995995995996
Pando,Nicolás Suárez,Bolpebra,C2,acces_2035,2035,SERVICES,SPACE_COOLING,0.0513028014083974
Pando,Nicolás Suárez,Bolpebra,C2,acces_2035,2050,SERVICES,SPACE_COOLING,0.06190246054615166
Pando,Nicolás Suárez,Bolpebra,C2,acces_2050,2024,SERVICES,SPACE_COOLING,0.00963995995995996
Pando,Nicolás Suárez,Bolpebra,C2,acces_2050,2035,SERVICES,SPACE_COOLING,0.03455154358439624
Pando,Nicolás Suárez,Bolpebra,C2,acces_2050,2050,SERVICES,SPACE_COOLING,0.06190246054615166
Pando,Nicolás Suárez,Cobija,C5,acces_2035,2024,SERVICES,SPACE_COOLING,2.1898930530530527
Pando,Nicolás Suárez,Cobija,C5,acces_2035,2035,SERVICES,SPACE_COOLING,2.800843482408126
Pando,Nicolás Suárez,Cobija,C5,acces_2035,2050,SERVICES,SPACE_COOLING,3.37471560269826
