N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA,NÚMERO DE VIVIENDAS | 2012 | Total,NÚMERO DE VIVIENDAS | 2012 | Red de empresa eléctrica (servicio público),NÚMERO DE VIVIENDAS | 2012 | Motor propio,NÚMERO DE VIVIENDAS | 2012 | Panel solar,NÚMERO DE VIVIENDAS | 2012 | Otra,NÚMERO DE VIVIENDAS | 2012 | No tiene,NÚMERO DE VIVIENDAS | 2024 | Total,NÚMERO DE VIVIENDAS | 2024 | Servicio público de energía eléctrica,NÚMERO DE VIVIENDAS | 2024 | Motor propio,NÚMERO DE VIVIENDAS | 2024 | Panel solar,NÚMERO DE VIVIENDAS | 2024 | Otra,NÚMERO DE VIVIENDAS | 2024 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2012 | Red de empresa eléctrica (servicio público),DISTRIBUCIÓN PORCENTUAL | 2012 | Motor propio,DISTRIBUCIÓN PORCENTUAL | 2012 | Panel solar,DISTRIBUCIÓN PORCENTUAL | 2012 | Otra,DISTRIBUCIÓN PORCENTUAL | 2012 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2024 | Servicio público de energía eléctrica,DISTRIBUCIÓN PORCENTUAL | 2024 | Motor propio,DISTRIBUCIÓN PORCENTUAL | 2024 | Panel solar,DISTRIBUCIÓN PORCENTUAL | 2024 | Otra,DISTRIBUCIÓN PORCENTUAL | 2024 | No tiene
280,Municipio/TIOC,La Paz,Ingavi,Taraco,Taraco,1819,1411,1,1,13,393,2562,2124,6,12,18,402,77.5700935,0.0549753,0.0549753,0.7146784,21.6052776,82.9039813,0.234192,0.4683841,0.7025761,15.6908665
281,Municipio/TIOC,La Paz,Ingavi,Taraco,Urbana,,,,,,,,,,,,,,,,,,,,,,
282,Municipio/TIOC,La Paz,Ingavi,Taraco,Rural,1819,1411,1,1,13,393,2562,2124,6,12,18,402,77.5700935,0.0549753,0.0549753,0.7146784,21.6052776,82.9039813,0.234192,0.4683841,0.7025761,15.6908665
283,Provincia,La Paz,Loayza,,Loayza,15147,10234,128,42,85,4658,21883,16657,98,283,167,4678,67.5645342,0.8450518,0.2772826,0.5611672,30.7519641,76.1184481,0.4478362,1.2932413,0.7631495,21.3773249
284,Provincia,La Paz,Loayza,,Urbana,,,,,,,444,364,7,7,5,61,,,,,,81.981982,1.5765766,1.5765766,1.1261261,13.7387387
285,Provincia,La Paz,Loayza,,Rural,15147,10234,128,42,85,4658,21439,16293,91,276,162,4617,67.5645342,0.8450518,0.2772826,0.5611672,30.7519641,75.9970148,0.4244601,1.2873735,0.7556323,21.5355194
286,Municipio/TIOC,La Paz,Loayza,Luribay,Luribay,3913,2786,5,3,3,1116,4434,3541,7,39,41,806,71.1985689,0.1277792,0.0766675,0.0766675,28.5203169,79.8601714,0.157871,0.879567,0.924673,18.1777176
287,Municipio/TIOC,La Paz,Loayza,Luribay,Urbana,,,,,,,,,,,,,,,,,,,,,,
288,Municipio/TIOC,La Paz,Loayza,Luribay,Rural,3913,2786,5,3,3,1116,4434,3541,7,39,41,806,71.1985689,0.1277792,0.0766675,0.0766675,28.5203169,79.8601714,0.157871,0.879567,0.924673,18.1777176
289,Municipio/TIOC,La Paz,Loayza,Sapahaqui,Sapahaqui,4624,2790,9,12,21,1792,6638,5080,8,78,52,1420,60.3373702,0.1946367,0.2595156,0.4541522,38.7543253,76.529075,0.1205182,1.1750527,0.7833685,21.3919855
290,Municipio/TIOC,La Paz,Loayza,Sapahaqui,Urbana,,,,,,,,,,,,,,,,,,,,,,
291,Municipio/TIOC,La Paz,Loayza,Sapahaqui,Rural,4624,2790,9,12,21,1792,6638,5080,8,78,52,1420,60.3373702,0.1946367,0.2595156,0.4541522,38.7543253,76.529075,0.1205182,1.1750527,0.7833685,21.3919855
292,Municipio/TIOC,La Paz,Loayza,Yaco,Yaco,2306,1520,11,3,8,764,4142,2864,25,63,39,1151,65.9150043,0.4770165,0.1300954,0.3469211,33.1309627,69.1453404,0.6035732,1.5210043,0.9415741,27.788508
293,Municipio/TIOC,La Paz,Loayza,Yaco,Urbana,,,,,,,444,364,7,7,5,61,,,,,,81.981982,1.5765766,1.5765766,1.1261261,13.7387387
294,Municipio/TIOC,La Paz,Loayza,Yaco,Rural,2306,1520,11,3,8,764,3698,2500,18,56,34,1090,65.9150043,0.4770165,0.1300954,0.3469211,33.1309627,67.6041103,0.4867496,1.5143321,0.9194159,29.4753921
295,Municipio/TIOC,La Paz,Loayza,Malla,Malla,1234,729,99,18,52,336,1777,1040,49,56,22,610,59.076175,8.0226904,1.458671,4.2139384,27.2285251,58.525605,2.7574564,3.1513787,1.2380416,34.3275183
296,Municipio/TIOC,La Paz,Loayza,Malla,Urbana,,,,,,,,,,,,,,,,,,,,,,
297,Municipio/TIOC,La Paz,Loayza,Malla,Rural,1234,729,99,18,52,336,1777,1040,49,56,22,610,59.076175,8.0226904,1.458671,4.2139384,27.2285251,58.525605,2.7574564,3.1513787,1.2380416,34.3275183
298,Municipio/TIOC,La Paz,Loayza,Cairoma,Cairoma,3070,2409,4,6,1,650,4892,4132,9,47,13,691,78.4690554,0.1302932,0.1954397,0.0325733,21.1726384,84.4644317,0.1839738,0.9607522,0.26574,14.1251022
299,Municipio/TIOC,La Paz,Loayza,Cairoma,Urbana,,,,,,,,,,,,,,,,,,,,,,
300,Municipio/TIOC,La Paz,Loayza,Cairoma,Rural,3070,2409,4,6,1,650,4892,4132,9,47,13,691,78.4690554,0.1302932,0.1954397,0.0325733,21.1726384,84.4644317,0.1839738,0.9607522,0.26574,14.1251022
301,Provincia,La Paz,Inquisivi,,Inquisivi,19846,11831,147,569,235,7064,30583,22035,266,1495,228,6559,59.614028,0.7407034,2.8670765,1.1841177,35.5940744,72.0498316,0.8697642,4.8883367,0.7455122,21.4465553
302,Provincia,La Paz,Inquisivi,,Urbana,3248,3115,4,0,2,127,5831,5549,10,18,16,238,95.9051724,0.1231527,0,0.0615764,3.9100985,95.1637798,0.1714972,0.3086949,0.2743955,4.0816327
303,Provincia,La Paz,Inquisivi,,Rural,16598,8716,143,569,233,6937,24752,16486,256,1477,212,6321,52.5123509,0.8615496,3.4281239,1.4037836,41.7941921,66.6047188,1.0342599,5.9671946,0.8564964,25.5373303
304,Municipio/TIOC,La Paz,Inquisivi,Inquisivi,Inquisivi,4894,1107,86,505,140,3056,7144,3536,109,1186,109,2204,22.6195341,1.7572538,10.3187577,2.8606457,62.4438087,49.4960806,1.5257559,16.6013438,1.5257559,30.8510638
305,Municipio/TIOC,La Paz,Inquisivi,Inquisivi,Urbana,,,,,,,,,,,,,,,,,,,,,,
306,Municipio/TIOC,La Paz,Inquisivi,Inquisivi,Rural,4894,1107,86,505,140,3056,7144,3536,109,1186,109,2204,22.6195341,1.7572538,10.3187577,2.8606457,62.4438087,49.4960806,1.5257559,16.6013438,1.5257559,30.8510638
307,Municipio/TIOC,La Paz,Inquisivi,Quime,Quime,3387,2395,34,34,52,872,4434,3434,72,103,70,755,70.7115441,1.0038382,1.0038382,1.535282,25.7454975,77.4470005,1.623816,2.322959,1.57871,17.0275147
308,Municipio/TIOC,La Paz,Inquisivi,Quime,Urbana,1158,1070,0,0,1,87,1610,1524,0,2,7,77,92.4006908,0,0,0.0863558,7.5129534,94.6583851,0,0.1242236,0.4347826,4.7826087
309,Municipio/TIOC,La Paz,Inquisivi,Quime,Rural,2229,1325,34,34,51,785,2824,1910,72,101,63,678,59.4436967,1.5253477,1.5253477,2.2880215,35.2175864,67.6345609,2.5495751,3.5764873,2.2308782,24.0084986
310,Municipio/TIOC,La Paz,Inquisivi,Cajuata,Cajuata,3019,2490,11,10,24,484,5809,4995,22,60,6,726,82.4776416,0.3643591,0.3312355,0.7949652,16.0317986,85.9872611,0.3787227,1.03288,0.103288,12.4978482
311,Municipio/TIOC,La Paz,Inquisivi,Cajuata,Urbana,,,,,,,706,699,1,2,0,4,,,,,,99.0084986,0.1416431,0.2832861,0,0.5665722
312,Municipio/TIOC,La Paz,Inquisivi,Cajuata,Rural,3019,2490,11,10,24,484,5103,4296,21,58,6,722,82.4776416,0.3643591,0.3312355,0.7949652,16.0317986,84.1857731,0.4115226,1.1365863,0.1175779,14.1485401
313,Municipio/TIOC,La Paz,Inquisivi,Colquiri,Colquiri,5830,4497,7,14,10,1302,7870,6428,20,88,27,1307,77.135506,0.1200686,0.2401372,0.1715266,22.3327616,81.6772554,0.2541296,1.1181703,0.343075,16.6073698
314,Municipio/TIOC,La Paz,Inquisivi,Colquiri,Urbana,1728,1707,4,0,0,17,2222,2173,5,7,7,30,98.7847222,0.2314815,0,0,0.9837963,97.7947795,0.2250225,0.3150315,0.3150315,1.350135
315,Municipio/TIOC,La Paz,Inquisivi,Colquiri,Rural,4102,2790,3,14,10,1285,5648,4255,15,81,20,1277,68.0156021,0.0731351,0.3412969,0.2437835,31.3261824,75.3364023,0.2655807,1.434136,0.3541076,22.6097734
316,Municipio/TIOC,La Paz,Inquisivi,Ichoca,Ichoca,1695,781,6,1,8,899,3455,2057,31,52,11,1304,46.0766962,0.3539823,0.0589971,0.4719764,53.0383481,59.536903,0.8972504,1.5050651,0.3183792,37.7424023
317,Municipio/TIOC,La Paz,Inquisivi,Ichoca,Urbana,,,,,,,480,377,3,4,1,95,,,,,,78.5416667,0.625,0.8333333,0.2083333,19.7916667
318,Municipio/TIOC,La Paz,Inquisivi,Ichoca,Rural,1695,781,6,1,8,899,2975,1680,28,48,10,1209,46.0766962,0.3539823,0.0589971,0.4719764,53.0383481,56.4705882,0.9411765,1.6134454,0.3361345,40.6386555
319,Municipio/TIOC,La Paz,Inquisivi,Villa Libertad Licoma,Villa Libertad Licoma,1021,561,3,5,1,451,1871,1585,12,6,5,263,54.9461312,0.2938296,0.489716,0.0979432,44.17238,84.7140567,0.6413683,0.3206841,0.2672368,14.0566542
320,Municipio/TIOC,La Paz,Inquisivi,Villa Libertad Licoma,Urbana,362,338,0,0,1,23,813,776,1,3,1,32,93.3701657,0,0,0.2762431,6.3535912,95.4489545,0.1230012,0.3690037,0.1230012,3.9360394
321,Municipio/TIOC,La Paz,Inquisivi,Villa Libertad Licoma,Rural,659,223,3,5,0,428,1058,809,11,3,4,231,33.8391502,0.4552352,0.7587253,0,64.9468892,76.4650284,1.0396975,0.2835539,0.3780718,21.8336484
322,Provincia,La Paz,Sur Yungas,,Sur Yungas,37770,17057,1788,520,2165,16240,49680,37027,374,928,368,10983,45.16018,4.7339158,1.376754,5.7320625,42.9970876,74.5309984,0.752818,1.8679549,0.7407407,22.1074879
323,Provincia,La Paz,Sur Yungas,,Urbana,3806,2949,65,1,43,748,6744,6007,44,10,38,645,77.4829217,1.7078297,0.0262743,1.1297951,19.6531792,89.0717675,0.6524318,0.14828,0.5634638,9.5640569
324,Provincia,La Paz,Sur Yungas,,Rural,33964,14108,1723,519,2122,15492,42936,31020,330,918,330,10338,41.5380992,5.0730185,1.5280886,6.2477918,45.613002,72.2470654,0.7685858,2.138066,0.7685858,24.077697
325,Municipio/TIOC,La Paz,Sur Yungas,Chulumani,Chulumani,6079,4871,12,16,27,1153,7214,6533,53,25,17,586,80.1283106,0.1974009,0.2632012,0.444152,18.9669354,90.5600222,0.7346826,0.3465484,0.2356529,8.123094
326,Municipio/TIOC,La Paz,Sur Yungas,Chulumani,Urbana,760,743,0,0,2,15,1081,1051,11,0,1,18,97.7631579,0,0,0.2631579,1.9736842,97.2247919,1.0175763,0,0.0925069,1.6651249
327,Municipio/TIOC,La Paz,Sur Yungas,Chulumani,Rural,5319,4128,12,16,25,1138,6133,5482,42,25,16,568,77.608573,0.2256063,0.3008084,0.4700132,21.3949991,89.3852927,0.6848198,0.4076308,0.2608837,9.2613729
328,Municipio/TIOC,La Paz,Sur Yungas,Irupana,Irupana,6499,4033,75,151,69,2171,9458,7801,55,102,37,1463,62.0557009,1.1540237,2.3234344,1.0617018,33.4051393,82.4804398,0.5815183,1.0784521,0.3912032,15.4683866
329,Municipio/TIOC,La Paz,Sur Yungas,Irupana,Urbana,,,,,,,1372,1273,6,3,3,87,,,,,,92.7842566,0.4373178,0.2186589,0.2186589,6.3411079
330,Municipio/TIOC,La Paz,Sur Yungas,Irupana,Rural,6499,4033,75,151,69,2171,8086,6528,49,99,34,1376,62.0557009,1.1540237,2.3234344,1.0617018,33.4051393,80.7321296,0.6059857,1.2243384,0.4204798,17.0170665
331,Municipio/TIOC,La Paz,Sur Yungas,Yanacachi,Yanacachi,2308,1938,8,14,3,345,2998,2470,71,41,115,301,83.9688042,0.3466205,0.6065858,0.1299827,14.9480069,82.3882588,2.3682455,1.3675784,3.8358906,10.0400267
332,Municipio/TIOC,La Paz,Sur Yungas,Yanacachi,Urbana,,,,,,,,,,,,,,,,,,,,,,
333,Municipio/TIOC,La Paz,Sur Yungas,Yanacachi,Rural,2308,1938,8,14,3,345,2998,2470,71,41,115,301,83.9688042,0.3466205,0.6065858,0.1299827,14.9480069,82.3882588,2.3682455,1.3675784,3.8358906,10.0400267
334,Municipio/TIOC,La Paz,Sur Yungas,Palos Blancos,Palos Blancos,9246,4908,69,39,80,4150,11630,7134,64,188,127,4117,53.082414,0.7462687,0.421804,0.865239,44.8842743,61.3413586,0.5503009,1.616509,1.0920034,35.399828
335,Municipio/TIOC,La Paz,Sur Yungas,Palos Blancos,Urbana,2037,1526,5,0,19,487,2994,2441,7,6,31,509,74.9140893,0.245459,0,0.9327442,23.9077074,81.5297261,0.2338009,0.2004008,1.0354041,17.000668
336,Municipio/TIOC,La Paz,Sur Yungas,Palos Blancos,Rural,7209,3382,64,39,61,3663,8636,4693,57,182,96,3608,46.9135802,0.8877792,0.5409904,0.8461645,50.8114856,54.3422881,0.6600278,2.1074572,1.1116258,41.7786012
337,Municipio/TIOC,La Paz,Sur Yungas,La Asunta,La Asunta,13638,1307,1624,300,1986,8421,18380,13089,131,572,72,4516,9.5835166,11.9079044,2.199736,14.5622525,61.7465904,71.2132753,0.7127312,3.1120783,0.3917301,24.570185
338,Municipio/TIOC,La Paz,Sur Yungas,La Asunta,Urbana,1009,680,60,1,22,246,1297,1242,20,1,3,31,67.3934589,5.9464817,0.099108,2.1803766,24.3805748,95.7594449,1.54202,0.077101,0.231303,2.3901311
339,Municipio/TIOC,La Paz,Sur Yungas,La Asunta,Rural,12629,627,1564,299,1964,8175,17083,11847,111,571,69,4485,4.9647636,12.3841951,2.3675667,15.5515084,64.7319661,69.3496458,0.6497688,3.3425042,0.4039103,26.2541708
340,Provincia,La Paz,Los Andes,,Los Andes,27292,18540,42,138,304,8268,46763,34923,137,589,544,10570,67.9319947,0.1538913,0.5056427,1.1138795,30.2945918,74.6808374,0.2929667,1.2595428,1.1633129,22.6033402
341,Provincia,La Paz,Los Andes,,Urbana,700,639,0,1,5,55,12755,9699,45,104,209,2698,91.2857143,0,0.1428571,0.7142857,7.8571429,76.0407683,0.3528028,0.8153665,1.6385731,21.1524892
342,Provincia,La Paz,Los Andes,,Rural,26592,17901,42,137,299,8213,34008,25224,92,485,335,7872,67.3172383,0.1579422,0.5151925,1.1243983,30.8852286,74.1707833,0.2705246,1.426135,0.9850623,23.1474947
343,Municipio/TIOC,La Paz,Los Andes,Pucarani,Pucarani,11121,7055,25,102,166,3773,21459,15390,62,312,307,5388,63.4385397,0.2247999,0.9171837,1.4926715,33.9268051,71.7181602,0.2889231,1.4539354,1.4306352,25.1083461
344,Municipio/TIOC,La Paz,Los Andes,Pucarani,Urbana,,,,,,,7346,5170,28,75,142,1931,,,,,,70.3784372,0.3811598,1.0209638,1.9330248,26.2864144
345,Municipio/TIOC,La Paz,Los Andes,Pucarani,Rural,11121,7055,25,102,166,3773,14113,10220,34,237,165,3457,63.4385397,0.2247999,0.9171837,1.4926715,33.9268051,72.4155034,0.2409126,1.6793028,1.1691348,24.4951463
346,Municipio/TIOC,La Paz,Los Andes,Laja,Laja,7761,5379,9,21,51,2301,13613,10527,47,153,148,2738,69.3080789,0.1159644,0.2705837,0.6571318,29.6482412,77.3304929,0.3452582,1.1239257,1.0871961,20.1131272
347,Municipio/TIOC,La Paz,Los Andes,Laja,Urbana,,,,,,,4394,3604,15,22,65,688,,,,,,82.0209376,0.3413746,0.5006827,1.4792899,15.6577151
348,Municipio/TIOC,La Paz,Los Andes,Laja,Rural,7761,5379,9,21,51,2301,9219,6923,32,131,83,2050,69.3080789,0.1159644,0.2705837,0.6571318,29.6482412,75.0949127,0.3471092,1.4209784,0.9003146,22.2366851
349,Municipio/TIOC,La Paz,Los Andes,Batallas,Batallas,6062,4344,4,12,57,1645,8503,6509,22,93,63,1816,71.6595183,0.0659848,0.1979545,0.9402837,27.1362587,76.5494531,0.2587322,1.0937316,0.740915,21.3571681
350,Municipio/TIOC,La Paz,Los Andes,Batallas,Urbana,700,639,0,1,5,55,1015,925,2,7,2,79,91.2857143,0,0.1428571,0.7142857,7.8571429,91.1330049,0.1970443,0.6896552,0.1970443,7.7832512
351,Municipio/TIOC,La Paz,Los Andes,Batallas,Rural,5362,3705,4,11,52,1590,7488,5584,20,86,61,1737,69.0973517,0.074599,0.2051473,0.9697874,29.6531145,74.5726496,0.267094,1.1485043,0.8146368,23.1971154
352,Municipio/TIOC,La Paz,Los Andes,Puerto Pérez,Puerto Pérez,2348,1762,4,3,30,549,3188,2497,6,31,26,628,75.0425894,0.1703578,0.1277683,1.2776831,23.3816014,78.3249686,0.1882058,0.9723965,0.8155583,19.6988708
353,Municipio/TIOC,La Paz,Los Andes,Puerto Pérez,Urbana,,,,,,,,,,,,,,,,,,,,,,
354,Municipio/TIOC,La Paz,Los Andes,Puerto Pérez,Rural,2348,1762,4,3,30,549,3188,2497,6,31,26,628,75.0425894,0.1703578,0.1277683,1.2776831,23.3816014,78.3249686,0.1882058,0.9723965,0.8155583,19.6988708
355,Provincia,La Paz,Aroma,,Aroma,31288,20264,78,73,332,10541,42289,32076,103,403,415,9292,64.7660445,0.2492969,0.2333163,1.0611097,33.6902327,75.8495117,0.2435622,0.9529665,0.9813427,21.972617
356,Provincia,La Paz,Aroma,,Urbana,8433,6856,8,6,50,1513,12480,10384,43,135,106,1812,81.2996561,0.0948654,0.0711491,0.5929088,17.9414206,83.2051282,0.3445513,1.0817308,0.849359,14.5192308
357,Provincia,La Paz,Aroma,,Rural,22855,13408,70,67,282,9028,29809,21692,60,268,309,7480,58.6654999,0.3062787,0.2931525,1.2338657,39.5012032,72.7699688,0.2012815,0.8990573,1.0365997,25.0930927
358,Municipio/TIOC,La Paz,Aroma,Sicasica,Sicasica,9420,6169,20,13,61,3157,12627,9370,32,94,118,3013,65.4883227,0.2123142,0.1380042,0.6475584,33.5138004,74.2060664,0.2534252,0.7444365,0.9345054,23.8615665
359,Municipio/TIOC,La Paz,Aroma,Sicasica,Urbana,3024,2465,4,1,11,543,3749,3085,16,25,27,596,81.5145503,0.1322751,0.0330688,0.3637566,17.9563492,82.2886103,0.4267805,0.6668445,0.7201921,15.8975727
360,Municipio/TIOC,La Paz,Aroma,Sicasica,Rural,6396,3704,16,12,50,2614,8878,6285,16,69,91,2417,57.9111945,0.2501563,0.1876173,0.7817386,40.8692933,70.7929714,0.1802208,0.7772021,1.0250056,27.2246001
361,Municipio/TIOC,La Paz,Aroma,Umala,Umala,3249,1814,3,9,34,1389,3921,2939,6,39,21,916,55.8325639,0.0923361,0.2770083,1.0464758,42.7516159,74.9553685,0.1530222,0.9946442,0.5355777,23.3613874
362,Municipio/TIOC,La Paz,Aroma,Umala,Urbana,,,,,,,,,,,,,,,,,,,,,,
363,Municipio/TIOC,La Paz,Aroma,Umala,Rural,3249,1814,3,9,34,1389,3921,2939,6,39,21,916,55.8325639,0.0923361,0.2770083,1.0464758,42.7516159,74.9553685,0.1530222,0.9946442,0.5355777,23.3613874
364,Municipio/TIOC,La Paz,Aroma,Ayo Ayo,Ayo Ayo,2823,1618,8,14,58,1125,4794,3104,11,52,53,1574,57.3149132,0.2833865,0.4959263,2.0545519,39.8512221,64.7476012,0.2294535,1.0846892,1.1055486,32.8327076
365,Municipio/TIOC,La Paz,Aroma,Ayo Ayo,Urbana,,,,,,,,,,,,,,,,,,,,,,
366,Municipio/TIOC,La Paz,Aroma,Ayo Ayo,Rural,2823,1618,8,14,58,1125,4794,3104,11,52,53,1574,57.3149132,0.2833865,0.4959263,2.0545519,39.8512221,64.7476012,0.2294535,1.0846892,1.1055486,32.8327076
367,Municipio/TIOC,La Paz,Aroma,Calamarca,Calamarca,3827,2471,16,12,56,1272,5467,4308,11,33,70,1045,64.5675464,0.418082,0.3135615,1.4632872,33.2375229,78.8000732,0.2012072,0.6036217,1.2804097,19.1146881
368,Municipio/TIOC,La Paz,Aroma,Calamarca,Urbana,,,,,,,,,,,,,,,,,,,,,,
369,Municipio/TIOC,La Paz,Aroma,Calamarca,Rural,3827,2471,16,12,56,1272,5467,4308,11,33,70,1045,64.5675464,0.418082,0.3135615,1.4632872,33.2375229,78.8000732,0.2012072,0.6036217,1.2804097,19.1146881
370,Municipio/TIOC,La Paz,Aroma,Patacamaya,Patacamaya,7497,5507,24,10,57,1899,9347,7763,23,45,77,1439,73.4560491,0.3201281,0.1333867,0.7603041,25.3301321,83.0533861,0.2460683,0.4814379,0.8237937,15.395314
371,Municipio/TIOC,La Paz,Aroma,Patacamaya,Urbana,3794,3158,1,2,19,614,5100,4459,16,22,38,565,83.2366895,0.0263574,0.0527148,0.5007907,16.1834475,87.4313725,0.3137255,0.4313725,0.745098,11.0784314
372,Municipio/TIOC,La Paz,Aroma,Patacamaya,Rural,3703,2349,23,8,38,1285,4247,3304,7,23,39,874,63.4350527,0.621118,0.216041,1.026195,34.7015933,77.7960914,0.1648222,0.5415587,0.9182953,20.5792324
373,Municipio/TIOC,La Paz,Aroma,Colquencha,Colquencha,3200,1843,4,5,55,1293,4480,3240,16,106,56,1062,57.59375,0.125,0.15625,1.71875,40.40625,72.3214286,0.3571429,2.3660714,1.25,23.7053571
374,Municipio/TIOC,La Paz,Aroma,Colquencha,Urbana,892,703,1,0,9,179,2627,1973,10,64,32,548,78.8116592,0.1121076,0,1.0089686,20.0672646,75.1046821,0.3806624,2.4362391,1.2181195,20.8602969
375,Municipio/TIOC,La Paz,Aroma,Colquencha,Rural,2308,1140,3,5,46,1114,1853,1267,6,42,24,514,49.3934142,0.1299827,0.2166378,1.9930676,48.2668977,68.3756071,0.3237992,2.2665947,1.295197,27.7388019
376,Municipio/TIOC,La Paz,Aroma,Collana,Collana,1272,842,3,10,11,406,1653,1352,4,34,20,243,66.1949686,0.2358491,0.7861635,0.8647799,31.918239,81.7906836,0.2419843,2.0568663,1.2099214,14.7005445
377,Municipio/TIOC,La Paz,Aroma,Collana,Urbana,723,530,2,3,11,177,1004,867,1,24,9,103,73.3056708,0.2766252,0.4149378,1.5214385,24.4813278,86.3545817,0.0996016,2.3904382,0.8964143,10.2589641
378,Municipio/TIOC,La Paz,Aroma,Collana,Rural,549,312,1,7,0,229,649,485,3,10,11,140,56.8306011,0.1821494,1.2750455,0,41.712204,74.7303544,0.4622496,1.540832,1.6949153,21.5716487
379,Provincia,La Paz,Nor Yungas,,Nor Yungas,12376,9490,84,28,135,2639,19289,15791,357,243,187,2711,76.6806723,0.678733,0.2262443,1.0908209,21.3235294,81.8653118,1.8507958,1.2597854,0.9694645,14.0546425
380,Provincia,La Paz,Nor Yungas,,Urbana,844,832,1,0,0,11,2274,2202,3,11,10,48,98.5781991,0.1184834,0,0,1.3033175,96.8337731,0.1319261,0.4837291,0.4397537,2.1108179
381,Provincia,La Paz,Nor Yungas,,Rural,11532,8658,83,28,135,2628,17015,13589,354,232,177,2663,75.0780437,0.7197364,0.2428026,1.1706556,22.7887617,79.8648252,2.0805172,1.3635028,1.0402586,15.6508963
382,Municipio/TIOC,La Paz,Nor Yungas,Coroico,Coroico,6996,4861,60,12,130,1933,10376,7872,104,192,69,2139,69.4825615,0.8576329,0.1715266,1.8582047,27.6300743,75.8673863,1.002313,1.8504241,0.6649961,20.6148805
383,Municipio/TIOC,La Paz,Nor Yungas,Coroico,Urbana,844,832,1,0,0,11,1091,1047,1,9,4,30,98.5781991,0.1184834,0,0,1.3033175,95.9670027,0.091659,0.8249313,0.3666361,2.7497709
384,Municipio/TIOC,La Paz,Nor Yungas,Coroico,Rural,6152,4029,59,12,130,1922,9285,6825,103,183,65,2109,65.4908973,0.9590377,0.1950585,2.1131339,31.2418726,73.5056543,1.1093161,1.9709208,0.7000539,22.7140549
385,Municipio/TIOC,La Paz,Nor Yungas,Coripata,Coripata,5380,4629,24,16,5,706,8913,7919,253,51,118,572,86.0408922,0.4460967,0.2973978,0.0929368,13.1226766,88.8477505,2.8385504,0.5721979,1.3239089,6.4175923
386,Municipio/TIOC,La Paz,Nor Yungas,Coripata,Urbana,,,,,,,1183,1155,2,2,6,18,,,,,,97.6331361,0.1690617,0.1690617,0.5071851,1.5215554
387,Municipio/TIOC,La Paz,Nor Yungas,Coripata,Rural,5380,4629,24,16,5,706,7730,6764,251,49,112,554,86.0408922,0.4460967,0.2973978,0.0929368,13.1226766,87.5032342,3.2470893,0.6338939,1.4489004,7.1668823
388,Provincia,La Paz,Abel Iturralde,,Abel Iturralde,4275,2020,400,86,121,1648,6155,3950,350,373,109,1373,47.251462,9.3567251,2.0116959,2.8304094,38.5497076,64.1754671,5.6864338,6.0601137,1.770918,22.3070674
389,Provincia,La Paz,Abel Iturralde,,Urbana,1827,1578,47,2,6,194,2499,2344,11,10,10,124,86.3711002,2.5725233,0.1094691,0.3284072,10.6185003,93.797519,0.4401761,0.4001601,0.4001601,4.9619848
390,Provincia,La Paz,Abel Iturralde,,Rural,2448,442,353,84,115,1454,3656,1606,339,363,99,1249,18.0555556,14.4199346,3.4313725,4.6977124,59.3954248,43.9277899,9.2724289,9.928884,2.7078775,34.1630197
391,Municipio/TIOC,La Paz,Abel Iturralde,Ixiamas,Ixiamas,2270,834,315,49,86,986,3306,1470,337,353,103,1043,36.7400881,13.876652,2.1585903,3.7885463,43.4361233,44.4646098,10.1935874,10.677556,3.1155475,31.5486993
392,Municipio/TIOC,La Paz,Abel Iturralde,Ixiamas,Urbana,985,776,42,2,4,161,1343,1242,8,6,8,79,78.7817259,4.2639594,0.2030457,0.4060914,16.3451777,92.4795235,0.5956813,0.446761,0.5956813,5.8823529
393,Municipio/TIOC,La Paz,Abel Iturralde,Ixiamas,Rural,1285,58,273,47,82,825,1963,228,329,347,95,964,4.5136187,21.2451362,3.6575875,6.381323,64.2023346,11.6148752,16.7600611,17.677025,4.8395313,49.1085074
394,Municipio/TIOC,La Paz,Abel Iturralde,San Buenaventura,San Buenaventura,2005,1186,85,37,35,662,2849,2480,13,20,6,330,59.1521197,4.2394015,1.8453865,1.7456359,33.0174564,87.048087,0.4563005,0.7020007,0.2106002,11.5830116
395,Municipio/TIOC,La Paz,Abel Iturralde,San Buenaventura,Urbana,842,802,5,0,2,33,1156,1102,3,4,2,45,95.2494062,0.5938242,0,0.2375297,3.9192399,95.3287197,0.2595156,0.3460208,0.1730104,3.8927336
396,Municipio/TIOC,La Paz,Abel Iturralde,San Buenaventura,Rural,1163,384,80,37,33,629,1693,1378,10,16,4,285,33.0180567,6.8787618,3.1814273,2.8374893,54.0842648,81.3939752,0.5906675,0.9450679,0.236267,16.8340224
397,Provincia,La Paz,Bautista Saavedra,,Bautista Saavedra,4532,2260,31,84,79,2078,6678,4880,15,126,42,1615,49.8676081,0.6840247,1.8534863,1.7431598,45.8517211,73.0757712,0.2246181,1.8867925,0.6289308,24.1838874
398,Provincia,La Paz,Bautista Saavedra,,Urbana,634,475,1,3,0,155,759,645,1,6,2,105,74.9211356,0.1577287,0.4731861,0,24.4479495,84.9802372,0.1317523,0.7905138,0.2635046,13.8339921
