N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA,NÚMERO DE HOGARES | 2001 | Total hogares,NÚMERO DE HOGARES | 2001 | Vehículo automotor | Tiene,NÚMERO DE HOGARES | 2001 | Vehículo automotor | No tiene,NÚMERO DE HOGARES | 2001 | Bicicleta | Tiene,NÚMERO DE HOGARES | 2001 | Bicicleta | No tiene,NÚMERO DE HOGARES | 2001 | Motocicleta o cuadratrack | Tiene,NÚMERO DE HOGARES | 2001 | Motocicleta o cuadratrack | No tiene,NÚMERO DE HOGARES | 2012 | Total hogares,NÚMERO DE HOGARES | 2012 | Vehículo automotor | Tiene,NÚMERO DE HOGARES | 2012 | Vehículo automotor | No tiene,NÚMERO DE HOGARES | 2012 | Bicicleta | Tiene,NÚMERO DE HOGARES | 2012 | Bicicleta | No tiene,NÚMERO DE HOGARES | 2012 | Motocicleta o cuadratrack | Tiene,NÚMERO DE HOGARES | 2012 | Motocicleta o cuadratrack | No tiene,NÚMERO DE HOGARES | 2012 | Carreta o carretón | Tiene,NÚMERO DE HOGARES | 2012 | Carreta o carretón | No tiene,NÚMERO DE HOGARES | 2012 | Deslizador o balsa o canoa o bote | Tiene,NÚMERO DE HOGARES | 2012 | Deslizador o balsa o canoa o bote | No tiene,NÚMERO DE HOGARES | 2024 | Total hogares,NÚMERO DE HOGARES | 2024 | Vehículo automotor | Tiene,NÚMERO DE HOGARES | 2024 | Vehículo automotor | No tiene,NÚMERO DE HOGARES | 2024 | Vehículo automotor | Sin especificar,NÚMERO DE HOGARES | 2024 | Bicicleta | Tiene,NÚMERO DE HOGARES | 2024 | Bicicleta | No tiene,NÚMERO DE HOGARES | 2024 | Bicicleta | Sin especificar,NÚMERO DE HOGARES | 2024 | Motocicleta o cuadratrack | Tiene,NÚMERO DE HOGARES | 2024 | Motocicleta o cuadratrack | No tiene,NÚMERO DE HOGARES | 2024 | Motocicleta o cuadratrack | Sin especificar,NÚMERO DE HOGARES | 2024 | Carreta o carretón | Tiene,NÚMERO DE HOGARES | 2024 | Carreta o carretón | No tiene,NÚMERO DE HOGARES | 2024 | Carreta o carretón | Sin especificar,NÚMERO DE HOGARES | 2024 | Deslizador o balsa o canoa o bote | Tiene,NÚMERO DE HOGARES | 2024 | Deslizador o balsa o canoa o bote | No tiene,NÚMERO DE HOGARES | 2024 | Deslizador o balsa o canoa o bote | Sin especificar,DISTRIBUCIÓN PORCENTUAL (1) | 2001 | Vehículo automotor | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2001 | Vehículo automotor | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2001 | Bicicleta | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2001 | Bicicleta | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2001 | Motocicleta o cuadratrack | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2001 | Motocicleta o cuadratrack | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Vehículo automotor | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Vehículo automotor | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Bicicleta | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Bicicleta | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Motocicleta o cuadratrack | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Motocicleta o cuadratrack | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Carreta o carretón | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Carreta o carretón | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Deslizador o balsa o canoa o bote | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Deslizador o balsa o canoa o bote | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Vehículo automotor | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Vehículo automotor | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Bicicleta | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Bicicleta | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Motocicleta o cuadratrack | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Motocicleta o cuadratrack | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Carreta o carretón | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Carreta o carretón | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Deslizador o balsa o canoa o bote | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Deslizador o balsa o canoa o bote | No tiene
607,Municipio/TIOC,Cochabamba,Mizque,TIOC-Raqaypampa,TIOC-Raqaypampa,1330.0,3,1327,352,978,5,1325,1991.0,70,1921,524,1467,317,1674,44,1947,4,1987,2644.0,194,2291,159,419,2067,158,525,1961,158,73,2411,160,6,2480,158,0.2255639,99.7744361,26.4661654,73.5338346,0.3759398,99.6240602,3.5158212,96.4841788,26.3184329,73.6815671,15.9216474,84.0783526,2.2099448,97.7900552,0.2009041,99.7990959,7.806841,92.193159,16.8543846,83.1456154,21.1182623,78.8817377,2.9388084,97.0611916,0.2413516,99.7586484
608,Municipio/TIOC,Cochabamba,Mizque,TIOC-Raqaypampa,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,Municipio/TIOC,Cochabamba,Mizque,TIOC-Raqaypampa,Rural,1330.0,3,1327,352,978,5,1325,1991.0,70,1921,524,1467,317,1674,44,1947,4,1987,2644.0,194,2291,159,419,2067,158,525,1961,158,73,2411,160,6,2480,158,0.2255639,99.7744361,26.4661654,73.5338346,0.3759398,99.6240602,3.5158212,96.4841788,26.3184329,73.6815671,15.9216474,84.0783526,2.2099448,97.7900552,0.2009041,99.7990959,7.806841,92.193159,16.8543846,83.1456154,21.1182623,78.8817377,2.9388084,97.0611916,0.2413516,99.7586484
610,Provincia,Cochabamba,Punata,,Punata,12266.0,1597,10669,8137,4129,377,11889,16810.0,3934,12876,9911,6899,2330,14480,714,16096,97,16713,20449.0,6264,13419,766,12109,7577,763,5460,14226,763,1028,18656,765,201,19483,765,13.0197293,86.9802707,66.3378444,33.6621556,3.0735366,96.9264634,23.4027365,76.5972635,58.958953,41.041047,13.8607971,86.1392029,4.2474717,95.7525283,0.5770375,99.4229625,31.824417,68.175583,61.5107183,38.4892817,27.7354465,72.2645535,5.2225157,94.7774843,1.0211339,98.9788661
611,Provincia,Cochabamba,Punata,,Urbana,4198.0,949,3249,3019,1179,207,3991,8094.0,2405,5689,5261,2833,1501,6593,342,7752,35,8059,12028.0,4121,7532,375,7798,3856,374,3565,8089,374,605,11048,375,138,11515,375,22.6060029,77.3939971,71.9151977,28.0848023,4.9309195,95.0690805,29.7133679,70.2866321,64.9987645,35.0012355,18.5446009,81.4553991,4.2253521,95.7746479,0.4324191,99.5675809,35.3642839,64.6357161,66.912648,33.087352,30.5903552,69.4096448,5.1917961,94.8082039,1.1842444,98.8157556
612,Provincia,Cochabamba,Punata,,Rural,8068.0,648,7420,5118,2950,170,7898,8716.0,1529,7187,4650,4066,829,7887,372,8344,62,8654,8421.0,2143,5887,391,4311,3721,389,1895,6137,389,423,7608,390,63,7968,390,8.0317303,91.9682697,63.4357957,36.5642043,2.1070897,97.8929103,17.5424507,82.4575493,53.3501606,46.6498394,9.5112437,90.4887563,4.2680128,95.7319872,0.7113355,99.2886645,26.6874222,73.3125778,53.6728088,46.3271912,23.5931275,76.4068725,5.26709,94.73291,0.7844602,99.2155398
613,Municipio/TIOC,Cochabamba,Punata,Punata,Punata,6713.0,1089,5624,4811,1902,254,6459,8784.0,2355,6429,5684,3100,1641,7143,317,8467,35,8749,11318.0,3783,7186,349,7455,3515,348,3416,7554,348,607,10362,349,121,10848,349,16.2222553,83.7777447,71.6669149,28.3330851,3.7837033,96.2162967,26.8101093,73.1898907,64.708561,35.291439,18.681694,81.318306,3.6088342,96.3911658,0.3984517,99.6015483,34.4881028,65.5118972,67.9580675,32.0419325,31.1394713,68.8605287,5.533777,94.466223,1.1031088,98.8968912
614,Municipio/TIOC,Cochabamba,Punata,Punata,Urbana,3706.0,853,2853,2681,1025,191,3515,5692.0,1781,3911,3782,1910,1214,4478,227,5465,23,5669,8316.0,3009,5074,233,5687,2397,232,2645,5439,232,435,7648,233,98,7985,233,23.0167296,76.9832704,72.3421479,27.6578521,5.1538046,94.8461954,31.2895292,68.7104708,66.4441321,33.5558679,21.3281799,78.6718201,3.9880534,96.0119466,0.4040759,99.5959241,37.2262774,62.7737226,70.3488372,29.6511628,32.718951,67.281049,5.3816652,94.6183348,1.2124211,98.7875789
615,Municipio/TIOC,Cochabamba,Punata,Punata,Rural,3007.0,236,2771,2130,877,63,2944,3092.0,574,2518,1902,1190,427,2665,90,3002,12,3080,3002.0,774,2112,116,1768,1118,116,771,2115,116,172,2714,116,23,2863,116,7.8483538,92.1516462,70.834719,29.165281,2.0951114,97.9048886,18.5640362,81.4359638,61.5135834,38.4864166,13.8098318,86.1901682,2.9107374,97.0892626,0.3880983,99.6119017,26.8191268,73.1808732,61.2612613,38.7387387,26.7151767,73.2848233,5.959806,94.040194,0.7969508,99.2030492
616,Municipio/TIOC,Cochabamba,Punata,Villa Rivero,Villa Rivero,1564.0,92,1472,941,623,24,1540,3042.0,503,2539,1572,1470,200,2842,172,2870,40,3002,3262.0,733,2364,165,1532,1567,163,696,2402,164,142,2955,165,29,3068,165,5.8823529,94.1176471,60.1662404,39.8337596,1.5345269,98.4654731,16.5351742,83.4648258,51.6765286,48.3234714,6.574622,93.425378,5.6541749,94.3458251,1.3149244,98.6850756,23.6680659,76.3319341,49.4353017,50.5646983,22.4661072,77.5338928,4.5850823,95.4149177,0.9363901,99.0636099
617,Municipio/TIOC,Cochabamba,Punata,Villa Rivero,Urbana,,,,,,,,,,,,,,,,,,,1138.0,222,867,49,448,641,49,225,864,49,57,1032,49,8,1081,49,,,,,,,,,,,,,,,,,20.3856749,79.6143251,41.1386593,58.8613407,20.661157,79.338843,5.2341598,94.7658402,0.7346189,99.2653811
618,Municipio/TIOC,Cochabamba,Punata,Villa Rivero,Rural,1564.0,92,1472,941,623,24,1540,3042.0,503,2539,1572,1470,200,2842,172,2870,40,3002,2124.0,511,1497,116,1084,926,114,471,1538,115,85,1923,116,21,1987,116,5.8823529,94.1176471,60.1662404,39.8337596,1.5345269,98.4654731,16.5351742,83.4648258,51.6765286,48.3234714,6.574622,93.425378,5.6541749,94.3458251,1.3149244,98.6850756,25.4482072,74.5517928,53.9303483,46.0696517,23.4444998,76.5555002,4.2330677,95.7669323,1.0458167,98.9541833
619,Municipio/TIOC,Cochabamba,Punata,San Benito,San Benito,3174.0,373,2801,2073,1101,90,3084,3924.0,937,2987,2273,1651,438,3486,186,3738,19,3905,4327.0,1420,2754,153,2564,1610,153,1098,3076,153,240,3934,153,44,4130,153,11.7517328,88.2482672,65.3119093,34.6880907,2.8355388,97.1644612,23.8786952,76.1213048,57.9255861,42.0744139,11.1620795,88.8379205,4.7400612,95.2599388,0.4841998,99.5158002,34.0201246,65.9798754,61.4278869,38.5721131,26.305702,73.694298,5.7498802,94.2501198,1.0541447,98.9458553
620,Municipio/TIOC,Cochabamba,Punata,San Benito,Urbana,492.0,96,396,338,154,16,476,2402.0,624,1778,1479,923,287,2115,115,2287,12,2390,2574.0,890,1591,93,1663,818,93,695,1786,93,113,2368,93,32,2449,93,19.5121951,80.4878049,68.699187,31.300813,3.2520325,96.7479675,25.9783514,74.0216486,61.5736886,38.4263114,11.9483764,88.0516236,4.7876769,95.2123231,0.4995837,99.5004163,35.872632,64.127368,67.0294236,32.9705764,28.012898,71.987102,4.5546151,95.4453849,1.2898025,98.7101975
621,Municipio/TIOC,Cochabamba,Punata,San Benito,Rural,2682.0,277,2405,1735,947,74,2608,1522.0,313,1209,794,728,151,1371,71,1451,7,1515,1753.0,530,1163,60,901,792,60,403,1290,60,127,1566,60,12,1681,60,10.3281133,89.6718867,64.6905295,35.3094705,2.759135,97.240865,20.565046,79.434954,52.1681997,47.8318003,9.9211564,90.0788436,4.6649146,95.3350854,0.4599212,99.5400788,31.3053751,68.6946249,53.2191376,46.7808624,23.8038984,76.1961016,7.5014767,92.4985233,0.7088009,99.2911991
622,Municipio/TIOC,Cochabamba,Punata,Tacachi,Tacachi,306.0,22,284,127,179,5,301,359.0,60,299,142,217,25,334,0,359,1,358,485.0,138,324,23,159,303,23,85,377,23,28,434,23,3,459,23,7.1895425,92.8104575,41.503268,58.496732,1.6339869,98.3660131,16.7130919,83.2869081,39.5543175,60.4456825,6.9637883,93.0362117,0,100,0.2785515,99.7214485,29.8701299,70.1298701,34.4155844,65.5844156,18.3982684,81.6017316,6.0606061,93.9393939,0.6493506,99.3506494
623,Municipio/TIOC,Cochabamba,Punata,Tacachi,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,Municipio/TIOC,Cochabamba,Punata,Tacachi,Rural,306.0,22,284,127,179,5,301,359.0,60,299,142,217,25,334,0,359,1,358,485.0,138,324,23,159,303,23,85,377,23,28,434,23,3,459,23,7.1895425,92.8104575,41.503268,58.496732,1.6339869,98.3660131,16.7130919,83.2869081,39.5543175,60.4456825,6.9637883,93.0362117,0,100,0.2785515,99.7214485,29.8701299,70.1298701,34.4155844,65.5844156,18.3982684,81.6017316,6.0606061,93.9393939,0.6493506,99.3506494
625,Municipio/TIOC,Cochabamba,Punata,Villa Gualberto Villarroel,Villa Gualberto Villarroel,509.0,21,488,185,324,4,505,701.0,79,622,240,461,26,675,39,662,2,699,1057.0,190,791,76,399,582,76,165,817,75,11,971,75,4,978,75,4.1257367,95.8742633,36.345776,63.654224,0.7858546,99.2141454,11.2696148,88.7303852,34.2368046,65.7631954,3.7089872,96.2910128,5.5634807,94.4365193,0.2853067,99.7146933,19.3679918,80.6320082,40.6727829,59.3272171,16.802444,83.197556,1.1201629,98.8798371,0.407332,99.592668
626,Municipio/TIOC,Cochabamba,Punata,Villa Gualberto Villarroel,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,Municipio/TIOC,Cochabamba,Punata,Villa Gualberto Villarroel,Rural,509.0,21,488,185,324,4,505,701.0,79,622,240,461,26,675,39,662,2,699,1057.0,190,791,76,399,582,76,165,817,75,11,971,75,4,978,75,4.1257367,95.8742633,36.345776,63.654224,0.7858546,99.2141454,11.2696148,88.7303852,34.2368046,65.7631954,3.7089872,96.2910128,5.5634807,94.4365193,0.2853067,99.7146933,19.3679918,80.6320082,40.6727829,59.3272171,16.802444,83.197556,1.1201629,98.8798371,0.407332,99.592668
628,Provincia,Cochabamba,Bolívar,,Bolívar,2377.0,14,2363,783,1594,14,2363,2366.0,142,2224,579,1787,82,2284,76,2290,4,2362,3211.0,317,2728,166,624,2424,163,215,2829,167,129,2914,168,7,3035,169,0.5889777,99.4110223,32.9406815,67.0593185,0.5889777,99.4110223,6.0016906,93.9983094,24.4716822,75.5283178,3.465765,96.534235,3.2121724,96.7878276,0.1690617,99.8309383,10.410509,89.589491,20.4724409,79.5275591,7.0630749,92.9369251,4.2392376,95.7607624,0.2301118,99.7698882
629,Provincia,Cochabamba,Bolívar,,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,Provincia,Cochabamba,Bolívar,,Rural,2377.0,14,2363,783,1594,14,2363,2366.0,142,2224,579,1787,82,2284,76,2290,4,2362,3211.0,317,2728,166,624,2424,163,215,2829,167,129,2914,168,7,3035,169,0.5889777,99.4110223,32.9406815,67.0593185,0.5889777,99.4110223,6.0016906,93.9983094,24.4716822,75.5283178,3.465765,96.534235,3.2121724,96.7878276,0.1690617,99.8309383,10.410509,89.589491,20.4724409,79.5275591,7.0630749,92.9369251,4.2392376,95.7607624,0.2301118,99.7698882
631,Municipio/TIOC,Cochabamba,Bolívar,Bolívar,Bolívar,2377.0,14,2363,783,1594,14,2363,2366.0,142,2224,579,1787,82,2284,76,2290,4,2362,3211.0,317,2728,166,624,2424,163,215,2829,167,129,2914,168,7,3035,169,0.5889777,99.4110223,32.9406815,67.0593185,0.5889777,99.4110223,6.0016906,93.9983094,24.4716822,75.5283178,3.465765,96.534235,3.2121724,96.7878276,0.1690617,99.8309383,10.410509,89.589491,20.4724409,79.5275591,7.0630749,92.9369251,4.2392376,95.7607624,0.2301118,99.7698882
632,Municipio/TIOC,Cochabamba,Bolívar,Bolívar,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,Municipio/TIOC,Cochabamba,Bolívar,Bolívar,Rural,2377.0,14,2363,783,1594,14,2363,2366.0,142,2224,579,1787,82,2284,76,2290,4,2362,3211.0,317,2728,166,624,2424,163,215,2829,167,129,2914,168,7,3035,169,0.5889777,99.4110223,32.9406815,67.0593185,0.5889777,99.4110223,6.0016906,93.9983094,24.4716822,75.5283178,3.465765,96.534235,3.2121724,96.7878276,0.1690617,99.8309383,10.410509,89.589491,20.4724409,79.5275591,7.0630749,92.9369251,4.2392376,95.7607624,0.2301118,99.7698882
634,Provincia,Cochabamba,Tiraque,,Tiraque,9187.0,779,8408,3758,5429,131,9056,14107.0,2451,11656,4044,10063,1581,12526,568,13539,121,13986,17109.0,4981,11617,511,4368,12234,507,5223,11378,508,756,15841,512,225,16373,511,8.479373,91.520627,40.9056275,59.0943725,1.4259279,98.5740721,17.3743532,82.6256468,28.6666194,71.3333806,11.2072021,88.7927979,4.0263699,95.9736301,0.8577302,99.1422698,30.0096397,69.9903603,26.3100831,73.6899169,31.4619601,68.5380399,4.5550401,95.4449599,1.355585,98.644415
635,Provincia,Cochabamba,Tiraque,,Urbana,1069.0,136,933,477,592,15,1054,2341.0,593,1748,769,1572,356,1985,79,2262,14,2327,3707.0,1361,2239,107,1235,2366,106,1187,2414,106,185,3416,106,49,3552,106,12.7221703,87.2778297,44.6211413,55.3788587,1.4031805,98.5968195,25.3310551,74.6689449,32.8492097,67.1507903,15.2071764,84.7928236,3.3746262,96.6253738,0.598035,99.401965,37.8055556,62.1944444,34.2960289,65.7039711,32.9630658,67.0369342,5.1374618,94.8625382,1.3607331,98.6392669
636,Provincia,Cochabamba,Tiraque,,Rural,8118.0,643,7475,3281,4837,116,8002,11766.0,1858,9908,3275,8491,1225,10541,489,11277,107,11659,13402.0,3620,9378,404,3133,9868,401,4036,8964,402,571,12425,406,176,12821,405,7.9206701,92.0793299,40.4163587,59.5836413,1.4289234,98.5710766,15.791263,84.208737,27.8344382,72.1655618,10.4113548,89.5886452,4.1560428,95.8439572,0.9094,99.0906,27.8504385,72.1495615,24.0981463,75.9018537,31.0461538,68.9538462,4.3936596,95.6063404,1.3541587,98.6458413
637,Municipio/TIOC,Cochabamba,Tiraque,Tiraque,Tiraque,4814.0,507,4307,2152,2662,104,4710,6496.0,1098,5398,2455,4041,410,6086,236,6260,27,6469,6678.0,1642,4817,219,1986,4474,218,1773,4687,218,298,6160,220,42,6416,220,10.5317823,89.4682177,44.7029497,55.2970503,2.1603656,97.8396344,16.9027094,83.0972906,37.7924877,62.2075123,6.3115764,93.6884236,3.6330049,96.3669951,0.4156404,99.5843596,25.4218919,74.5781081,30.7430341,69.2569659,27.4458204,72.5541796,4.6144317,95.3855683,0.6503561,99.3496439
638,Municipio/TIOC,Cochabamba,Tiraque,Tiraque,Urbana,,,,,,,,690.0,172,518,261,429,52,638,17,673,2,688,804.0,327,456,21,359,424,21,270,513,21,36,747,21,6,777,21,,,,,,,24.9275362,75.0724638,37.826087,62.173913,7.5362319,92.4637681,2.4637681,97.5362319,0.2898551,99.7101449,41.7624521,58.2375479,45.8492976,54.1507024,34.4827586,65.5172414,4.5977011,95.4022989,0.7662835,99.2337165
639,Municipio/TIOC,Cochabamba,Tiraque,Tiraque,Rural,4814.0,507,4307,2152,2662,104,4710,5806.0,926,4880,2194,3612,358,5448,219,5587,25,5781,5874.0,1315,4361,198,1627,4050,197,1503,4174,197,262,5413,199,36,5639,199,10.5317823,89.4682177,44.7029497,55.2970503,2.1603656,97.8396344,15.9490183,84.0509817,37.7884947,62.2115053,6.1660351,93.8339649,3.77196,96.22804,0.430589,99.569411,23.1677237,76.8322763,28.6595033,71.3404967,26.475251,73.524749,4.6167401,95.3832599,0.6343612,99.3656388
640,Municipio/TIOC,Cochabamba,Tiraque,Shinahota,Shinahota,4373.0,272,4101,1606,2767,27,4346,7611.0,1353,6258,1589,6022,1171,6440,332,7279,94,7517,10431.0,3339,6800,292,2382,7760,289,3450,6691,290,458,9681,292,183,9957,291,6.2199863,93.7800137,36.7253602,63.2746398,0.6174251,99.3825749,17.7769019,82.2230981,20.877677,79.122323,15.3856261,84.6143739,4.3621075,95.6378925,1.2350545,98.7649455,32.9322418,67.0677582,23.4864918,76.5135082,34.0203136,65.9796864,4.5172108,95.4827892,1.8047337,98.1952663
641,Municipio/TIOC,Cochabamba,Tiraque,Shinahota,Urbana,1069.0,136,933,477,592,15,1054,1651.0,421,1230,508,1143,304,1347,62,1589,12,1639,2903.0,1034,1783,86,876,1942,85,917,1901,85,149,2669,85,43,2775,85,12.7221703,87.2778297,44.6211413,55.3788587,1.4031805,98.5968195,25.4996972,74.5003028,30.7692308,69.2307692,18.413083,81.586917,3.7552998,96.2447002,0.7268322,99.2731678,36.7057153,63.2942847,31.0858765,68.9141235,32.5408091,67.4591909,5.2874379,94.7125621,1.5259049,98.4740951
642,Municipio/TIOC,Cochabamba,Tiraque,Shinahota,Rural,3304.0,136,3168,1129,2175,12,3292,5960.0,932,5028,1081,4879,867,5093,270,5690,82,5878,7528.0,2305,5017,206,1506,5818,204,2533,4790,205,309,7012,207,140,7182,206,4.1162228,95.8837772,34.1707022,65.8292978,0.3631961,99.6368039,15.6375839,84.3624161,18.1375839,81.8624161,14.5469799,85.4530201,4.5302013,95.4697987,1.3758389,98.6241611,31.4804698,68.5195302,20.5625341,79.4374659,34.5896491,65.4103509,4.2207349,95.7792651,1.9120459,98.0879541
643,Departamento,Oruro,,,Oruro,104279.0,11231,93048,59250,45029,3457,100822,152061.0,33369,118692,72916,79145,11408,140653,5859,146202,766,151295,190973.0,58747,127036,5190,101642,84189,5142,29385,156404,5184,11010,174754,5209,1811,183951,5211,10.7701455,89.2298545,56.8187267,43.1812733,3.3151449,96.6848551,21.9444828,78.0555172,47.9518088,52.0481912,7.5022524,92.4977476,3.853059,96.146941,0.5037452,99.4962548,31.6213001,68.3786999,54.6959334,45.3040666,15.8163293,84.1836707,5.926875,94.073125,0.9749034,99.0250966
644,Departamento,Oruro,,,Urbana,58651.0,9054,49597,30735,27916,1614,57037,91617.0,24229,67388,38255,53362,6104,85513,3679,87938,265,91352,114820.0,40868,71797,2155,60357,52320,2143,15757,96910,2153,6117,106547,2156,1293,111369,2158,15.4370769,84.5629231,52.4031986,47.5968014,2.7518712,97.2481288,26.4459653,73.5540347,41.7553511,58.2446489,6.662519,93.337481,4.0156303,95.9843697,0.2892476,99.7107524,36.2739094,63.7260906,53.5663889,46.4336111,13.9854616,86.0145384,5.4294184,94.5705816,1.1476807,98.8523193
645,Departamento,Oruro,,,Rural,45628.0,2177,43451,28515,17113,1843,43785,60444.0,9140,51304,34661,25783,5304,55140,2180,58264,501,59943,76153.0,17879,55239,3035,41285,31869,2999,13628,59494,3031,4893,68207,3053,518,72582,3053,4.7711931,95.2288069,62.4945209,37.5054791,4.0391865,95.9608135,15.1214347,84.8785653,57.3439878,42.6560122,8.7750645,91.2249355,3.6066442,96.3933558,0.8288664,99.1711336,24.4522553,75.5477447,56.4357383,43.5642617,18.6373458,81.3626542,6.6935705,93.3064295,0.7086183,99.2913817
646,Provincia,Oruro,Cercado,,Cercado,59277.0,8915,50362,32045,27232,1567,57710,90135.0,22760,67375,39908,50227,6114,84021,3575,86560,341,89794,113403.0,38533,72646,2224,61287,49909,2207,16345,94838,2220,6243,104934,2226,1195,109982,2226,15.03956,84.96044,54.0597534,45.9402466,2.6435211,97.3564789,25.2510124,74.7489876,44.2758085,55.7241915,6.7831586,93.2168414,3.9662728,96.0337272,0.3783214,99.6216786,34.6585236,65.3414764,55.1161912,44.8838088,14.7009885,85.2990115,5.6153701,94.3846299,1.0748626,98.9251374
647,Provincia,Oruro,Cercado,,Urbana,50532.0,8300,42232,25702,24830,1216,49316,78297.0,20593,57704,31995,46302,4852,73445,3029,75268,196,78101,98424.0,34809,61898,1717,52073,44644,1707,12937,83773,1714,4982,91724,1718,1076,95629,1719,16.4252355,83.5747645,50.8628196,49.1371804,2.4063959,97.5936041,26.3011354,73.6988646,40.8636346,59.1363654,6.1969169,93.8030831,3.8686029,96.1313971,0.2503289,99.7496711,35.994292,64.005708,53.8405865,46.1594135,13.3771068,86.6228932,5.1516969,94.8483031,1.1126622,98.8873378
648,Provincia,Oruro,Cercado,,Rural,8745.0,615,8130,6343,2402,351,8394,11838.0,2167,9671,7913,3925,1262,10576,546,11292,145,11693,14979.0,3724,10748,507,9214,5265,500,3408,11065,506,1261,13210,508,119,14353,507,7.0325901,92.9674099,72.5328759,27.4671241,4.0137221,95.9862779,18.305457,81.694543,66.8440615,33.1559385,10.6605846,89.3394154,4.6122656,95.3877344,1.2248691,98.7751309,25.7324489,74.2675511,63.6369915,36.3630085,23.547295,76.452705,8.7139797,91.2860203,0.8222775,99.1777225
649,Municipio/TIOC,Oruro,Cercado,Oruro,Oruro,49436.0,8175,41261,25071,24365,1128,48308,76724.0,20226,56498,31210,45514,4591,72133,2455,74269,183,76541,96123.0,34021,60440,1662,50886,43585,1652,12332,82132,1659,4405,90055,1663,1043,93416,1664,16.5365321,83.4634679,50.7140545,49.2859455,2.281738,97.718262,26.3620249,73.6379751,40.6782754,59.3217246,5.983786,94.016214,3.199781,96.800219,0.2385173,99.7614827,36.0159219,63.9840781,53.8641488,46.1358512,13.0547087,86.9452913,4.6633496,95.3366504,1.1041828,98.8958172
650,Municipio/TIOC,Oruro,Cercado,Oruro,Urbana,49375.0,8170,41205,25030,24345,1124,48251,76724.0,20226,56498,31210,45514,4591,72133,2455,74269,183,76541,96084.0,34007,60415,1662,50861,43571,1652,12315,82110,1659,4404,90017,1663,1043,93377,1664,16.5468354,83.4531646,50.6936709,49.3063291,2.2764557,97.7235443,26.3620249,73.6379751,40.6782754,59.3217246,5.983786,94.016214,3.199781,96.800219,0.2385173,99.7614827,36.0159709,63.9840291,53.8599204,46.1400796,13.0420969,86.9579031,4.6642166,95.3357834,1.1046388,98.8953612
651,Municipio/TIOC,Oruro,Cercado,Oruro,Rural,61.0,5,56,41,20,4,57,,,,,,,,,,,,39.0,14,25,0,25,14,0,17,22,0,1,38,0,0,39,0,8.1967213,91.8032787,67.2131148,32.7868852,6.557377,93.442623,,,,,,,,,,,35.8974359,64.1025641,64.1025641,35.8974359,43.5897436,56.4102564,2.5641026,97.4358974,0,100
652,Municipio/TIOC,Oruro,Cercado,Caracollo,Caracollo,5002.0,418,4584,3368,1634,259,4743,6690.0,1333,5357,4016,2674,939,5751,1009,5681,39,6651,7972.0,2204,5512,256,4467,3249,256,1869,5847,256,1406,6310,256,72,7644,256,8.3566573,91.6433427,67.3330668,32.6669332,5.1779288,94.8220712,19.9252616,80.0747384,60.0298954,39.9701046,14.0358744,85.9641256,15.0822123,84.9177877,0.5829596,99.4170404,28.5640228,71.4359772,57.8926905,42.1073095,24.222395,75.777605,18.2218766,81.7781234,0.933126,99.066874
