N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA,NÚMERO DE HOGARES | Total hogares,NÚMERO DE HOGARES | Refrigerador o congelador | Tiene,NÚMERO DE HOGARES | Refrigerador o congelador | No tiene,NÚMERO DE HOGARES | Refrigerador o congelador | Sin especificar,NÚMERO DE HOGARES | Microondas | Tiene,NÚMERO DE HOGARES | Microondas | No tiene,NÚMERO DE HOGARES | Microondas | Sin especificar,NÚMERO DE HOGARES | Calefón o termotanque | Tiene,NÚMERO DE HOGARES | Calefón o termotanque | No tiene,NÚMERO DE HOGARES | Calefón o termotanque | Sin especificar,NÚMERO DE HOGARES | Aire Acondicionado | Tiene,NÚMERO DE HOGARES | Aire Acondicionado | No tiene,NÚMERO DE HOGARES | Aire Acondicionado | Sin especificar,NÚMERO DE HOGARES | Lavadora de ropa | Tiene,NÚMERO DE HOGARES | Lavadora de ropa | No tiene,NÚMERO DE HOGARES | Lavadora de ropa | Sin especificar,DISTRIBUCIÓN PORCENTUAL (1) | Refrigerador o congelador | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | Refrigerador o congelador | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | Microondas | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | Microondas | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | Calefón o termotanque | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | Calefón o termotanque | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | Aire Acondicionado | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | Aire Acondicionado | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | Lavadora de ropa | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | Lavadora de ropa | No tiene
340,Provincia,La Paz,Los Andes,,Los Andes,46763.0,5551.0,39372.0,1840.0,1225.0,43697.0,1841.0,595.0,44326.0,1842.0,217.0,44704.0,1842.0,1348.0,43572.0,1843.0,12.3566992,87.6433008,2.7269489,97.2730511,1.3245475,98.6754525,0.4830703,99.5169297,3.0008905,96.9991095
341,Provincia,La Paz,Los Andes,,Urbana,12755.0,2665.0,9606.0,484.0,681.0,11588.0,486.0,260.0,12009.0,486.0,91.0,12178.0,486.0,814.0,11457.0,484.0,21.7178714,78.2821286,5.5505746,94.4494254,2.1191621,97.8808379,0.7417067,99.2582933,6.6335262,93.3664738
342,Provincia,La Paz,Los Andes,,Rural,34008.0,2886.0,29766.0,1356.0,544.0,32109.0,1355.0,335.0,32317.0,1356.0,126.0,32526.0,1356.0,534.0,32115.0,1359.0,8.8386623,91.1613377,1.6660031,98.3339969,1.0259708,98.9740292,0.3858875,99.6141125,1.6355784,98.3644216
343,Municipio/TIOC,La Paz,Los Andes,Pucarani,Pucarani,21459.0,2258.0,18336.0,865.0,448.0,20146.0,865.0,276.0,20319.0,864.0,105.0,20488.0,866.0,462.0,20132.0,865.0,10.9643586,89.0356414,2.1753909,97.8246091,1.3401311,98.6598689,0.509882,99.490118,2.2433719,97.7566281
344,Municipio/TIOC,La Paz,Los Andes,Pucarani,Urbana,7346.0,1020.0,5987.0,339.0,214.0,6792.0,340.0,121.0,6886.0,339.0,51.0,6955.0,340.0,227.0,6780.0,339.0,14.5568717,85.4431283,3.0545247,96.9454753,1.7268446,98.2731554,0.7279475,99.2720525,3.2396175,96.7603825
345,Municipio/TIOC,La Paz,Los Andes,Pucarani,Rural,14113.0,1238.0,12349.0,526.0,234.0,13354.0,525.0,155.0,13433.0,525.0,54.0,13533.0,526.0,235.0,13352.0,526.0,9.1116508,90.8883492,1.7221077,98.2778923,1.1407124,98.8592876,0.3974387,99.6025613,1.7295945,98.2704055
346,Municipio/TIOC,La Paz,Los Andes,Laja,Laja,13613.0,2019.0,11103.0,491.0,528.0,12593.0,492.0,182.0,12937.0,494.0,66.0,13055.0,492.0,622.0,12496.0,495.0,15.386374,84.613626,4.0240835,95.9759165,1.3873009,98.6126991,0.5030104,99.4969896,4.7415765,95.2584235
347,Municipio/TIOC,La Paz,Los Andes,Laja,Urbana,4394.0,1255.0,3021.0,118.0,375.0,3900.0,119.0,106.0,4168.0,120.0,29.0,4246.0,119.0,467.0,3808.0,119.0,29.3498597,70.6501403,8.7719298,91.2280702,2.4801123,97.5198877,0.6783626,99.3216374,10.9239766,89.0760234
348,Municipio/TIOC,La Paz,Los Andes,Laja,Rural,9219.0,764.0,8082.0,373.0,153.0,8693.0,373.0,76.0,8769.0,374.0,37.0,8809.0,373.0,155.0,8688.0,376.0,8.6366719,91.3633281,1.7295953,98.2704047,0.8592425,99.1407575,0.4182681,99.5817319,1.7527988,98.2472012
349,Municipio/TIOC,La Paz,Los Andes,Batallas,Batallas,8503.0,1055.0,7107.0,341.0,204.0,7958.0,341.0,108.0,8054.0,341.0,37.0,8125.0,341.0,241.0,7922.0,340.0,12.9257535,87.0742465,2.4993874,97.5006126,1.3232051,98.6767949,0.4533203,99.5466797,2.952346,97.047654
350,Municipio/TIOC,La Paz,Los Andes,Batallas,Urbana,1015.0,390.0,598.0,27.0,92.0,896.0,27.0,33.0,955.0,27.0,11.0,977.0,27.0,120.0,869.0,26.0,39.4736842,60.5263158,9.3117409,90.6882591,3.340081,96.659919,1.1133603,98.8866397,12.1334681,87.8665319
351,Municipio/TIOC,La Paz,Los Andes,Batallas,Rural,7488.0,665.0,6509.0,314.0,112.0,7062.0,314.0,75.0,7099.0,314.0,26.0,7148.0,314.0,121.0,7053.0,314.0,9.2695846,90.7304154,1.5611932,98.4388068,1.0454419,98.9545581,0.3624198,99.6375802,1.6866462,98.3133538
352,Municipio/TIOC,La Paz,Los Andes,Puerto Pérez,Puerto Pérez,3188.0,219.0,2826.0,143.0,45.0,3000.0,143.0,29.0,3016.0,143.0,9.0,3036.0,143.0,23.0,3022.0,143.0,7.1921182,92.8078818,1.4778325,98.5221675,0.952381,99.047619,0.2955665,99.7044335,0.7553366,99.2446634
353,Municipio/TIOC,La Paz,Los Andes,Puerto Pérez,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,
354,Municipio/TIOC,La Paz,Los Andes,Puerto Pérez,Rural,3188.0,219.0,2826.0,143.0,45.0,3000.0,143.0,29.0,3016.0,143.0,9.0,3036.0,143.0,23.0,3022.0,143.0,7.1921182,92.8078818,1.4778325,98.5221675,0.952381,99.047619,0.2955665,99.7044335,0.7553366,99.2446634
355,Provincia,La Paz,Aroma,,Aroma,42289.0,4183.0,36277.0,1829.0,991.0,39469.0,1829.0,610.0,39849.0,1830.0,226.0,40235.0,1828.0,1283.0,39183.0,1823.0,10.338606,89.661394,2.4493327,97.5506673,1.5076992,98.4923008,0.5585626,99.4414374,3.1705629,96.8294371
356,Provincia,La Paz,Aroma,,Urbana,12480.0,2398.0,9592.0,490.0,635.0,11354.0,491.0,360.0,11630.0,490.0,120.0,11870.0,490.0,868.0,11122.0,490.0,20.0,80.0,5.2965218,94.7034782,3.0025021,96.9974979,1.000834,98.999166,7.2393661,92.7606339
357,Provincia,La Paz,Aroma,,Rural,29809.0,1785.0,26685.0,1339.0,356.0,28115.0,1338.0,250.0,28219.0,1340.0,106.0,28365.0,1338.0,415.0,28061.0,1333.0,6.2697576,93.7302424,1.2503951,98.7496049,0.8781482,99.1218518,0.3723087,99.6276913,1.4573676,98.5426324
358,Municipio/TIOC,La Paz,Aroma,Sicasica,Sicasica,12627.0,1177.0,10816.0,634.0,299.0,11694.0,634.0,159.0,11835.0,633.0,64.0,11930.0,633.0,331.0,11664.0,632.0,9.8140582,90.1859418,2.493121,97.506879,1.3256628,98.6743372,0.5336001,99.4663999,2.7594831,97.2405169
359,Municipio/TIOC,La Paz,Aroma,Sicasica,Urbana,3749.0,671.0,2879.0,199.0,203.0,3347.0,199.0,96.0,3455.0,198.0,38.0,3513.0,198.0,195.0,3356.0,198.0,18.9014085,81.0985915,5.7183099,94.2816901,2.7034638,97.2965362,1.0701211,98.9298789,5.4914109,94.5085891
360,Municipio/TIOC,La Paz,Aroma,Sicasica,Rural,8878.0,506.0,7937.0,435.0,96.0,8347.0,435.0,63.0,8380.0,435.0,26.0,8417.0,435.0,136.0,8308.0,434.0,5.9931304,94.0068696,1.1370366,98.8629634,0.7461803,99.2538197,0.3079474,99.6920526,1.6106111,98.3893889
361,Municipio/TIOC,La Paz,Aroma,Umala,Umala,3921.0,253.0,3436.0,232.0,41.0,3648.0,232.0,20.0,3668.0,233.0,5.0,3684.0,232.0,42.0,3651.0,228.0,6.8582272,93.1417728,1.1114123,98.8885877,0.5422993,99.4577007,0.1355381,99.8644619,1.1372868,98.8627132
362,Municipio/TIOC,La Paz,Aroma,Umala,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Municipio/TIOC,La Paz,Aroma,Umala,Rural,3921.0,253.0,3436.0,232.0,41.0,3648.0,232.0,20.0,3668.0,233.0,5.0,3684.0,232.0,42.0,3651.0,228.0,6.8582272,93.1417728,1.1114123,98.8885877,0.5422993,99.4577007,0.1355381,99.8644619,1.1372868,98.8627132
364,Municipio/TIOC,La Paz,Aroma,Ayo Ayo,Ayo Ayo,4794.0,217.0,4419.0,158.0,65.0,4572.0,157.0,51.0,4585.0,158.0,18.0,4619.0,157.0,49.0,4588.0,157.0,4.6807593,95.3192407,1.4017684,98.5982316,1.1000863,98.8999137,0.388182,99.611818,1.0567177,98.9432823
365,Municipio/TIOC,La Paz,Aroma,Ayo Ayo,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Municipio/TIOC,La Paz,Aroma,Ayo Ayo,Rural,4794.0,217.0,4419.0,158.0,65.0,4572.0,157.0,51.0,4585.0,158.0,18.0,4619.0,157.0,49.0,4588.0,157.0,4.6807593,95.3192407,1.4017684,98.5982316,1.1000863,98.8999137,0.388182,99.611818,1.0567177,98.9432823
367,Municipio/TIOC,La Paz,Aroma,Calamarca,Calamarca,5467.0,404.0,4838.0,225.0,75.0,5167.0,225.0,67.0,5175.0,225.0,30.0,5212.0,225.0,92.0,5151.0,224.0,7.7069821,92.2930179,1.4307516,98.5692484,1.2781381,98.7218619,0.5723006,99.4276994,1.7547206,98.2452794
368,Municipio/TIOC,La Paz,Aroma,Calamarca,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,
369,Municipio/TIOC,La Paz,Aroma,Calamarca,Rural,5467.0,404.0,4838.0,225.0,75.0,5167.0,225.0,67.0,5175.0,225.0,30.0,5212.0,225.0,92.0,5151.0,224.0,7.7069821,92.2930179,1.4307516,98.5692484,1.2781381,98.7218619,0.5723006,99.4276994,1.7547206,98.2452794
370,Municipio/TIOC,La Paz,Aroma,Patacamaya,Patacamaya,9347.0,1539.0,7494.0,314.0,406.0,8627.0,314.0,237.0,8796.0,314.0,78.0,8955.0,314.0,660.0,8372.0,315.0,17.0375291,82.9624709,4.4946308,95.5053692,2.6237131,97.3762869,0.8635005,99.1364995,7.3073516,92.6926484
371,Municipio/TIOC,La Paz,Aroma,Patacamaya,Urbana,5100.0,1267.0,3669.0,164.0,359.0,4577.0,164.0,201.0,4735.0,164.0,59.0,4877.0,164.0,592.0,4344.0,164.0,25.6685575,74.3314425,7.2730956,92.7269044,4.0721232,95.9278768,1.1952998,98.8047002,11.993517,88.006483
372,Municipio/TIOC,La Paz,Aroma,Patacamaya,Rural,4247.0,272.0,3825.0,150.0,47.0,4050.0,150.0,36.0,4061.0,150.0,19.0,4078.0,150.0,68.0,4028.0,151.0,6.6390041,93.3609959,1.1471809,98.8528191,0.8786917,99.1213083,0.463754,99.536246,1.6601562,98.3398438
373,Municipio/TIOC,La Paz,Aroma,Colquencha,Colquencha,4480.0,469.0,3834.0,177.0,89.0,4213.0,178.0,64.0,4238.0,178.0,22.0,4280.0,178.0,81.0,4221.0,178.0,10.8993725,89.1006275,2.0688052,97.9311948,1.4876801,98.5123199,0.5113901,99.4886099,1.8828452,98.1171548
374,Municipio/TIOC,La Paz,Aroma,Colquencha,Urbana,2627.0,382.0,2175.0,70.0,65.0,2491.0,71.0,53.0,2503.0,71.0,16.0,2540.0,71.0,61.0,2495.0,71.0,14.9393821,85.0606179,2.543036,97.456964,2.0735524,97.9264476,0.6259781,99.3740219,2.3865415,97.6134585
375,Municipio/TIOC,La Paz,Aroma,Colquencha,Rural,1853.0,87.0,1659.0,107.0,24.0,1722.0,107.0,11.0,1735.0,107.0,6.0,1740.0,107.0,20.0,1726.0,107.0,4.9828179,95.0171821,1.3745704,98.6254296,0.6300115,99.3699885,0.3436426,99.6563574,1.1454754,98.8545246
376,Municipio/TIOC,La Paz,Aroma,Collana,Collana,1653.0,124.0,1440.0,89.0,16.0,1548.0,89.0,12.0,1552.0,89.0,9.0,1555.0,89.0,28.0,1536.0,89.0,7.9283887,92.0716113,1.0230179,98.9769821,0.7672634,99.2327366,0.5754476,99.4245524,1.7902813,98.2097187
377,Municipio/TIOC,La Paz,Aroma,Collana,Urbana,1004.0,78.0,869.0,57.0,8.0,939.0,57.0,10.0,937.0,57.0,7.0,940.0,57.0,20.0,927.0,57.0,8.2365364,91.7634636,0.844773,99.155227,1.0559662,98.9440338,0.7391763,99.2608237,2.1119324,97.8880676
378,Municipio/TIOC,La Paz,Aroma,Collana,Rural,649.0,46.0,571.0,32.0,8.0,609.0,32.0,2.0,615.0,32.0,2.0,615.0,32.0,8.0,609.0,32.0,7.4554295,92.5445705,1.2965964,98.7034036,0.3241491,99.6758509,0.3241491,99.6758509,1.2965964,98.7034036
379,Provincia,La Paz,Nor Yungas,,Nor Yungas,19289.0,8950.0,9709.0,630.0,938.0,17722.0,629.0,281.0,18378.0,630.0,206.0,18451.0,632.0,1067.0,17590.0,632.0,47.9661289,52.0338711,5.0267953,94.9732047,1.5059757,98.4940243,1.1041432,98.8958568,5.7190331,94.2809669
380,Provincia,La Paz,Nor Yungas,,Urbana,2274.0,1495.0,713.0,66.0,310.0,1898.0,66.0,56.0,2152.0,66.0,33.0,2174.0,67.0,400.0,1808.0,66.0,67.7083333,32.2916667,14.0398551,85.9601449,2.5362319,97.4637681,1.4952424,98.5047576,18.115942,81.884058
381,Provincia,La Paz,Nor Yungas,,Rural,17015.0,7455.0,8996.0,564.0,628.0,15824.0,563.0,225.0,16226.0,564.0,173.0,16277.0,565.0,667.0,15782.0,566.0,45.3163941,54.6836059,3.8171651,96.1828349,1.367698,98.632302,1.0516717,98.9483283,4.0549577,95.9450423
382,Municipio/TIOC,La Paz,Nor Yungas,Coroico,Coroico,10376.0,4371.0,5667.0,338.0,613.0,9426.0,337.0,130.0,9909.0,337.0,95.0,9943.0,338.0,673.0,9365.0,338.0,43.5445308,56.4554692,6.1061859,93.8938141,1.2949497,98.7050503,0.9464037,99.0535963,6.7045228,93.2954772
383,Municipio/TIOC,La Paz,Nor Yungas,Coroico,Urbana,1091.0,789.0,272.0,30.0,242.0,819.0,30.0,35.0,1026.0,30.0,21.0,1040.0,30.0,299.0,762.0,30.0,74.3638077,25.6361923,22.8086711,77.1913289,3.2987747,96.7012253,1.9792648,98.0207352,28.1809614,71.8190386
384,Municipio/TIOC,La Paz,Nor Yungas,Coroico,Rural,9285.0,3582.0,5395.0,308.0,371.0,8607.0,307.0,95.0,8883.0,307.0,74.0,8903.0,308.0,374.0,8603.0,308.0,39.9019717,60.0980283,4.1323235,95.8676765,1.0581421,98.9418579,0.8243288,99.1756712,4.1662025,95.8337975
385,Municipio/TIOC,La Paz,Nor Yungas,Coripata,Coripata,8913.0,4579.0,4042.0,292.0,325.0,8296.0,292.0,151.0,8469.0,293.0,111.0,8508.0,294.0,394.0,8225.0,294.0,53.1144879,46.8855121,3.7698643,96.2301357,1.7517401,98.2482599,1.2878524,98.7121476,4.571296,95.428704
386,Municipio/TIOC,La Paz,Nor Yungas,Coripata,Urbana,1183.0,706.0,441.0,36.0,68.0,1079.0,36.0,21.0,1126.0,36.0,12.0,1134.0,37.0,101.0,1046.0,36.0,61.5518745,38.4481255,5.9285092,94.0714908,1.8308631,98.1691369,1.0471204,98.9528796,8.8055798,91.1944202
387,Municipio/TIOC,La Paz,Nor Yungas,Coripata,Rural,7730.0,3873.0,3601.0,256.0,257.0,7217.0,256.0,130.0,7343.0,257.0,99.0,7374.0,257.0,293.0,7179.0,258.0,51.8196414,48.1803586,3.4385871,96.5614129,1.7395959,98.2604041,1.3247692,98.6752308,3.9213062,96.0786938
388,Provincia,La Paz,Abel Iturralde,,Abel Iturralde,6155.0,2296.0,3504.0,355.0,265.0,5536.0,354.0,118.0,5683.0,354.0,110.0,5690.0,355.0,717.0,5082.0,356.0,39.5862069,60.4137931,4.5681779,95.4318221,2.034132,97.965868,1.8965517,98.1034483,12.3642007,87.6357993
389,Provincia,La Paz,Abel Iturralde,,Urbana,2499.0,1481.0,882.0,136.0,201.0,2162.0,136.0,38.0,2325.0,136.0,77.0,2286.0,136.0,561.0,1801.0,137.0,62.6745662,37.3254338,8.5061363,91.4938637,1.6081253,98.3918747,3.2585696,96.7414304,23.7510584,76.2489416
390,Provincia,La Paz,Abel Iturralde,,Rural,3656.0,815.0,2622.0,219.0,64.0,3374.0,218.0,80.0,3358.0,218.0,33.0,3404.0,219.0,156.0,3281.0,219.0,23.71254,76.28746,1.8615474,98.1384526,2.3269343,97.6730657,0.9601397,99.0398603,4.538842,95.461158
391,Municipio/TIOC,La Paz,Abel Iturralde,Ixiamas,Ixiamas,3306.0,829.0,2247.0,230.0,107.0,2970.0,229.0,88.0,2989.0,229.0,44.0,3032.0,230.0,277.0,2799.0,230.0,26.9505852,73.0494148,3.4774131,96.5225869,2.8599285,97.1400715,1.4304291,98.5695709,9.0052016,90.9947984
392,Municipio/TIOC,La Paz,Abel Iturralde,Ixiamas,Urbana,1343.0,732.0,530.0,81.0,95.0,1167.0,81.0,25.0,1237.0,81.0,36.0,1226.0,81.0,263.0,999.0,81.0,58.0031696,41.9968304,7.5277338,92.4722662,1.9809826,98.0190174,2.8526149,97.1473851,20.8399366,79.1600634
393,Municipio/TIOC,La Paz,Abel Iturralde,Ixiamas,Rural,1963.0,97.0,1717.0,149.0,12.0,1803.0,148.0,63.0,1752.0,148.0,8.0,1806.0,149.0,14.0,1800.0,149.0,5.3472988,94.6527012,0.661157,99.338843,3.4710744,96.5289256,0.4410143,99.5589857,0.7717751,99.2282249
394,Municipio/TIOC,La Paz,Abel Iturralde,San Buenaventura,San Buenaventura,2849.0,1467.0,1257.0,125.0,158.0,2566.0,125.0,30.0,2694.0,125.0,66.0,2658.0,125.0,440.0,2283.0,126.0,53.8546256,46.1453744,5.8002937,94.1997063,1.1013216,98.8986784,2.4229075,97.5770925,16.1586485,83.8413515
395,Municipio/TIOC,La Paz,Abel Iturralde,San Buenaventura,Urbana,1156.0,749.0,352.0,55.0,106.0,995.0,55.0,13.0,1088.0,55.0,41.0,1060.0,55.0,298.0,802.0,56.0,68.0290645,31.9709355,9.6276113,90.3723887,1.1807448,98.8192552,3.7238874,96.2761126,27.0909091,72.9090909
396,Municipio/TIOC,La Paz,Abel Iturralde,San Buenaventura,Rural,1693.0,718.0,905.0,70.0,52.0,1571.0,70.0,17.0,1606.0,70.0,25.0,1598.0,70.0,142.0,1481.0,70.0,44.2390635,55.7609365,3.2039433,96.7960567,1.047443,98.952557,1.5403574,98.4596426,8.7492298,91.2507702
397,Provincia,La Paz,Bautista Saavedra,,Bautista Saavedra,6678.0,759.0,5619.0,300.0,85.0,6292.0,301.0,45.0,6332.0,301.0,35.0,6341.0,302.0,83.0,6292.0,303.0,11.9002822,88.0997178,1.3329152,98.6670848,0.705661,99.294339,0.5489335,99.4510665,1.3019608,98.6980392
398,Provincia,La Paz,Bautista Saavedra,,Urbana,759.0,22.0,698.0,39.0,3.0,717.0,39.0,6.0,714.0,39.0,1.0,719.0,39.0,3.0,716.0,40.0,3.0555556,96.9444444,0.4166667,99.5833333,0.8333333,99.1666667,0.1388889,99.8611111,0.4172462,99.5827538
399,Provincia,La Paz,Bautista Saavedra,,Rural,5919.0,737.0,4921.0,261.0,82.0,5575.0,262.0,39.0,5618.0,262.0,34.0,5622.0,263.0,80.0,5576.0,263.0,13.0258042,86.9741958,1.4495316,98.5504684,0.6894113,99.3105887,0.6011315,99.3988685,1.4144272,98.5855728
400,Municipio/TIOC,La Paz,Bautista Saavedra,Charazani,Charazani,5022.0,652.0,4155.0,215.0,72.0,4734.0,216.0,31.0,4776.0,215.0,30.0,4775.0,217.0,63.0,4742.0,217.0,13.5635532,86.4364468,1.4981273,98.5018727,0.6448929,99.3551071,0.6243496,99.3756504,1.3111342,98.6888658
401,Municipio/TIOC,La Paz,Bautista Saavedra,Charazani,Urbana,759.0,22.0,698.0,39.0,3.0,717.0,39.0,6.0,714.0,39.0,1.0,719.0,39.0,3.0,716.0,40.0,3.0555556,96.9444444,0.4166667,99.5833333,0.8333333,99.1666667,0.1388889,99.8611111,0.4172462,99.5827538
402,Municipio/TIOC,La Paz,Bautista Saavedra,Charazani,Rural,4263.0,630.0,3457.0,176.0,69.0,4017.0,177.0,25.0,4062.0,176.0,29.0,4056.0,178.0,60.0,4026.0,177.0,15.4147296,84.5852704,1.6886931,98.3113069,0.6116956,99.3883044,0.7099143,99.2900857,1.4684288,98.5315712
403,Municipio/TIOC,La Paz,Bautista Saavedra,Curva,Curva,1656.0,107.0,1464.0,85.0,13.0,1558.0,85.0,14.0,1556.0,86.0,5.0,1566.0,85.0,20.0,1550.0,86.0,6.8109484,93.1890516,0.8274984,99.1725016,0.8917197,99.1082803,0.3182686,99.6817314,1.2738854,98.7261146
404,Municipio/TIOC,La Paz,Bautista Saavedra,Curva,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,
405,Municipio/TIOC,La Paz,Bautista Saavedra,Curva,Rural,1656.0,107.0,1464.0,85.0,13.0,1558.0,85.0,14.0,1556.0,86.0,5.0,1566.0,85.0,20.0,1550.0,86.0,6.8109484,93.1890516,0.8274984,99.1725016,0.8917197,99.1082803,0.3182686,99.6817314,1.2738854,98.7261146
406,Provincia,La Paz,Manco Kapac,,Manco Kapac,11922.0,2077.0,9437.0,408.0,392.0,11122.0,408.0,163.0,11350.0,409.0,45.0,11469.0,408.0,408.0,11105.0,409.0,18.0389092,81.9610908,3.404551,96.595449,1.4157908,98.5842092,0.3908286,99.6091714,3.54382,96.45618
407,Provincia,La Paz,Manco Kapac,,Urbana,2973.0,867.0,1975.0,131.0,223.0,2619.0,131.0,76.0,2766.0,131.0,22.0,2820.0,131.0,259.0,2583.0,131.0,30.5066854,69.4933146,7.8465869,92.1534131,2.6741731,97.3258269,0.7741027,99.2258973,9.1133005,90.8866995
408,Provincia,La Paz,Manco Kapac,,Rural,8949.0,1210.0,7462.0,277.0,169.0,8503.0,277.0,87.0,8584.0,278.0,23.0,8649.0,277.0,149.0,8522.0,278.0,13.952952,86.047048,1.9488007,98.0511993,1.0033445,98.9966555,0.2652214,99.7347786,1.7183716,98.2816284
409,Municipio/TIOC,La Paz,Manco Kapac,Copacabana,Copacabana,6817.0,1340.0,5237.0,240.0,283.0,6294.0,240.0,109.0,6467.0,241.0,25.0,6552.0,240.0,294.0,6282.0,241.0,20.3740307,79.6259693,4.3028737,95.6971263,1.6575426,98.3424574,0.3801125,99.6198875,4.4708029,95.5291971
410,Municipio/TIOC,La Paz,Manco Kapac,Copacabana,Urbana,2502.0,800.0,1600.0,102.0,214.0,2186.0,102.0,69.0,2331.0,102.0,19.0,2381.0,102.0,239.0,2161.0,102.0,33.3333333,66.6666667,8.9166667,91.0833333,2.875,97.125,0.7916667,99.2083333,9.9583333,90.0416667
411,Municipio/TIOC,La Paz,Manco Kapac,Copacabana,Rural,4315.0,540.0,3637.0,138.0,69.0,4108.0,138.0,40.0,4136.0,139.0,6.0,4171.0,138.0,55.0,4121.0,139.0,12.9279387,87.0720613,1.6519033,98.3480967,0.9578544,99.0421456,0.1436438,99.8563562,1.3170498,98.6829502
412,Municipio/TIOC,La Paz,Manco Kapac,San Pedro de Tiquina,San Pedro de Tiquina,3631.0,639.0,2883.0,109.0,93.0,3429.0,109.0,42.0,3480.0,109.0,15.0,3507.0,109.0,88.0,3434.0,109.0,18.1431005,81.8568995,2.6405451,97.3594549,1.1925043,98.8074957,0.4258944,99.5741056,2.4985804,97.5014196
413,Municipio/TIOC,La Paz,Manco Kapac,San Pedro de Tiquina,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,
414,Municipio/TIOC,La Paz,Manco Kapac,San Pedro de Tiquina,Rural,3631.0,639.0,2883.0,109.0,93.0,3429.0,109.0,42.0,3480.0,109.0,15.0,3507.0,109.0,88.0,3434.0,109.0,18.1431005,81.8568995,2.6405451,97.3594549,1.1925043,98.8074957,0.4258944,99.5741056,2.4985804,97.5014196
415,Municipio/TIOC,La Paz,Manco Kapac,Tito Yupanqui,Tito Yupanqui,1474.0,98.0,1317.0,59.0,16.0,1399.0,59.0,12.0,1403.0,59.0,5.0,1410.0,59.0,26.0,1389.0,59.0,6.9257951,93.0742049,1.130742,98.869258,0.8480565,99.1519435,0.3533569,99.6466431,1.8374558,98.1625442
416,Municipio/TIOC,La Paz,Manco Kapac,Tito Yupanqui,Urbana,471.0,67.0,375.0,29.0,9.0,433.0,29.0,7.0,435.0,29.0,3.0,439.0,29.0,20.0,422.0,29.0,15.158371,84.841629,2.0361991,97.9638009,1.5837104,98.4162896,0.678733,99.321267,4.5248869,95.4751131
417,Municipio/TIOC,La Paz,Manco Kapac,Tito Yupanqui,Rural,1003.0,31.0,942.0,30.0,7.0,966.0,30.0,5.0,968.0,30.0,2.0,971.0,30.0,6.0,967.0,30.0,3.1860226,96.8139774,0.7194245,99.2805755,0.5138746,99.4861254,0.2055498,99.7944502,0.6166495,99.3833505
418,Provincia,La Paz,Gualberto Villarroel,,Gualberto Villarroel,7253.0,394.0,6514.0,345.0,56.0,6853.0,344.0,48.0,6860.0,345.0,23.0,6886.0,344.0,78.0,6830.0,345.0,5.7035321,94.2964679,0.810537,99.189463,0.6948466,99.3051534,0.3328991,99.6671009,1.1291257,98.8708743
419,Provincia,La Paz,Gualberto Villarroel,,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,
420,Provincia,La Paz,Gualberto Villarroel,,Rural,7253.0,394.0,6514.0,345.0,56.0,6853.0,344.0,48.0,6860.0,345.0,23.0,6886.0,344.0,78.0,6830.0,345.0,5.7035321,94.2964679,0.810537,99.189463,0.6948466,99.3051534,0.3328991,99.6671009,1.1291257,98.8708743
421,Municipio/TIOC,La Paz,Gualberto Villarroel,San Pedro de Curahuara,San Pedro de Curahuara,3484.0,188.0,3095.0,201.0,30.0,3253.0,201.0,20.0,3262.0,202.0,13.0,3270.0,201.0,34.0,3248.0,202.0,5.7264697,94.2735303,0.9137984,99.0862016,0.6093845,99.3906155,0.3959793,99.6040207,1.0359537,98.9640463
422,Municipio/TIOC,La Paz,Gualberto Villarroel,San Pedro de Curahuara,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,
423,Municipio/TIOC,La Paz,Gualberto Villarroel,San Pedro de Curahuara,Rural,3484.0,188.0,3095.0,201.0,30.0,3253.0,201.0,20.0,3262.0,202.0,13.0,3270.0,201.0,34.0,3248.0,202.0,5.7264697,94.2735303,0.9137984,99.0862016,0.6093845,99.3906155,0.3959793,99.6040207,1.0359537,98.9640463
424,Municipio/TIOC,La Paz,Gualberto Villarroel,Papel Pampa,Papel Pampa,2888.0,175.0,2591.0,122.0,23.0,2744.0,121.0,19.0,2748.0,121.0,7.0,2760.0,121.0,44.0,2723.0,121.0,6.3268257,93.6731743,0.8312252,99.1687748,0.6866643,99.3133357,0.2529816,99.7470184,1.5901699,98.4098301
425,Municipio/TIOC,La Paz,Gualberto Villarroel,Papel Pampa,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,
