N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA,NÚMERO DE VIVIENDAS | 2001 | Total,NÚMERO DE VIVIENDAS | 2001 | Tiene,NÚMERO DE VIVIENDAS | 2001 | No tiene,NÚMERO DE VIVIENDAS | 2012 | Total,NÚMERO DE VIVIENDAS | 2012 | Tiene,NÚMERO DE VIVIENDAS | 2012 | No tiene,NÚMERO DE VIVIENDAS | 2024 | Total,NÚMERO DE VIVIENDAS | 2024 | Tiene,NÚMERO DE VIVIENDAS | 2024 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2001 | Tiene,DISTRIBUCIÓN PORCENTUAL | 2001 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2012 | Tiene,DISTRIBUCIÓN PORCENTUAL | 2012 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2024 | Tiene,DISTRIBUCIÓN PORCENTUAL | 2024 | No tiene
1211,Municipio/TIOC,Santa Cruz,Ángel Sandoval,San Matías,Urbana,1009,775,234,1501,1429,72,2079,2011,68,76.8087215,23.1912785,95.2031979,4.7968021,96.7291967,3.2708033
1212,Municipio/TIOC,Santa Cruz,Ángel Sandoval,San Matías,Rural,1325,313,1012,1714,1033,681,2066,1787,279,23.6226415,76.3773585,60.2683781,39.7316219,86.4956438,13.5043562
1213,Provincia,Santa Cruz,Manuel María Caballero,,Manuel María Caballero,4782,2000,2782,6422,5142,1280,7743,7098,645,41.8235048,58.1764952,80.0685145,19.9314855,91.6698954,8.3301046
1214,Provincia,Santa Cruz,Manuel María Caballero,,Urbana,1541,1080,461,2423,2288,135,3217,3174,43,70.0843608,29.9156392,94.4283946,5.5716054,98.6633509,1.3366491
1215,Provincia,Santa Cruz,Manuel María Caballero,,Rural,3241,920,2321,3999,2854,1145,4526,3924,602,28.3863005,71.6136995,71.367842,28.632158,86.699072,13.300928
1216,Municipio/TIOC,Santa Cruz,Manuel María Caballero,Comarapa,Comarapa,3577,1414,2163,4639,3658,981,5754,5219,535,39.5303327,60.4696673,78.8532011,21.1467989,90.7021203,9.2978797
1217,Municipio/TIOC,Santa Cruz,Manuel María Caballero,Comarapa,Urbana,982,733,249,1507,1420,87,2031,2005,26,74.6435845,25.3564155,94.2269409,5.7730591,98.7198424,1.2801576
1218,Municipio/TIOC,Santa Cruz,Manuel María Caballero,Comarapa,Rural,2595,681,1914,3132,2238,894,3723,3214,509,26.2427746,73.7572254,71.4559387,28.5440613,86.3282299,13.6717701
1219,Municipio/TIOC,Santa Cruz,Manuel María Caballero,Saipina,Saipina,1205,586,619,1783,1484,299,1989,1879,110,48.6307054,51.3692946,83.2305104,16.7694896,94.4695827,5.5304173
1220,Municipio/TIOC,Santa Cruz,Manuel María Caballero,Saipina,Urbana,559,347,212,916,868,48,1186,1169,17,62.0751342,37.9248658,94.7598253,5.2401747,98.5666105,1.4333895
