N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA,NÚMERO DE VIVIENDAS | 2001 | Total,NÚMERO DE VIVIENDAS | 2001 | Leña,"NÚMERO DE VIVIENDAS | 2001 | Guano, bosta, taquia",NÚMERO DE VIVIENDAS | 2001 | Kerosén,NÚMERO DE VIVIENDAS | 2001 | Gas,NÚMERO DE VIVIENDAS | 2001 | Electricidad,NÚMERO DE VIVIENDAS | 2001 | Otro,NÚMERO DE VIVIENDAS | 2001 | No utiliza,NÚMERO DE VIVIENDAS | 2012 | Total,NÚMERO DE VIVIENDAS | 2012 | Leña,"NÚMERO DE VIVIENDAS | 2012 | Guano, bosta, taquia",NÚMERO DE VIVIENDAS | 2012 | Energía solar,NÚMERO DE VIVIENDAS | 2012 | Gas domiciliario (por cañería),NÚMERO DE VIVIENDAS | 2012 | Gas en garrafa,NÚMERO DE VIVIENDAS | 2012 | Electricidad,NÚMERO DE VIVIENDAS | 2012 | Otro,NÚMERO DE VIVIENDAS | 2012 | No cocina,NÚMERO DE VIVIENDAS | 2024 | Total,NÚMERO DE VIVIENDAS | 2024 | Leña,"NÚMERO DE VIVIENDAS | 2024 | Guano, bosta, taquia",NÚMERO DE VIVIENDAS | 2024 | Energía solar,NÚMERO DE VIVIENDAS | 2024 | Gas domiciliario (por cañería),NÚMERO DE VIVIENDAS | 2024 | Gas en garrafa,NÚMERO DE VIVIENDAS | 2024 | Electricidad,NÚMERO DE VIVIENDAS | 2024 | Otro,NÚMERO DE VIVIENDAS | 2024 | No cocina,DISTRIBUCIÓN PORCENTUAL | 2001 | Leña,"DISTRIBUCIÓN PORCENTUAL | 2001 | Guano, bosta, taquia",DISTRIBUCIÓN PORCENTUAL | 2001 | Kerosén,DISTRIBUCIÓN PORCENTUAL | 2001 | Gas,DISTRIBUCIÓN PORCENTUAL | 2001 | Electricidad,DISTRIBUCIÓN PORCENTUAL | 2001 | Otro,DISTRIBUCIÓN PORCENTUAL | 2001 | No utiliza,DISTRIBUCIÓN PORCENTUAL | 2012 | Leña,"DISTRIBUCIÓN PORCENTUAL | 2012 | Guano, bosta, taquia",DISTRIBUCIÓN PORCENTUAL | 2012 | Energía solar,DISTRIBUCIÓN PORCENTUAL | 2012 | Gas domiciliario (por cañería),DISTRIBUCIÓN PORCENTUAL | 2012 | Gas en garrafa,DISTRIBUCIÓN PORCENTUAL | 2012 | Electricidad,DISTRIBUCIÓN PORCENTUAL | 2012 | Otro,DISTRIBUCIÓN PORCENTUAL | 2012 | No cocina,DISTRIBUCIÓN PORCENTUAL | 2024 | Leña,"DISTRIBUCIÓN PORCENTUAL | 2024 | Guano, bosta, taquia",DISTRIBUCIÓN PORCENTUAL | 2024 | Energía solar,DISTRIBUCIÓN PORCENTUAL | 2024 | Gas domiciliario (por cañería),DISTRIBUCIÓN PORCENTUAL | 2024 | Gas en garrafa,DISTRIBUCIÓN PORCENTUAL | 2024 | Electricidad,DISTRIBUCIÓN PORCENTUAL | 2024 | Otro,DISTRIBUCIÓN PORCENTUAL | 2024 | No cocina
1174,Municipio/TIOC,Santa Cruz,Obispo Santisteban,General Saavedra,General Saavedra,2747,2092,6,3,629,1,9,7,3236,908,1,0,0,2287,1,2,37,4358,507,0,3,8,3766,7,5,62,76.1558063,0.2184201,0.10921,22.8977066,0.0364033,0.3276301,0.2548234,28.0593325,0.0309023,0,0,70.6736712,0.0309023,0.0618047,1.1433869,11.633777,0,0.0688389,0.1835704,86.4157871,0.1606241,0.1147315,1.4226709
1175,Municipio/TIOC,Santa Cruz,Obispo Santisteban,General Saavedra,Urbana,692,286,3,2,397,0,1,3,1177,106,0,0,0,1057,1,1,12,1986,108,0,1,2,1851,2,1,21,41.3294798,0.433526,0.2890173,57.3699422,0,0.1445087,0.433526,9.0059473,0,0,0,89.8045879,0.0849618,0.0849618,1.0195412,5.4380665,0,0.0503525,0.1007049,93.2024169,0.1007049,0.0503525,1.0574018
1176,Municipio/TIOC,Santa Cruz,Obispo Santisteban,General Saavedra,Rural,2055,1806,3,1,232,1,8,4,2059,802,1,0,0,1230,0,1,25,2372,399,0,2,6,1915,5,4,41,87.8832117,0.1459854,0.0486618,11.2895377,0.0486618,0.3892944,0.1946472,38.9509471,0.0485673,0,0,59.7377368,0,0.0485673,1.2141816,16.8212479,0,0.084317,0.2529511,80.7335582,0.2107926,0.1686341,1.7284992
1177,Municipio/TIOC,Santa Cruz,Obispo Santisteban,Mineros,Mineros,3492,1328,32,13,2072,4,2,41,5327,816,1,3,0,4389,11,7,100,6194,357,3,0,12,5710,8,3,101,38.0297824,0.9163803,0.3722795,59.3356243,0.1145475,0.0572738,1.1741123,15.3181904,0.0187723,0.0563169,0,82.39159,0.2064952,0.131406,1.8772292,5.7636422,0.048434,0,0.1937359,92.1859864,0.1291572,0.048434,1.6306103
1178,Municipio/TIOC,Santa Cruz,Obispo Santisteban,Mineros,Urbana,2661,613,32,11,1961,4,1,39,4211,198,0,2,0,3914,8,3,86,4954,106,1,0,8,4763,6,2,68,23.0364525,1.2025554,0.4133784,73.6941,0.1503194,0.0375799,1.4656144,4.701971,0,0.0474947,0,92.9470435,0.1899786,0.071242,2.0422702,2.1396851,0.0201857,0,0.1614857,96.1445297,0.1211143,0.0403714,1.3726282
1179,Municipio/TIOC,Santa Cruz,Obispo Santisteban,Mineros,Rural,831,715,0,2,111,0,1,2,1116,618,1,1,0,475,3,4,14,1240,251,2,0,4,947,2,1,33,86.0409146,0,0.2406739,13.3574007,0,0.1203369,0.2406739,55.3763441,0.0896057,0.0896057,0,42.562724,0.2688172,0.3584229,1.2544803,20.2419355,0.1612903,0,0.3225806,76.3709677,0.1612903,0.0806452,2.6612903
1180,Municipio/TIOC,Santa Cruz,Obispo Santisteban,Fernández Alonso,Fernández Alonso,2032,1234,7,2,774,1,0,14,3163,517,1,11,0,2544,9,29,52,3438,202,1,1,9,3178,4,3,40,60.7283465,0.3444882,0.0984252,38.0905512,0.0492126,0,0.6889764,16.3452419,0.0316156,0.3477711,0,80.4299715,0.28454,0.9168511,1.6440089,5.875509,0.0290867,0.0290867,0.2617801,92.4374636,0.1163467,0.08726,1.1634671
1181,Municipio/TIOC,Santa Cruz,Obispo Santisteban,Fernández Alonso,Urbana,1434,763,5,2,655,1,0,8,2113,181,1,0,0,1883,4,1,43,2870,79,1,1,9,2744,3,3,30,53.2078103,0.348675,0.13947,45.6764296,0.069735,0,0.5578801,8.5660199,0.0473261,0,0,89.1150024,0.1893043,0.0473261,2.0350213,2.7526132,0.0348432,0.0348432,0.3135889,95.6097561,0.1045296,0.1045296,1.0452962
1182,Municipio/TIOC,Santa Cruz,Obispo Santisteban,Fernández Alonso,Rural,598,471,2,0,119,0,0,6,1050,336,0,11,0,661,5,28,9,568,123,0,0,0,434,1,0,10,78.7625418,0.3344482,0,19.8996656,0,0,1.0033445,32,0,1.047619,0,62.952381,0.4761905,2.6666667,0.8571429,21.6549296,0,0,0,76.4084507,0.1760563,0,1.7605634
1183,Municipio/TIOC,Santa Cruz,Obispo Santisteban,San Pedro,San Pedro,2605,1602,12,9,966,4,0,12,3477,537,3,0,0,2858,7,0,72,3775,241,0,2,5,3412,11,3,101,61.4971209,0.4606526,0.3454894,37.0825336,0.1535509,0,0.4606526,15.4443486,0.0862813,0,0,82.1972965,0.201323,0,2.0707506,6.384106,0,0.0529801,0.1324503,90.384106,0.2913907,0.0794702,2.6754967
1184,Municipio/TIOC,Santa Cruz,Obispo Santisteban,San Pedro,Urbana,1025,581,2,0,431,4,0,7,1430,124,0,0,0,1264,4,0,38,2347,140,0,1,5,2138,10,0,53,56.6829268,0.195122,0,42.0487805,0.3902439,0,0.6829268,8.6713287,0,0,0,88.3916084,0.2797203,0,2.6573427,5.9650618,0,0.0426076,0.2130379,91.0950149,0.4260758,0,2.258202
1185,Municipio/TIOC,Santa Cruz,Obispo Santisteban,San Pedro,Rural,1580,1021,10,9,535,0,0,5,2047,413,3,0,0,1594,3,0,34,1428,101,0,1,0,1274,1,3,48,64.6202532,0.6329114,0.5696203,33.8607595,0,0,0.3164557,20.1758671,0.1465559,0,0,77.8700537,0.1465559,0,1.6609673,7.0728291,0,0.070028,0,89.2156863,0.070028,0.210084,3.3613445
