N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA,NÚMERO DE VIVIENDAS | Total,"NÚMERO DE VIVIENDAS | Hotel, hostal, residencial, alojamiento",NÚMERO DE VIVIENDAS | Hospital o clínica con internación,NÚMERO DE VIVIENDAS | Cuartel o establecimiento militar o policial,NÚMERO DE VIVIENDAS | Residencia u otro de adultos mayores,NÚMERO DE VIVIENDAS | Albergue de niñas(os) y adolescentes,NÚMERO DE VIVIENDAS | Recinto penitenciario o de reintegración,NÚMERO DE VIVIENDAS | Campamento de trabajo,"NÚMERO DE VIVIENDAS | Otra 
(Instituto de rehabilitación, convento)","DISTRIBUCIÓN PORCENTUAL | Hotel, hostal, residencial, alojamiento",DISTRIBUCIÓN PORCENTUAL | Hospital o clínica con internación,DISTRIBUCIÓN PORCENTUAL | Cuartel o establecimiento militar o policial,DISTRIBUCIÓN PORCENTUAL | Residencia u otro de adultos mayores,DISTRIBUCIÓN PORCENTUAL | Albergue de niñas(os) y adolescentes,DISTRIBUCIÓN PORCENTUAL | Recinto penitenciario o de reintegración,DISTRIBUCIÓN PORCENTUAL | Campamento de trabajo,"DISTRIBUCIÓN PORCENTUAL | Otra 
(Instituto de rehabilitación, convento)"
1293,Provincia,Beni,Moxos,,Rural,21,4,0,0,0,4,0,8,5,19.047619,0,0,0,19.047619,0,38.0952381,23.8095238
1294,Municipio/TIOC,Beni,Moxos,San Ignacio,San Ignacio,65,32,5,2,0,4,0,13,9,49.2307692,7.6923077,3.0769231,0,6.1538462,0,20,13.8461538
1295,Municipio/TIOC,Beni,Moxos,San Ignacio,Urbana,44,28,5,2,0,0,0,5,4,63.6363636,11.3636364,4.5454545,0,0,0,11.3636364,9.0909091
1296,Municipio/TIOC,Beni,Moxos,San Ignacio,Rural,21,4,0,0,0,4,0,8,5,19.047619,0,0,0,19.047619,0,38.0952381,23.8095238
1297,Provincia,Beni,Marbán,,Marbán,71,30,2,5,0,0,0,23,11,42.2535211,2.8169014,7.0422535,0,0,0,32.3943662,15.4929577
1298,Provincia,Beni,Marbán,,Urbana,26,20,1,1,0,0,0,2,2,76.9230769,3.8461538,3.8461538,0,0,0,7.6923077,7.6923077
1299,Provincia,Beni,Marbán,,Rural,45,10,1,4,0,0,0,21,9,22.2222222,2.2222222,8.8888889,0,0,0,46.6666667,20
1300,Municipio/TIOC,Beni,Marbán,Loreto,Loreto,5,3,0,1,0,0,0,0,1,60,0,20,0,0,0,0,20
1301,Municipio/TIOC,Beni,Marbán,Loreto,Urbana,,,,,,,,,,,,,,,,,
1302,Municipio/TIOC,Beni,Marbán,Loreto,Rural,5,3,0,1,0,0,0,0,1,60,0,20,0,0,0,0,20
1303,Municipio/TIOC,Beni,Marbán,San Andrés,San Andrés,66,27,2,4,0,0,0,23,10,40.9090909,3.030303,6.0606061,0,0,0,34.8484848,15.1515152
1304,Municipio/TIOC,Beni,Marbán,San Andrés,Urbana,26,20,1,1,0,0,0,2,2,76.9230769,3.8461538,3.8461538,0,0,0,7.6923077,7.6923077
1305,Municipio/TIOC,Beni,Marbán,San Andrés,Rural,40,7,1,3,0,0,0,21,8,17.5,2.5,7.5,0,0,0,52.5,20
1306,Provincia,Beni,Mamoré,,Mamoré,75,20,2,7,0,0,0,39,7,26.6666667,2.6666667,9.3333333,0,0,0,52,9.3333333
1307,Provincia,Beni,Mamoré,,Urbana,27,13,2,4,0,0,0,1,7,48.1481481,7.4074074,14.8148148,0,0,0,3.7037037,25.9259259
1308,Provincia,Beni,Mamoré,,Rural,48,7,0,3,0,0,0,38,0,14.5833333,0,6.25,0,0,0,79.1666667,0
1309,Municipio/TIOC,Beni,Mamoré,San Joaquín,San Joaquín,46,5,2,4,0,0,0,29,6,10.8695652,4.3478261,8.6956522,0,0,0,63.0434783,13.0434783
1310,Municipio/TIOC,Beni,Mamoré,San Joaquín,Urbana,17,5,2,3,0,0,0,1,6,29.4117647,11.7647059,17.6470588,0,0,0,5.8823529,35.2941176
1311,Municipio/TIOC,Beni,Mamoré,San Joaquín,Rural,29,0,0,1,0,0,0,28,0,0,0,3.4482759,0,0,0,96.5517241,0
1312,Municipio/TIOC,Beni,Mamoré,San Ramón,San Ramón,26,14,0,1,0,0,0,10,1,53.8461538,0,3.8461538,0,0,0,38.4615385,3.8461538
1313,Municipio/TIOC,Beni,Mamoré,San Ramón,Urbana,10,8,0,1,0,0,0,0,1,80,0,10,0,0,0,0,10
1314,Municipio/TIOC,Beni,Mamoré,San Ramón,Rural,16,6,0,0,0,0,0,10,0,37.5,0,0,0,0,0,62.5,0
1315,Municipio/TIOC,Beni,Mamoré,Puerto Siles,Puerto Siles,3,1,0,2,0,0,0,0,0,33.3333333,0,66.6666667,0,0,0,0,0
1316,Municipio/TIOC,Beni,Mamoré,Puerto Siles,Urbana,,,,,,,,,,,,,,,,,
1317,Municipio/TIOC,Beni,Mamoré,Puerto Siles,Rural,3,1,0,2,0,0,0,0,0,33.3333333,0,66.6666667,0,0,0,0,0
1318,Provincia,Beni,Iténez,,Iténez,66,15,4,10,0,2,0,24,11,22.7272727,6.0606061,15.1515152,0,3.030303,0,36.3636364,16.6666667
1319,Provincia,Beni,Iténez,,Urbana,35,14,4,3,0,2,0,1,11,40,11.4285714,8.5714286,0,5.7142857,0,2.8571429,31.4285714
1320,Provincia,Beni,Iténez,,Rural,31,1,0,7,0,0,0,23,0,3.2258065,0,22.5806452,0,0,0,74.1935484,0
1321,Municipio/TIOC,Beni,Iténez,Magdalena,Magdalena,34,9,4,6,0,2,0,4,9,26.4705882,11.7647059,17.6470588,0,5.8823529,0,11.7647059,26.4705882
1322,Municipio/TIOC,Beni,Iténez,Magdalena,Urbana,27,9,4,2,0,2,0,1,9,33.3333333,14.8148148,7.4074074,0,7.4074074,0,3.7037037,33.3333333
1323,Municipio/TIOC,Beni,Iténez,Magdalena,Rural,7,0,0,4,0,0,0,3,0,0,0,57.1428571,0,0,0,42.8571429,0
1324,Municipio/TIOC,Beni,Iténez,Baures,Baures,27,3,0,4,0,0,0,19,1,11.1111111,0,14.8148148,0,0,0,70.3703704,3.7037037
1325,Municipio/TIOC,Beni,Iténez,Baures,Urbana,5,3,0,1,0,0,0,0,1,60,0,20,0,0,0,0,20
1326,Municipio/TIOC,Beni,Iténez,Baures,Rural,22,0,0,3,0,0,0,19,0,0,0,13.6363636,0,0,0,86.3636364,0
1327,Municipio/TIOC,Beni,Iténez,Huacaraje,Huacaraje,5,3,0,0,0,0,0,1,1,60,0,0,0,0,0,20,20
1328,Municipio/TIOC,Beni,Iténez,Huacaraje,Urbana,3,2,0,0,0,0,0,0,1,66.6666667,0,0,0,0,0,0,33.3333333
1329,Municipio/TIOC,Beni,Iténez,Huacaraje,Rural,2,1,0,0,0,0,0,1,0,50,0,0,0,0,0,50,0
1330,Provincia,Beni,Territorio Indígena Multiétnico,,Territorio Indígena Multiétnico,9,0,0,0,0,0,0,7,2,0,0,0,0,0,0,77.7777778,22.2222222
1331,Provincia,Beni,Territorio Indígena Multiétnico,,Urbana,,,,,,,,,,,,,,,,,
1332,Provincia,Beni,Territorio Indígena Multiétnico,,Rural,9,0,0,0,0,0,0,7,2,0,0,0,0,0,0,77.7777778,22.2222222
1333,Municipio/TIOC,Beni,Territorio Indígena Multiétnico,TIOC-Territorio Indígena Multiétnico,TIOC-Territorio Indígena Multiétnico,9,0,0,0,0,0,0,7,2,0,0,0,0,0,0,77.7777778,22.2222222
1334,Municipio/TIOC,Beni,Territorio Indígena Multiétnico,TIOC-Territorio Indígena Multiétnico,Urbana,,,,,,,,,,,,,,,,,
1335,Municipio/TIOC,Beni,Territorio Indígena Multiétnico,TIOC-Territorio Indígena Multiétnico,Rural,9,0,0,0,0,0,0,7,2,0,0,0,0,0,0,77.7777778,22.2222222
1336,Departamento,Pando,,,Pando,521,194,27,46,2,6,1,194,51,37.2360845,5.1823417,8.8291747,0.3838772,1.1516315,0.1919386,37.2360845,9.7888676
1337,Departamento,Pando,,,Urbana,268,162,13,18,1,1,1,41,31,60.4477612,4.8507463,6.7164179,0.3731343,0.3731343,0.3731343,15.2985075,11.5671642
1338,Departamento,Pando,,,Rural,253,32,14,28,1,5,0,153,20,12.6482213,5.5335968,11.0671937,0.3952569,1.9762846,0,60.4743083,7.9051383
1339,Provincia,Pando,Nicolás Suárez,,Nicolás Suárez,247,112,14,24,1,2,1,64,29,45.3441296,5.6680162,9.7165992,0.4048583,0.8097166,0.4048583,25.9109312,11.7408907
1340,Provincia,Pando,Nicolás Suárez,,Urbana,172,108,10,13,1,1,1,18,20,62.7906977,5.8139535,7.5581395,0.5813953,0.5813953,0.5813953,10.4651163,11.627907
1341,Provincia,Pando,Nicolás Suárez,,Rural,75,4,4,11,0,1,0,46,9,5.3333333,5.3333333,14.6666667,0,1.3333333,0,61.3333333,12
1342,Municipio/TIOC,Pando,Nicolás Suárez,Cobija,Cobija,156,102,8,12,1,2,1,11,19,65.3846154,5.1282051,7.6923077,0.6410256,1.2820513,0.6410256,7.0512821,12.1794872
1343,Municipio/TIOC,Pando,Nicolás Suárez,Cobija,Urbana,152,102,8,10,1,1,1,10,19,67.1052632,5.2631579,6.5789474,0.6578947,0.6578947,0.6578947,6.5789474,12.5
1344,Municipio/TIOC,Pando,Nicolás Suárez,Cobija,Rural,4,0,0,2,0,1,0,1,0,0,0,50,0,25,0,25,0
1345,Municipio/TIOC,Pando,Nicolás Suárez,Porvenir,Porvenir,24,6,2,4,0,0,0,11,1,25,8.3333333,16.6666667,0,0,0,45.8333333,4.1666667
1346,Municipio/TIOC,Pando,Nicolás Suárez,Porvenir,Urbana,20,6,2,3,0,0,0,8,1,30,10,15,0,0,0,40,5
1347,Municipio/TIOC,Pando,Nicolás Suárez,Porvenir,Rural,4,0,0,1,0,0,0,3,0,0,0,25,0,0,0,75,0
1348,Municipio/TIOC,Pando,Nicolás Suárez,Bolpebra,Bolpebra,15,0,3,3,0,0,0,6,3,0,20,20,0,0,0,40,20
1349,Municipio/TIOC,Pando,Nicolás Suárez,Bolpebra,Urbana,,,,,,,,,,,,,,,,,
1350,Municipio/TIOC,Pando,Nicolás Suárez,Bolpebra,Rural,15,0,3,3,0,0,0,6,3,0,20,20,0,0,0,40,20
1351,Municipio/TIOC,Pando,Nicolás Suárez,Bella Flor,Bella Flor,52,4,1,5,0,0,0,36,6,7.6923077,1.9230769,9.6153846,0,0,0,69.2307692,11.5384615
1352,Municipio/TIOC,Pando,Nicolás Suárez,Bella Flor,Urbana,,,,,,,,,,,,,,,,,
1353,Municipio/TIOC,Pando,Nicolás Suárez,Bella Flor,Rural,52,4,1,5,0,0,0,36,6,7.6923077,1.9230769,9.6153846,0,0,0,69.2307692,11.5384615
1354,Provincia,Pando,Manuripi,,Manuripi,101,29,2,9,0,0,0,50,11,28.7128713,1.980198,8.9108911,0,0,0,49.5049505,10.8910891
1355,Provincia,Pando,Manuripi,,Urbana,35,23,1,2,0,0,0,2,7,65.7142857,2.8571429,5.7142857,0,0,0,5.7142857,20
1356,Provincia,Pando,Manuripi,,Rural,66,6,1,7,0,0,0,48,4,9.0909091,1.5151515,10.6060606,0,0,0,72.7272727,6.0606061
1357,Municipio/TIOC,Pando,Manuripi,Puerto Rico,Puerto Rico,58,26,2,3,0,0,0,19,8,44.8275862,3.4482759,5.1724138,0,0,0,32.7586207,13.7931034
1358,Municipio/TIOC,Pando,Manuripi,Puerto Rico,Urbana,35,23,1,2,0,0,0,2,7,65.7142857,2.8571429,5.7142857,0,0,0,5.7142857,20
1359,Municipio/TIOC,Pando,Manuripi,Puerto Rico,Rural,23,3,1,1,0,0,0,17,1,13.0434783,4.3478261,4.3478261,0,0,0,73.9130435,4.3478261
1360,Municipio/TIOC,Pando,Manuripi,San Pedro,San Pedro,32,1,0,1,0,0,0,30,0,3.125,0,3.125,0,0,0,93.75,0
1361,Municipio/TIOC,Pando,Manuripi,San Pedro,Urbana,,,,,,,,,,,,,,,,,
1362,Municipio/TIOC,Pando,Manuripi,San Pedro,Rural,32,1,0,1,0,0,0,30,0,3.125,0,3.125,0,0,0,93.75,0
1363,Municipio/TIOC,Pando,Manuripi,Filadelfia,Filadelfia,11,2,0,5,0,0,0,1,3,18.1818182,0,45.4545455,0,0,0,9.0909091,27.2727273
1364,Municipio/TIOC,Pando,Manuripi,Filadelfia,Urbana,,,,,,,,,,,,,,,,,
1365,Municipio/TIOC,Pando,Manuripi,Filadelfia,Rural,11,2,0,5,0,0,0,1,3,18.1818182,0,45.4545455,0,0,0,9.0909091,27.2727273
1366,Provincia,Pando,Madre de Dios,,Madre de Dios,141,49,8,5,0,1,0,71,7,34.751773,5.6737589,3.5460993,0,0.7092199,0,50.3546099,4.964539
1367,Provincia,Pando,Madre de Dios,,Urbana,61,31,2,3,0,0,0,21,4,50.8196721,3.2786885,4.9180328,0,0,0,34.4262295,6.557377
1368,Provincia,Pando,Madre de Dios,,Rural,80,18,6,2,0,1,0,50,3,22.5,7.5,2.5,0,1.25,0,62.5,3.75
1369,Municipio/TIOC,Pando,Madre de Dios,Puerto Gonzalo Moreno,Puerto Gonzalo Moreno,60,9,5,1,0,1,0,40,4,15,8.3333333,1.6666667,0,1.6666667,0,66.6666667,6.6666667
1370,Municipio/TIOC,Pando,Madre de Dios,Puerto Gonzalo Moreno,Urbana,17,2,1,1,0,0,0,11,2,11.7647059,5.8823529,5.8823529,0,0,0,64.7058824,11.7647059
1371,Municipio/TIOC,Pando,Madre de Dios,Puerto Gonzalo Moreno,Rural,43,7,4,0,0,1,0,29,2,16.2790698,9.3023256,0,0,2.3255814,0,67.4418605,4.6511628
1372,Municipio/TIOC,Pando,Madre de Dios,San Lorenzo,San Lorenzo,29,9,2,2,0,0,0,15,1,31.0344828,6.8965517,6.8965517,0,0,0,51.7241379,3.4482759
1373,Municipio/TIOC,Pando,Madre de Dios,San Lorenzo,Urbana,,,,,,,,,,,,,,,,,
1374,Municipio/TIOC,Pando,Madre de Dios,San Lorenzo,Rural,29,9,2,2,0,0,0,15,1,31.0344828,6.8965517,6.8965517,0,0,0,51.7241379,3.4482759
1375,Municipio/TIOC,Pando,Madre de Dios,Sena,Sena,52,31,1,2,0,0,0,16,2,59.6153846,1.9230769,3.8461538,0,0,0,30.7692308,3.8461538
1376,Municipio/TIOC,Pando,Madre de Dios,Sena,Urbana,44,29,1,2,0,0,0,10,2,65.9090909,2.2727273,4.5454545,0,0,0,22.7272727,4.5454545
1377,Municipio/TIOC,Pando,Madre de Dios,Sena,Rural,8,2,0,0,0,0,0,6,0,25,0,0,0,0,0,75,0
1378,Provincia,Pando,Abuná,,Abuná,13,2,1,3,0,1,0,3,3,15.3846154,7.6923077,23.0769231,0,7.6923077,0,23.0769231,23.0769231
1379,Provincia,Pando,Abuná,,Urbana,,,,,,,,,,,,,,,,,
1380,Provincia,Pando,Abuná,,Rural,13,2,1,3,0,1,0,3,3,15.3846154,7.6923077,23.0769231,0,7.6923077,0,23.0769231,23.0769231
1381,Municipio/TIOC,Pando,Abuná,Santa Rosa,Santa Rosa,7,1,0,3,0,0,0,3,0,14.2857143,0,42.8571429,0,0,0,42.8571429,0
1382,Municipio/TIOC,Pando,Abuná,Santa Rosa,Urbana,,,,,,,,,,,,,,,,,
1383,Municipio/TIOC,Pando,Abuná,Santa Rosa,Rural,7,1,0,3,0,0,0,3,0,14.2857143,0,42.8571429,0,0,0,42.8571429,0
1384,Municipio/TIOC,Pando,Abuná,Ingavi,Ingavi,6,1,1,0,0,1,0,0,3,16.6666667,16.6666667,0,0,16.6666667,0,0,50
1385,Municipio/TIOC,Pando,Abuná,Ingavi,Urbana,,,,,,,,,,,,,,,,,
1386,Municipio/TIOC,Pando,Abuná,Ingavi,Rural,6,1,1,0,0,1,0,0,3,16.6666667,16.6666667,0,0,16.6666667,0,0,50
1387,Provincia,Pando,Federico Román,,Federico Román,19,2,2,5,1,2,0,6,1,10.5263158,10.5263158,26.3157895,5.2631579,10.5263158,0,31.5789474,5.2631579
1388,Provincia,Pando,Federico Román,,Urbana,,,,,,,,,,,,,,,,,
1389,Provincia,Pando,Federico Román,,Rural,19,2,2,5,1,2,0,6,1,10.5263158,10.5263158,26.3157895,5.2631579,10.5263158,0,31.5789474,5.2631579
1390,Municipio/TIOC,Pando,Federico Román,Nueva Esperanza,Nueva Esperanza,6,1,1,3,0,0,0,1,0,16.6666667,16.6666667,50,0,0,0,16.6666667,0
1391,Municipio/TIOC,Pando,Federico Román,Nueva Esperanza,Urbana,,,,,,,,,,,,,,,,,
1392,Municipio/TIOC,Pando,Federico Román,Nueva Esperanza,Rural,6,1,1,3,0,0,0,1,0,16.6666667,16.6666667,50,0,0,0,16.6666667,0
1393,Municipio/TIOC,Pando,Federico Román,Villa Nueva,Villa Nueva,7,1,0,1,1,0,0,3,1,14.2857143,0,14.2857143,14.2857143,0,0,42.8571429,14.2857143
1394,Municipio/TIOC,Pando,Federico Román,Villa Nueva,Urbana,,,,,,,,,,,,,,,,,
1395,Municipio/TIOC,Pando,Federico Román,Villa Nueva,Rural,7,1,0,1,1,0,0,3,1,14.2857143,0,14.2857143,14.2857143,0,0,42.8571429,14.2857143
1396,Municipio/TIOC,Pando,Federico Román,Santos Mercado,Santos Mercado,6,0,1,1,0,2,0,2,0,0,16.6666667,16.6666667,0,33.3333333,0,33.3333333,0
1397,Municipio/TIOC,Pando,Federico Román,Santos Mercado,Urbana,,,,,,,,,,,,,,,,,
1398,Municipio/TIOC,Pando,Federico Román,Santos Mercado,Rural,6,0,1,1,0,2,0,2,0,0,16.6666667,16.6666667,0,33.3333333,0,33.3333333,0
Fuente: Instituto Nacional de Estadística,,,,,,,,,,,,,,,,,,,,,,
(1) Corresponden a viviendas colectivas con personas presentes en el día del Censo.,,,,,,,,,,,,,,,,,,,,,,
"(2) En esta categoria se incluye a los centros de salud, postas e Institutos especializados con personas presentes en el día del censo.",,,,,,,,,,,,,,,,,,,,,,
