N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA,NÚMERO DE VIVIENDAS | Total,"NÚMERO DE VIVIENDAS | Hotel, hostal, residencial, alojamiento",NÚMERO DE VIVIENDAS | Hospital o clínica con internación,NÚMERO DE VIVIENDAS | Cuartel o establecimiento militar o policial,NÚMERO DE VIVIENDAS | Residencia u otro de adultos mayores,NÚMERO DE VIVIENDAS | Albergue de niñas(os) y adolescentes,NÚMERO DE VIVIENDAS | Recinto penitenciario o de reintegración,NÚMERO DE VIVIENDAS | Campamento de trabajo,"NÚMERO DE VIVIENDAS | Otra 
(Instituto de rehabilitación, convento)","DISTRIBUCIÓN PORCENTUAL | Hotel, hostal, residencial, alojamiento",DISTRIBUCIÓN PORCENTUAL | Hospital o clínica con internación,DISTRIBUCIÓN PORCENTUAL | Cuartel o establecimiento militar o policial,DISTRIBUCIÓN PORCENTUAL | Residencia u otro de adultos mayores,DISTRIBUCIÓN PORCENTUAL | Albergue de niñas(os) y adolescentes,DISTRIBUCIÓN PORCENTUAL | Recinto penitenciario o de reintegración,DISTRIBUCIÓN PORCENTUAL | Campamento de trabajo,"DISTRIBUCIÓN PORCENTUAL | Otra 
(Instituto de rehabilitación, convento)"
1090,Municipio/TIOC,Santa Cruz,Chiquitos,San José,San José,82,35,2,3,0,0,0,33,9,42.6829268,2.4390244,3.6585366,0,0,0,40.2439024,10.9756098
1091,Municipio/TIOC,Santa Cruz,Chiquitos,San José,Urbana,52,33,2,3,0,0,0,5,9,63.4615385,3.8461538,5.7692308,0,0,0,9.6153846,17.3076923
1092,Municipio/TIOC,Santa Cruz,Chiquitos,San José,Rural,30,2,0,0,0,0,0,28,0,6.6666667,0,0,0,0,0,93.3333333,0
1093,Municipio/TIOC,Santa Cruz,Chiquitos,Pailón,Pailón,305,32,7,5,0,0,0,254,7,10.4918033,2.295082,1.6393443,0,0,0,83.2786885,2.295082
1094,Municipio/TIOC,Santa Cruz,Chiquitos,Pailón,Urbana,62,27,2,5,0,0,0,24,4,43.5483871,3.2258065,8.0645161,0,0,0,38.7096774,6.4516129
1095,Municipio/TIOC,Santa Cruz,Chiquitos,Pailón,Rural,243,5,5,0,0,0,0,230,3,2.0576132,2.0576132,0,0,0,0,94.6502058,1.2345679
1096,Municipio/TIOC,Santa Cruz,Chiquitos,Roboré,Roboré,53,25,2,12,0,1,0,5,8,47.1698113,3.7735849,22.6415094,0,1.8867925,0,9.4339623,15.0943396
1097,Municipio/TIOC,Santa Cruz,Chiquitos,Roboré,Urbana,34,17,1,8,0,1,0,0,7,50,2.9411765,23.5294118,0,2.9411765,0,0,20.5882353
1098,Municipio/TIOC,Santa Cruz,Chiquitos,Roboré,Rural,19,8,1,4,0,0,0,5,1,42.1052632,5.2631579,21.0526316,0,0,0,26.3157895,5.2631579
1099,Provincia,Santa Cruz,Sara,,Sara,92,19,9,2,0,1,1,48,12,20.6521739,9.7826087,2.173913,0,1.0869565,1.0869565,52.173913,13.0434783
1100,Provincia,Santa Cruz,Sara,,Urbana,36,14,6,2,0,0,1,6,7,38.8888889,16.6666667,5.5555556,0,0,2.7777778,16.6666667,19.4444444
1101,Provincia,Santa Cruz,Sara,,Rural,56,5,3,0,0,1,0,42,5,8.9285714,5.3571429,0,0,1.7857143,0,75,8.9285714
1102,Municipio/TIOC,Santa Cruz,Sara,Portachuelo,Portachuelo,34,10,4,1,0,1,1,11,6,29.4117647,11.7647059,2.9411765,0,2.9411765,2.9411765,32.3529412,17.6470588
1103,Municipio/TIOC,Santa Cruz,Sara,Portachuelo,Urbana,27,10,4,1,0,0,1,6,5,37.037037,14.8148148,3.7037037,0,0,3.7037037,22.2222222,18.5185185
1104,Municipio/TIOC,Santa Cruz,Sara,Portachuelo,Rural,7,0,0,0,0,1,0,5,1,0,0,0,0,14.2857143,0,71.4285714,14.2857143
1105,Municipio/TIOC,Santa Cruz,Sara,Santa Rosa,Santa Rosa,46,5,4,0,0,0,0,34,3,10.8695652,8.6956522,0,0,0,0,73.9130435,6.5217391
1106,Municipio/TIOC,Santa Cruz,Sara,Santa Rosa,Urbana,2,1,1,0,0,0,0,0,0,50,50,0,0,0,0,0,0
1107,Municipio/TIOC,Santa Cruz,Sara,Santa Rosa,Rural,44,4,3,0,0,0,0,34,3,9.0909091,6.8181818,0,0,0,0,77.2727273,6.8181818
1108,Municipio/TIOC,Santa Cruz,Sara,Colpa Bélgica,Colpa Bélgica,12,4,1,1,0,0,0,3,3,33.3333333,8.3333333,8.3333333,0,0,0,25,25
1109,Municipio/TIOC,Santa Cruz,Sara,Colpa Bélgica,Urbana,7,3,1,1,0,0,0,0,2,42.8571429,14.2857143,14.2857143,0,0,0,0,28.5714286
1110,Municipio/TIOC,Santa Cruz,Sara,Colpa Bélgica,Rural,5,1,0,0,0,0,0,3,1,20,0,0,0,0,0,60,20
1111,Provincia,Santa Cruz,Cordillera,,Cordillera,312,54,23,40,3,9,1,145,37,17.3076923,7.3717949,12.8205128,0.9615385,2.8846154,0.3205128,46.474359,11.8589744
1112,Provincia,Santa Cruz,Cordillera,,Urbana,112,38,11,26,2,5,1,19,10,33.9285714,9.8214286,23.2142857,1.7857143,4.4642857,0.8928571,16.9642857,8.9285714
1113,Provincia,Santa Cruz,Cordillera,,Rural,200,16,12,14,1,4,0,126,27,8,6,7,0.5,2,0,63,13.5
1114,Municipio/TIOC,Santa Cruz,Cordillera,Lagunillas,Lagunillas,16,10,1,0,0,0,0,3,2,62.5,6.25,0,0,0,0,18.75,12.5
