N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA,NÚMERO DE PERSONAS(1) | 2001 | Total,NÚMERO DE PERSONAS(1) | 2001 | Tiene,NÚMERO DE PERSONAS(1) | 2001 | No tiene,NÚMERO DE PERSONAS(1) | 2012 | Total,NÚMERO DE PERSONAS(1) | 2012 | Tiene,NÚMERO DE PERSONAS(1) | 2012 | No tiene,NÚMERO DE PERSONAS(1) | 2024 | Total,NÚMERO DE PERSONAS(1) | 2024 | Tiene,NÚMERO DE PERSONAS(1) | 2024 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2001 | Tiene,DISTRIBUCIÓN PORCENTUAL | 2001 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2012 | Tiene,DISTRIBUCIÓN PORCENTUAL | 2012 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2024 | Tiene,DISTRIBUCIÓN PORCENTUAL | 2024 | No tiene
51,Municipio/TIOC,Chuquisaca,Tomina,Tomina,Rural,8769,1421,7348,8326,4039,4287,6468,5723,745,16.2048124,83.7951876,48.5106894,51.4893106,88.4817563,11.5182437
52,Municipio/TIOC,Chuquisaca,Tomina,Sopachuy,Sopachuy,7086,1148,5938,7170,2616,4554,6901,4719,2182,16.2009596,83.7990404,36.4853556,63.5146444,68.381394,31.618606
53,Municipio/TIOC,Chuquisaca,Tomina,Sopachuy,Urbana,,,,2029,1951,78,,,,,,96.1557417,3.8442583,,
54,Municipio/TIOC,Chuquisaca,Tomina,Sopachuy,Rural,7086,1148,5938,5141,665,4476,6901,4719,2182,16.2009596,83.7990404,12.9352266,87.0647734,68.381394,31.618606
55,Municipio/TIOC,Chuquisaca,Tomina,Alcalá,Alcalá,3997,909,3088,4834,2408,2426,3756,3515,241,22.7420565,77.2579435,49.8138188,50.1861812,93.5835996,6.4164004
56,Municipio/TIOC,Chuquisaca,Tomina,Alcalá,Urbana,,,,,,,,,,,,,,,
57,Municipio/TIOC,Chuquisaca,Tomina,Alcalá,Rural,3997,909,3088,4834,2408,2426,3756,3515,241,22.7420565,77.2579435,49.8138188,50.1861812,93.5835996,6.4164004
58,Municipio/TIOC,Chuquisaca,Tomina,El Villar,El Villar,4515,362,4153,4308,1531,2777,5639,4290,1349,8.0177187,91.9822813,35.538533,64.461467,76.0773187,23.9226813
59,Municipio/TIOC,Chuquisaca,Tomina,El Villar,Urbana,,,,,,,,,,,,,,,
60,Municipio/TIOC,Chuquisaca,Tomina,El Villar,Rural,4515,362,4153,4308,1531,2777,5639,4290,1349,8.0177187,91.9822813,35.538533,64.461467,76.0773187,23.9226813
61,Provincia,Chuquisaca,Hernando Siles,,Hernando Siles,35395,8839,26556,31348,19895,11453,31231,27116,4115,24.9724537,75.0275463,63.4649738,36.5350262,86.823989,13.176011
62,Provincia,Chuquisaca,Hernando Siles,,Urbana,6876,5924,952,10728,10406,322,12740,12588,152,86.1547411,13.8452589,96.9985086,3.0014914,98.8069074,1.1930926
63,Provincia,Chuquisaca,Hernando Siles,,Rural,28519,2915,25604,20620,9489,11131,18491,14528,3963,10.221256,89.778744,46.0184287,53.9815713,78.567952,21.432048
64,Municipio/TIOC,Chuquisaca,Hernando Siles,Monteagudo,Monteagudo,25692,8122,17570,23316,16032,7284,24168,21213,2955,31.6129534,68.3870466,68.75965,31.24035,87.7730884,12.2269116
65,Municipio/TIOC,Chuquisaca,Hernando Siles,Monteagudo,Urbana,6876,5924,952,10728,10406,322,12740,12588,152,86.1547411,13.8452589,96.9985086,3.0014914,98.8069074,1.1930926
66,Municipio/TIOC,Chuquisaca,Hernando Siles,Monteagudo,Rural,18816,2198,16618,12588,5626,6962,11428,8625,2803,11.6815476,88.3184524,44.6933588,55.3066412,75.4725236,24.5274764
67,Municipio/TIOC,Chuquisaca,Hernando Siles,Huacareta,Huacareta,9703,717,8986,8032,3863,4169,7063,5903,1160,7.3894672,92.6105328,48.0951195,51.9048805,83.576384,16.423616
68,Municipio/TIOC,Chuquisaca,Hernando Siles,Huacareta,Urbana,,,,,,,,,,,,,,,
69,Municipio/TIOC,Chuquisaca,Hernando Siles,Huacareta,Rural,9703,717,8986,8032,3863,4169,7063,5903,1160,7.3894672,92.6105328,48.0951195,51.9048805,83.576384,16.423616
70,Provincia,Chuquisaca,Yamparáez,,Yamparáez,29339,7729,21610,26596,13873,12723,21577,18731,2846,26.3437745,73.6562255,52.1619792,47.8380208,86.8100292,13.1899708
71,Provincia,Chuquisaca,Yamparáez,,Urbana,2393,1849,544,2850,2570,280,2844,2703,141,77.2670288,22.7329712,90.1754386,9.8245614,95.0421941,4.9578059
72,Provincia,Chuquisaca,Yamparáez,,Rural,26946,5880,21066,23746,11303,12443,18733,16028,2705,21.8214206,78.1785794,47.5995957,52.4004043,85.5602413,14.4397587
73,Municipio/TIOC,Chuquisaca,Yamparáez,Tarabuco,Tarabuco,19414,3949,15465,16713,8653,8060,13151,11452,1699,20.340991,79.659009,51.7740681,48.2259319,87.0808304,12.9191696
74,Municipio/TIOC,Chuquisaca,Yamparáez,Tarabuco,Urbana,2393,1849,544,2850,2570,280,2844,2703,141,77.2670288,22.7329712,90.1754386,9.8245614,95.0421941,4.9578059
75,Municipio/TIOC,Chuquisaca,Yamparáez,Tarabuco,Rural,17021,2100,14921,13863,6083,7780,10307,8749,1558,12.3377005,87.6622995,43.8793912,56.1206088,84.8840594,15.1159406
76,Municipio/TIOC,Chuquisaca,Yamparáez,Yamparáez,Yamparáez,9925,3780,6145,9883,5220,4663,8426,7279,1147,38.0856423,61.9143577,52.8179703,47.1820297,86.3873724,13.6126276
77,Municipio/TIOC,Chuquisaca,Yamparáez,Yamparáez,Urbana,,,,,,,,,,,,,,,
78,Municipio/TIOC,Chuquisaca,Yamparáez,Yamparáez,Rural,9925,3780,6145,9883,5220,4663,8426,7279,1147,38.0856423,61.9143577,52.8179703,47.1820297,86.3873724,13.6126276
79,Provincia,Chuquisaca,Nor Cinti,,Nor Cinti,68626,12221,56405,75765,34807,40958,71214,54268,16946,17.8081194,82.1918806,45.9407378,54.0592622,76.2041172,23.7958828
