c_ut,count,mean,median,std,min,max,q10,q20,q25,q30,q40,q50,q60,q70,q75,q80,q90,IQR,name,province,department,num_dpto,surface,Population_2024,density
50601,5116,0.390,0.266,0.208,0.132,1.072,0.240,0.240,0.240,0.240,0.244,0.266,0.330,0.448,0.514,0.559,0.716,0.274,Cotagaita,Nor Chichas,Potosi,5,6435,29070,4.52
50602,1985,0.264,0.240,0.043,0.24,0.422,0.240,0.240,0.240,0.240,0.240,0.240,0.242,0.255,0.269,0.284,0.333,0.029,Vitichi,Nor Chichas,Potosi,5,1756,10102,5.75
50701,2425,0.253,0.243,0.021,0.24,0.337,0.240,0.240,0.240,0.240,0.240,0.243,0.247,0.252,0.257,0.262,0.284,0.017,Sacaca,Alonso de Ibanez,Potosi,5,892.5,17188,19.26
50702,1120,0.251,0.243,0.016,0.24,0.312,0.240,0.240,0.240,0.240,0.241,0.243,0.246,0.251,0.256,0.260,0.277,0.016,Caripuyo,Alonso de Ibanez,Potosi,5,518.1,8427,16.27
50901,1103,0.531,0.374,0.364,0.24,1.774,0.240,0.240,0.243,0.255,0.298,0.374,0.473,0.609,0.700,0.810,1.118,0.457,Colcha K,Nor Lipez,Potosi,5,15904,12638,0.79
50902,454,0.279,0.249,0.064,0.24,0.528,0.240,0.240,0.240,0.240,0.242,0.249,0.260,0.276,0.289,0.305,0.381,0.049,San Pedro de Quemes,Nor Lipez,Potosi,5,4403,1603,0.36
51001,498,0.315,0.250,0.118,0.024,0.692,0.240,0.240,0.240,0.240,0.240,0.250,0.277,0.322,0.359,0.394,0.499,0.119,San Pablo de Lipez,Sud Lipez,Potosi,5,15321,3136,0.2
51003,131,0.318,0.262,0.111,0.24,0.656,0.240,0.240,0.240,0.240,0.248,0.262,0.278,0.335,0.370,0.393,0.493,0.130,San Antonio de Esmoruco,Sud Lipez,Potosi,5,2512,1941,0.77
51101,4676,0.272,0.240,0.056,0.24,0.476,0.240,0.240,0.240,0.240,0.240,0.240,0.246,0.266,0.282,0.301,0.366,0.042,Puna,Linares,Potosi,5,1400,16350,11.68
51102,2499,0.298,0.243,0.094,0.24,0.621,0.240,0.240,0.240,0.240,0.240,0.243,0.260,0.293,0.321,0.354,0.453,0.081,Caiza D,Linares,Potosi,5,1376,12891,9.37
51103,875,0.259,0.240,0.033,0.24,0.379,0.240,0.240,0.240,0.240,0.240,0.240,0.243,0.255,0.265,0.279,0.319,0.025,Ckochas,Linares,Potosi,5,2100,14301,6.81
51202,1823,0.255,0.240,0.029,0.24,0.37,0.240,0.240,0.240,0.240,0.240,0.240,0.242,0.249,0.255,0.267,0.300,0.015,Tomave,Quijarro,Potosi,5,8239,7811,0.95
51203,1846,0.698,0.548,0.493,0.24,2.26,0.240,0.241,0.245,0.283,0.406,0.548,0.707,0.877,0.985,1.108,1.434,0.740,Porco,Quijarro,Potosi,5,1149,14626,12.73
51301,540,0.256,0.240,0.030,0.24,0.366,0.240,0.240,0.240,0.240,0.240,0.240,0.242,0.250,0.260,0.271,0.302,0.020,Arampampa,General Bilbao,Potosi,5,424.7,3623,8.53
51302,906,0.244,0.240,0.009,0.24,0.284,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.242,0.245,0.255,0.002,Acasio,General Bilbao,Potosi,5,345.3,4434,12.84
51401,1092,0.359,0.260,0.185,0.24,0.968,0.240,0.240,0.240,0.240,0.244,0.260,0.293,0.352,0.395,0.470,0.676,0.155,Llica,Daniel Campos,Potosi,5,5812,4150,0.71
51402,369,0.276,0.240,0.066,0.24,0.509,0.240,0.240,0.240,0.240,0.240,0.240,0.243,0.263,0.288,0.312,0.381,0.048,Tahua,Daniel Campos,Potosi,5,1105,1561,1.41
51501,8555,0.645,0.549,0.385,0.24,1.849,0.240,0.278,0.313,0.357,0.448,0.549,0.659,0.785,0.863,0.956,1.226,0.550,Villazon,Modesto Omiste,Potosi,5,2469,49312,19.97
51601,219,0.543,0.434,0.323,0.24,1.454,0.240,0.244,0.280,0.301,0.354,0.434,0.524,0.658,0.721,0.787,1.075,0.442,San Agustin,Enrique Baldivieso,Potosi,5,2116,2119,1
