municipality,department,sector,end_use,MWh,muni_ramp
Exaltación,Beni,SERVICES,COOKING,3.1376,Exaltación
Exaltación,Beni,SERVICES,MECHANICAL_ENERGY_COMM,2.0170,Exaltación
Exaltación,Beni,SERVICES,LIGHTING_R_C,2.2411,Exaltación
Exaltación,Beni,SERVICES,HEAT_LOW_T_HW,1.6435,Exaltación
El Sena,Pando,SERVICES,ELECTRICITY,727.0804,Sena
El Sena,Pando,SERVICES,SPACE_COOLING,124.5810,Sena
El Sena,Pando,SERVICES,FOOD_PRESERVATION,91.2878,Sena
El Sena,Pando,SERVICES,COOKING,45.1069,Sena
El Sena,Pando,SERVICES,MECHANICAL_ENERGY_COMM,28.9973,Sena
El Sena,Pando,SERVICES,LIGHTING_R_C,32.2192,Sena
El Sena,Pando,SERVICES,HEAT_LOW_T_HW,23.6274,Sena
Puerto Gonzalo Moreno,Pando,SERVICES,ELECTRICITY,279.9419,Puerto_Gonzalo_Moreno
Puerto Gonzalo Moreno,Pando,SERVICES,SPACE_COOLING,47.9664,Puerto_Gonzalo_Moreno
Puerto Gonzalo Moreno,Pando,SERVICES,FOOD_PRESERVATION,35.1478,Puerto_Gonzalo_Moreno
Puerto Gonzalo Moreno,Pando,SERVICES,COOKING,17.3671,Puerto_Gonzalo_Moreno
Puerto Gonzalo Moreno,Pando,SERVICES,MECHANICAL_ENERGY_COMM,11.1646,Puerto_Gonzalo_Moreno
Puerto Gonzalo Moreno,Pando,SERVICES,LIGHTING_R_C,12.4051,Puerto_Gonzalo_Moreno
Puerto Gonzalo Moreno,Pando,SERVICES,HEAT_LOW_T_HW,9.0971,Puerto_Gonzalo_Moreno
Villa Nueva,Pando,SERVICES,ELECTRICITY,125.0857,Villa_Nueva
Villa Nueva,Pando,SERVICES,SPACE_COOLING,21.4327,Villa_Nueva
Villa Nueva,Pando,SERVICES,FOOD_PRESERVATION,15.7050,Villa_Nueva
Villa Nueva,Pando,SERVICES,COOKING,7.7601,Villa_Nueva
Villa Nueva,Pando,SERVICES,MECHANICAL_ENERGY_COMM,4.9886,Villa_Nueva
Villa Nueva,Pando,SERVICES,LIGHTING_R_C,5.5429,Villa_Nueva
Villa Nueva,Pando,SERVICES,HEAT_LOW_T_HW,4.0648,Villa_Nueva
Cobija,Pando,SERVICES,ELECTRICITY,12780.6689,Cobija
Cobija,Pando,SERVICES,SPACE_COOLING,2189.8931,Cobija
Cobija,Pando,SERVICES,FOOD_PRESERVATION,1604.6630,Cobija
Cobija,Pando,SERVICES,COOKING,792.8923,Cobija
Cobija,Pando,SERVICES,MECHANICAL_ENERGY_COMM,509.7165,Cobija
Cobija,Pando,SERVICES,LIGHTING_R_C,566.3517,Cobija
Cobija,Pando,SERVICES,HEAT_LOW_T_HW,415.3245,Cobija
