PV,SOLAR,WIND_ONSHORE
0.242000,0.275883,0.339333
0.143667,0.170814,0.284333
0.054000,0.076498,0.222667
0.000000,0.012596,0.196667
0.000000,0.000000,0.154000
0.000000,0.000000,0.122667
0.000000,0.000000,0.114667
0.000000,0.000000,0.110667
0.000000,0.000000,0.112667
0.000000,0.000000,0.115333
0.000000,0.000000,0.110000
0.000000,0.000000,0.104000
0.000000,0.000000,0.101333
0.000000,0.000000,0.111333
0.000000,0.000000,0.140667
0.002000,0.017512,0.136333
0.068333,0.090937,0.094333
0.175667,0.201536,0.124667
0.279000,0.312750,0.158000
0.347667,0.391398,0.176333
0.373000,0.421813,0.182333
0.377333,0.428264,0.172333
0.371667,0.423041,0.150667
0.336667,0.382796,0.121000
0.270667,0.308449,0.084000
0.174000,0.203072,0.044000
0.071333,0.095545,0.020333
0.002667,0.018433,0.010667
0.000000,0.000000,0.005333
0.000000,0.000000,0.007667
0.000000,0.000000,0.016333
0.000000,0.000000,0.026000
0.000000,0.000000,0.031667
0.000000,0.000000,0.030333
0.000000,0.000000,0.025667
0.000000,0.000000,0.022667
0.000000,0.000000,0.021333
0.000000,0.000000,0.019667
0.000000,0.000000,0.017000
0.006667,0.022734,0.018333
0.086667,0.109985,0.007000
0.203333,0.231951,0.013000
0.313000,0.352381,0.032333
0.414667,0.472504,0.061667
0.506667,0.588633,0.089000
0.570667,0.674654,0.108000
0.542000,0.639017,0.117667
0.478667,0.556989,0.118000
0.386667,0.443011,0.105333
0.252667,0.289401,0.064667
0.108333,0.134562,0.029667
0.006000,0.023041,0.025667
0.000000,0.000000,0.045667
0.000000,0.000000,0.057000
0.000000,0.000000,0.059333
0.000000,0.000000,0.050667
0.000000,0.000000,0.037333
0.000000,0.000000,0.025667
0.000000,0.000000,0.022333
0.000000,0.000000,0.023000
0.000000,0.000000,0.021333
0.000000,0.000000,0.021333
0.000000,0.000000,0.015667
0.005333,0.021505,0.010000
0.078333,0.101690,0.004000
0.176333,0.204608,0.008333
0.260667,0.297081,0.017667
0.310000,0.352381,0.021667
0.325000,0.369278,0.020667
0.319000,0.362826,0.017333
0.296000,0.337020,0.016667
0.253000,0.289401,0.016667
0.193333,0.224578,0.015000
0.121000,0.148080,0.011333
0.047333,0.070046,0.008667
0.000000,0.012903,0.011000
0.000000,0.000000,0.020333
0.000000,0.000000,0.031667
0.000000,0.000000,0.036000
0.000000,0.000000,0.032667
0.000000,0.000000,0.029333
0.000000,0.000000,0.027667
0.000000,0.000000,0.028667
0.000000,0.000000,0.028000
0.000000,0.000000,0.020667
0.000000,0.000000,0.015000
0.000000,0.000000,0.011000
0.004667,0.020891,0.009667
0.080000,0.103226,0.006667
0.176000,0.203379,0.001333
0.265000,0.300154,0.000333
0.331667,0.375422,0.000000
0.373333,0.423963,0.000333
0.395667,0.450998,0.001000
0.390333,0.445469,0.001333
0.380000,0.433487,0.001000
0.326000,0.370814,0.001000
0.228333,0.261751,0.000333
0.110000,0.136098,0.000000
0.009667,0.027035,0.000333
0.000000,0.000000,0.000667
0.000000,0.000000,0.000667
0.000000,0.000000,0.000000
0.000000,0.000000,0.001333
0.000000,0.000000,0.004667
0.000000,0.000000,0.011333
0.000000,0.000000,0.040000
0.000000,0.000000,0.068333
0.000000,0.000000,0.067667
0.000000,0.000000,0.046333
0.000000,0.000000,0.030667
0.005000,0.018433,0.027000
0.067333,0.089708,0.002333
0.177333,0.206759,0.001667
0.303667,0.347158,0.010333
0.420000,0.484793,0.018667
0.515667,0.604916,0.030667
0.577333,0.685100,0.044667
0.568667,0.673733,0.055000
0.507333,0.592934,0.062667
0.401333,0.460215,0.066000
0.263000,0.301075,0.050000
0.115000,0.141935,0.025667
0.007667,0.024885,0.016667
0.000000,0.000000,0.019000
0.000000,0.000000,0.021667
0.000000,0.000000,0.036333
0.000000,0.000000,0.057000
0.000000,0.000000,0.063333
0.000000,0.000000,0.053667
0.000000,0.000000,0.048333
0.000000,0.000000,0.046333
0.000000,0.000000,0.044333
0.000000,0.000000,0.046667
0.000000,0.000000,0.049333
0.002667,0.017512,0.050000
0.069000,0.092166,0.019667
0.169667,0.196621,0.022000
0.261000,0.295853,0.042333
0.325667,0.369278,0.052000
0.348000,0.396928,0.052333
0.348000,0.398771,0.054333
0.324667,0.370507,0.048333
0.273667,0.311828,0.037000
0.203333,0.235330,0.023333
0.126000,0.152688,0.010333
0.049333,0.072197,0.002333
0.000000,0.012903,0.001333
0.000000,0.000000,0.004333
0.000000,0.000000,0.008667
0.000000,0.000000,0.015000
0.000000,0.000000,0.020667
0.000000,0.000000,0.029000
0.000000,0.000000,0.036667
0.000000,0.000000,0.035333
0.000000,0.000000,0.028333
0.000000,0.000000,0.022667
0.000000,0.000000,0.019667
0.000000,0.000000,0.016333
0.003667,0.017512,0.013667
0.068000,0.091244,0.006333
0.163667,0.191705,0.009000
0.247667,0.282335,0.014333
0.304667,0.346544,0.008333
0.317667,0.360369,0.002333
0.313000,0.353303,0.001000
0.294667,0.332719,0.000667
0.251000,0.284793,0.001000
0.190333,0.219355,0.000667
0.109000,0.134255,0.000000
0.042667,0.064823,0.000333
0.000000,0.011982,0.001000
0.000000,0.000000,0.002000
0.000000,0.000000,0.004667
0.000000,0.000000,0.007333
0.000000,0.000000,0.009333
0.000000,0.000000,0.013333
0.000000,0.000000,0.017333
0.000000,0.000000,0.039667
