Cluster,Comunidad,Municipio_std,HH,distance_km,nearest_line_type,annual_extension_EUR_HH,annual_standalone_EUR_HH,dispersed,breakeven_distance_km
C1,EL TIGRE ALTO MADIDI,Ixiamas,59.23732251521298,43.49456563614475,SIN,787.31,1547.35,False,86.436
C1,AGUAS DE LA VIDA,Ixiamas,5.289046653144016,60.53321706939278,SIN,12017.29,1547.35,True,7.717
C1,EL TIGRE,Ixiamas,23.27180527383367,62.7795633113302,Sist. Ais.,2845.91,1547.35,True,33.957
C1,EL CARMEN,Ixiamas,13.751521298174442,64.64110081017941,Sist. Ais.,4945.99,1547.35,True,20.065
C1,LA PALCA,Ixiamas,17.982758620689655,64.74225260556479,Sist. Ais.,3792.24,1547.35,True,26.239
C1,SAN JUAN,Ixiamas,9.520283975659227,66.16714173589168,Sist. Ais.,7304.5,1547.35,True,13.891
C1,PUERTO ARAONA,Ixiamas,21.156186612576064,75.25323928751718,Sist. Ais.,3746.93,1547.35,True,30.87
C1,SANTA ROSA,Ixiamas,52.89046653144016,76.7164400110649,Sist. Ais.,1538.26,1547.35,False,77.175
C1,CARMEN DEL EMERO,Ixiamas,28.560851926977687,78.03452334493518,SIN,2882.14,1547.35,True,41.674
C1,ANTOFAGASTA,Ixiamas,3.1734279918864097,80.17847130936791,Sist. Ais.,26507.8,1547.35,True,4.63
C1,CAMPO CENTRAL,Ixiamas,24.329614604462478,83.15342421541438,Sist. Ais.,3600.94,1547.35,True,35.5
C1,MONTECRISTO,Ixiamas,6.346855983772819,87.51078904397038,Sist. Ais.,14473.9,1547.35,True,9.261
C1,PAQUIOSAL,Ixiamas,12.69371196754564,90.13738214773204,Sist. Ais.,7462.64,1547.35,True,18.522
C1,NUEVA JERUSALEN,Ixiamas,10.578093306288032,90.86820383966509,Sist. Ais.,9024.11,1547.35,True,15.435
C1,CAMPO BRAVO,Ixiamas,3.1734279918864097,91.00951482321057,Sist. Ais.,30086.28,1547.35,True,4.63
C1,CAYUBABA,Ixiamas,10.578093306288032,93.64071320114252,Sist. Ais.,9298.92,1547.35,True,15.435
C1,BARRACON,Ixiamas,10.578093306288032,99.6440252533788,Sist. Ais.,9893.95,1547.35,True,15.435
C1,NUEVA ESPERANZA,Ixiamas,3.1734279918864097,100.12083003440245,SIN,33096.59,1547.35,True,4.63
C1,SANTA ANITA,Ixiamas,11.635902636916835,100.2867774056765,SIN,9054.0,1547.35,True,16.978
C1,ESPERANZA DEL MADIDI,Ixiamas,2.1156186612576064,101.77700708372956,Sist. Ais.,50456.93,1547.35,True,3.087
C1,CAMPESINA LAS PALMAS,Ixiamas,13.751521298174442,104.24694238381464,Sist. Ais.,7965.71,1547.35,True,20.065
