Municipio_std,Cluster,Municipio_raw,Comunidad,No_tiene_2012,Poblacion_2012,distance_km,Dist_band
Reyes,C1,Primera Sección - Reyes,SAN JUAN,24.0,70.0,196.8497514915213,>50 km
Reyes,C1,Primera Sección - Reyes,MONTE CARLOS,7.0,90.0,206.31321598156703,>50 km
Reyes,C1,Primera Sección - Reyes,BAYCHUJE,6.0,239.0,210.1700653831887,>50 km
Reyes,C1,Primera Sección - Reyes,SAN FELIPE,15.0,155.0,211.82282780959918,>50 km
Reyes,C1,Primera Sección - Reyes,SAN MIGUEL DE SORAIDA,4.0,125.0,214.55350934968058,>50 km
Reyes,C1,Primera Sección - Reyes,GUALAGUAGUA,28.0,224.0,216.4225496534134,>50 km
Reyes,C1,Primera Sección - Reyes,REYES,88.0,7202.0,216.99888023117128,>50 km
Reyes,C1,Primera Sección - Reyes,ESTANCIAS DISPERSAS,26.0,6.0,217.86684742009263,>50 km
Reyes,C1,Primera Sección - Reyes,SAN JOSE,9.0,82.0,220.8740857039286,>50 km
Reyes,C1,Primera Sección - Reyes,LA UNION,19.0,136.0,221.41121373265258,>50 km
Reyes,C1,Primera Sección - Reyes,GUAGUA UNO,40.0,149.0,222.6940145656605,>50 km
Reyes,C1,Primera Sección - Reyes,RIO VIEJO,27.0,137.0,222.879292122845,>50 km
Reyes,C1,Primera Sección - Reyes,REMANSO,2.0,23.0,223.6708036251618,>50 km
Reyes,C1,Primera Sección - Reyes,EL COZAR,29.0,175.0,223.7218167471659,>50 km
Reyes,C1,Primera Sección - Reyes,VILLA COPACABANA,29.0,170.0,226.29630625967906,>50 km
Reyes,C1,Primera Sección - Reyes,NUEVO AMANECER,26.0,87.0,228.09449065714048,>50 km
Santa_Rosa_Beni,C1,Tercera Sección - Santa Rosa,TABLERO,25.0,132.0,71.085948242433,>50 km
Santa_Rosa_Beni,C1,Tercera Sección - Santa Rosa,AUSTRALIA,56.0,373.0,74.52552308013537,>50 km
Santa_Rosa_Beni,C1,Tercera Sección - Santa Rosa,PORVENIR,1.0,124.0,81.0671119833166,>50 km
Santa_Rosa_Beni,C1,Tercera Sección - Santa Rosa,TRINIDAD,12.0,53.0,82.99883496088543,>50 km
Santa_Rosa_Beni,C1,Tercera Sección - Santa Rosa,CAVADOR,11.0,192.0,83.9908622484615,>50 km
Santa_Rosa_Beni,C1,Tercera Sección - Santa Rosa,PALMA FLOR,30.0,281.0,84.23660474483056,>50 km
Santa_Rosa_Beni,C1,Tercera Sección - Santa Rosa,MACEDONIA,20.0,132.0,86.7048676188656,>50 km
Santa_Rosa_Beni,C1,Tercera Sección - Santa Rosa,PONTON SANTA TERESA DEL YATA,1.0,43.0,91.36857248835682,>50 km
Santa_Rosa_Beni,C1,Tercera Sección - Santa Rosa,EL CERRITO,10.0,298.0,93.15078758442078,>50 km
Santa_Rosa_Beni,C1,Tercera Sección - Santa Rosa,PUERTO TERESA,10.0,231.0,96.19598737415544,>50 km
Santa_Rosa_Beni,C1,Tercera Sección - Santa Rosa,EL TORO,1.0,35.0,98.60029573932582,>50 km
Santa_Rosa_Beni,C1,Tercera Sección - Santa Rosa,PUERTO YATA,2.0,164.0,99.42947253380994,>50 km
Santa_Rosa_Beni,C1,Tercera Sección - Santa Rosa,EL ENCERRADO,2.0,199.0,102.58258280476315,>50 km
Santa_Rosa_Beni,C1,Tercera Sección - Santa Rosa,TACUARAL,28.0,184.0,108.8468284739075,>50 km
Santa_Rosa_Beni,C1,Tercera Sección - Santa Rosa,PALMIRA,2.0,56.0,125.79861344938554,>50 km
Santa_Rosa_Beni,C1,Tercera Sección - Santa Rosa,EL CANDADO,10.0,239.0,126.41204620900173,>50 km
Santa_Rosa_Beni,C1,Tercera Sección - Santa Rosa,LA INDIA,1.0,25.0,129.09442849987195,>50 km
