Cluster,Comunidad,Municipio_std,HH,distance_km,nearest_line_type,annual_extension_EUR_HH,annual_standalone_EUR_HH,dispersed,breakeven_distance_km,Panel_2024,Motor_2024,Otra_2024
C1,CARNAVAL,Reyes,10.286194661533823,29.64469083329769,Sist. Ais.,3039.17,1583.83,True,15.367,3.5206611570247937,1.6551724137931034,0.0
C1,CARMEN ALTO,Reyes,64.68358804294891,39.06838414010726,Sist. Ais.,650.75,1583.83,False,96.633,8.801652892561984,4.9655172413793105,0.0
C1,LA ESPERANZA,Reyes,4.104427077294126,44.99540825013622,Sist. Ais.,11511.54,1583.83,True,6.132,1.7603305785123968,1.103448275862069,0.0
C1,SANTA LOURDES,Reyes,11.950696876231998,45.54625875117102,Sist. Ais.,4013.4,1583.83,True,17.854,1.7603305785123968,0.0,0.0
C1,LAS OLLITAS,Reyes,1.6142482781011571,53.59831174495377,Sist. Ais.,34830.27,1583.83,True,2.412,1.7603305785123968,0.0,0.0
C1,SAN PEDRO,Reyes,26.804410843904364,61.13883268660233,SIN,2408.97,1583.83,True,40.044,10.561983471074381,0.0,0.4074074074074074
C1,SAN JOSE,Reyes,53.57171679692029,62.5963814743042,Sist. Ais.,1242.58,1583.83,False,80.033,0.0,1.6551724137931034,0.0
C1,PUERTO SALINAS,Reyes,19.19626168224299,65.91102082517787,SIN,3617.45,1583.83,True,28.678,0.0,0.0,0.0
C1,LAGO BUENA VISTA,Reyes,17.256533939379885,69.02785392269139,Sist. Ais.,4211.48,1583.83,True,25.78,1.7603305785123968,0.5517241379310345,0.0
C1,NATIVIDAD,Reyes,7.796015862340855,71.4536212463901,Sist. Ais.,9627.17,1583.83,True,11.647,0.0,1.6551724137931034,0.0
C1,LAS MERCEDES,Reyes,10.474061362213307,76.31524770574404,Sist. Ais.,7656.79,1583.83,True,15.648,0.0,0.5517241379310345,0.0
C1,PUERTO CAVINA,Reyes,19.696458801975837,86.09236999427894,Sist. Ais.,4600.31,1583.83,True,29.425,5.2809917355371905,3.310344827586207,0.0
C1,MISION CAVINAS,Reyes,27.3177570093458,92.5992063100274,Sist. Ais.,3571.5,1583.83,True,40.811,0.0,0.0,0.0
C1,SANTA CATALINA,Reyes,19.28362050972844,95.92508664614128,SIN,5233.04,1583.83,True,28.808,0.0,2.206896551724138,0.8148148148148148
C1,LAS PEÑITAS,Reyes,16.55532107325897,97.99526511085028,SIN,6223.67,1583.83,True,24.733,3.5206611570247937,2.206896551724138,2.8518518518518516
C1,BAQUETI,Reyes,14.39062173882795,103.43602066252632,SIN,7553.64,1583.83,True,21.499,7.041322314049587,1.6551724137931034,0.4074074074074074
C1,SAN MIGUEL,Reyes,14.165650147260036,105.23281783591366,SIN,7806.31,1583.83,True,21.163,1.7603305785123968,0.0,0.0
C1,NUEVA ALIANZA,Reyes,7.745761925743837,107.50004930470978,Sist. Ais.,14568.8,1583.83,True,11.572,0.0,4.413793103448276,0.0
C1,CAMPO BOLIVAR,Reyes,23.575914287702048,107.8426912427021,Sist. Ais.,4813.49,1583.83,True,35.221,8.801652892561984,0.0,0.0
C1,NUEVO REYES,Reyes,7.195310869413975,108.53775606893764,Sist. Ais.,15833.21,1583.83,True,10.749,3.5206611570247937,0.5517241379310345,0.4074074074074074
C1,PEÑA GUARAYO,Reyes,16.46796224577352,110.1345880483854,Sist. Ais.,7029.48,1583.83,True,24.602,5.2809917355371905,2.206896551724138,0.0
C1,CANDELARIA,Reyes,33.0735372556295,114.22629189642043,SIN,3638.6,1583.83,True,49.41,1.7603305785123968,7.724137931034482,0.0
C1,EL TRIUNFO,Santa_Rosa_Beni,28.681212677997244,0.0093065830437991,SIN,17.81,1608.72,False,43.529,11.911764705882353,1.7217391304347827,0.0
C1,EL ROSARIO,Santa_Rosa_Beni,14.635277905374368,0.0158405554524117,SIN,18.61,1608.72,False,22.212,1.3235294117647058,0.0,1.3076923076923077
C1,SANTA ROSA DE YACUMA,Santa_Rosa_Beni,49.38033991731741,0.03157501223138,SIN,18.15,1608.72,False,74.943,2.6470588235294117,8.608695652173912,1.3076923076923077
C1,PICAFLORES,Santa_Rosa_Beni,38.21175930179145,0.0870619334182219,SIN,19.86,1608.72,False,57.993,31.764705882352942,0.0,0.0
C1,SAN BARTOLOME,Santa_Rosa_Beni,39.40055121727147,0.1292412750419755,SIN,20.91,1608.72,False,59.797,29.117647058823525,1.7217391304347827,0.0
C1,VILLA FATIMA,Santa_Rosa_Beni,43.92604501607717,2.00921547412078,SIN,65.43,1608.72,False,66.665,29.117647058823525,10.330434782608695,0.0
C1,SAN CRISTOBAL,Santa_Rosa_Beni,89.85989894350024,5.4416126300163485,SIN,80.97,1608.72,False,136.378,47.64705882352941,6.886956521739131,0.0
C1,EL MOJON,Santa_Rosa_Beni,21.188791915480017,6.038981999378066,SIN,316.3,1608.72,False,32.158,15.882352941176471,1.7217391304347827,0.0
C1,AWAISAL,Santa_Rosa_Beni,37.022967386311436,6.83539232931307,SIN,211.05,1608.72,False,56.189,33.088235294117645,0.0,0.0
C1,LA INDIA,Santa_Rosa_Beni,5.594395957740009,24.07288134823556,SIN,4529.1,1608.72,True,8.49,0.0,3.4434782608695653,1.3076923076923077
C1,VILLAZON,Santa_Rosa_Beni,4.165824529168581,25.29454351111948,SIN,6383.73,1608.72,True,6.322,0.0,3.4434782608695653,0.0
C1,PALMIRA,Santa_Rosa_Beni,16.903077629765733,37.7265293591546,SIN,2357.6,1608.72,True,25.653,10.588235294117647,3.4434782608695653,0.0
C1,PUERTO YATA,Santa_Rosa_Beni,14.045934772622875,42.3067833122065,SIN,3175.51,1608.72,True,21.317,1.3235294117647058,10.330434782608695,1.3076923076923077
C1,EL CANDADO,Santa_Rosa_Beni,35.94395957740009,42.31332195181801,SIN,1251.74,1608.72,False,54.551,1.3235294117647058,25.82608695652174,0.0
C1,PUERTO TERESA,Santa_Rosa_Beni,34.51538814882866,43.55094797622824,SIN,1340.42,1608.72,False,52.383,11.911764705882353,8.608695652173912,1.3076923076923077
C1,TACUARAL,Santa_Rosa_Beni,45.214515388148826,55.78810506288406,SIN,1311.14,1608.72,False,68.621,1.3235294117647058,8.608695652173912,0.0
C1,EL ENCERRADO,Santa_Rosa_Beni,58.33164905833716,63.50141017293479,SIN,1158.87,1608.72,False,88.528,51.61764705882353,0.0,0.0
C1,TRINIDAD,Santa_Rosa_Beni,18.56132292145154,66.47691229970191,Sist. Ais.,3772.56,1608.72,True,28.17,0.0,1.7217391304347827,1.3076923076923077
C1,EL TORO,Santa_Rosa_Beni,8.451538814882866,70.24694491574769,SIN,8732.12,1608.72,True,12.827,5.294117647058823,1.7217391304347827,0.0
C1,TABLERO,Santa_Rosa_Beni,38.4313275149288,70.96366972608472,Sist. Ais.,1953.49,1608.72,True,58.326,0.0,5.165217391304347,1.3076923076923077
C1,EL CERRITO,Santa_Rosa_Beni,57.37253100597152,81.11979809212923,SIN,1499.93,1608.72,False,87.073,9.26470588235294,41.32173913043478,0.0
C1,PONTON SANTA TERESA DEL YATA,Santa_Rosa_Beni,1.3086816720257235,89.33744156514074,Sist. Ais.,71591.85,1608.72,True,1.986,0.0,0.0,0.0
C1,PALMA FLOR,Santa_Rosa_Beni,70.68902158934313,96.49146513351825,SIN,1448.66,1608.72,False,107.283,17.205882352941178,15.495652173913046,0.0
C1,PORVENIR,Santa_Rosa_Beni,35.594395957740005,104.77183596551316,SIN,3103.65,1608.72,True,54.021,29.117647058823525,3.4434782608695653,0.0
