Code;Municipio;Departamento;Population density;Latitude;Longitude;Cp_PV;Cp_Wind;GDP;Altitude;Temp;Relative_humidity;Num_vehicles;FG_network_access;EL_network_access;Polyduct_access;EL_demand
20304;Comanche;La Paz;11.9;-16.9564;-68.4271;23.7;18.1;1592;4040;8.712;60.61;0;0;1;0;0.081
20305;Charana;La Paz;1.41;-17.593;-69.4464;24.9;13.5;1952;4071;7.979;46.85;0.709219858;0;1;0;0.182
20306;Waldo Ballivian;La Paz;53.09;-17.5424;-67.9859;24.3;21;1334;3778;9.458;56.32;0;0;1;0;0.119
20307;Nazacara de Pacajes;La Paz;207.81;-16.9381;-68.7643;24;19.6;1247;3830;9.147;54.23;0;0;1;0;0.081
20308;Callapa;La Paz;6.44;-16.5012;-68.091;21.9;12.8;1384;3550;8.953;77.42;0;0;1;0;0.109
20401;Puerto Acosta;La Paz;53.62;-15.5329;-69.2524;22.8;17;1429;3845;9.496;68.89;33.55091384;0;1;0;0.108
20402;Mocomoco;La Paz;33.21;-16.2142;-68.6534;22.5;18;1112;3848;9.126;62.05;0.060222824;0;1;0;0.105
20403;Puerto Carabuco;La Paz;41.56;-15.7583;-69.0644;22.5;17.1;2838;3830;9.757;70.53;0;0;1;0;0.126
20404;Humanata;La Paz;12.48;-15.4689;-69.13;22.1;15.6;1151;3945;9.851;73.33;0;0;1;0;0.116
20405;Escoma;La Paz;67.77;-15.6614;-69.129;22.5;16.6;1374;3831;9.775;71.65;0;0;1;0;0.118
20501;Chuma;La Paz;29.46;-15.4799;-68.8983;20.9;14.8;1456;2841;10.73;84.48;0.067888663;0;1;0;0.142
20502;Ayata;La Paz;13.34;-15.4594;-68.8346;20.6;14.5;1288;3294;11.063;84.48;0;0;1;0;0.157
20503;Aucapata;La Paz;27.64;-15.4943;-68.7144;20.1;14.8;1180;2802;11.68;85.98;0;0;1;0;0.177
20601;Sorata;La Paz;14.38;-15.7728;-68.6499;21;16.2;4165;2693;10.789;81;18.01112656;0;1;0;0.221
20602;Guanay;La Paz;4.13;-15.4977;-67.8798;17.5;15.5;4854;421;21.292;85.19;11.38014528;0;1;0;0.799
20603;Tacacoma;La Paz;11.74;-15.5892;-68.6452;20.2;14.9;6423;3519;12.017;86.56;0;0;1;0;0.346
20604;Quiabaya;La Paz;31.59;-15.6363;-68.7034;20.6;15.5;10459;2960;11.069;79.71;0;0;1;0;0.157
20605;Combaya;La Paz;35.2;-15.8044;-68.7543;21.5;17.6;1001;3219;9.81;73.14;0;0;1;0;0.118
20606;Tipuani;La Paz;25.39;-15.5649;-68.0188;17.8;15.1;6235;519;19.427;84.6;0;0;1;0;0.713
20607;Mapiri;La Paz;15.79;-15.3096;-68.2148;17.7;15.1;3453;627;19.312;84.48;0;0;1;0;0.697
20608;Teoponte;La Paz;8.42;-15.4956;-67.8191;17.4;15.3;2954;432;21.683;85.19;0;0;1;0;0.652
20701;Apolo;La Paz;1.36;-14.7154;-68.4177;17.8;15.3;2120;1450;18.96;86.06;0;0;1;0;0.31
20702;Pelechuco;La Paz;3.53;-14.8193;-69.0708;20.6;11.8;5149;3586;11.102;83.54;0;0;1;0;0.262
20801;Viacha;La Paz;132.34;-16.6535;-68.3022;22.9;15.3;3795;3870;8.658;64.25;81.34350914;1;1;0;0.432
20802;Guaqui;La Paz;44.88;-16.5974;-68.8369;23.7;18.6;1930;3844;8.946;62.86;0.06684492;0;1;0;0.175
20803;Tiahuanaco;La Paz;38.52;-16.5531;-68.6816;23.4;18.4;2900;3861;8.895;60.01;6.464174455;0;1;0;0.168
20804;Desaguadero;La Paz;86.17;-16.5684;-69.0341;23.9;17.4;2082;3829;8.931;57.45;30.18451897;0;1;0;0.356
20805;San Andres de Machaca;La Paz;5.13;-16.956;-68.9688;24.2;18.2;1490;3930;8.857;52.35;0;0;1;0;0.073
20806;Jesus de Machaca;La Paz;17.48;-16.7441;-68.807;23.8;18.9;1386;3871;9.009;58.38;2.288329519;0;1;0;0.089
20807;Taraco;La Paz;68.16;-16.4568;-68.8586;23.5;18.6;1160;3875;8.938;60.39;25.44014085;0;1;0;0.129
20901;Luribay;La Paz;20.79;-17.0627;-67.6608;22.3;9.87;1355;2568;9.944;71.98;1.635401635;0;1;0;0.203
20902;Sapahaqui;La Paz;19.39;-16.8888;-67.9496;22.6;12.7;1364;3152;9.204;68.92;8.715832904;0;1;0;0.194
20903;Yaco;La Paz;20.54;-17.1585;-67.4113;22.1;9.12;1841;3605;10.353;70.69;0;0;1;0;0.107
20904;Malla;La Paz;14.76;-17.0394;-67.4506;21.6;7.51;1168;3823;10.62;77.16;0;0;1;0;0.136
20905;Cairoma;La Paz;25.11;-16.9044;-67.5397;21.1;6.54;2253;3890;11.14;78.87;0;0;1;0;0.113
21001;Inquisivi;La Paz;5.73;-16.9072;-67.1378;20.5;5.43;3599;2762;12.011;77.97;66.4921466;0;1;0;0.108
21002;Quime;La Paz;12.73;-16.98;-67.2157;20.9;6.13;4495;2992;11.261;82.23;0.157109191;0;1;0;0.341
21003;Cajuata;La Paz;15.95;-16.701;-67.1692;19.6;4.28;1541;1630;13.688;83.79;0;0;1;0;0.464
21004;Colquiri;La Paz;22.13;-17.3919;-67.1249;22.7;11.3;8061;4197;10.154;69.05;4.066877542;0;1;0;0.103
21005;Ichoca;La Paz;11.19;-17.1418;-67.181;21.6;7.69;1511;3630;10.758;74.37;0;0;1;0;0.092
21006;Licoma Pampa;La Paz;51.91;-16.2799;-67.6484;19;5.79;870;1516;15.16;88.19;0;0;1;0;0.271
21101;Chulumani;La Paz;63.78;-16.4085;-67.527;18.7;4.16;1612;1783;15.024;86.61;0.470366886;0;1;0;0.505
21102;Irupana;La Paz;16.61;-16.466;-67.4549;18.7;3.73;2304;1902;14.766;85.46;20.9512342;0;1;0;0.361
21103;Yanacachi;La Paz;13.08;-16.3993;-67.7366;19.7;6.06;2779;2000;13.054;88.31;0;0;1;0;0.434
21104;Palos Blancos;La Paz;7.49;-15.5865;-67.2502;17.4;15.3;2962;425;23.478;89.24;41.78905207;0;1;0;0.443
21105;La Asunta;La Paz;16.1;-16.1264;-67.1958;17.9;7.04;1363;751;19.422;87.23;0.49689441;0;1;0;0.36
21201;Pucarani;La Paz;52.83;-16.3998;-68.4779;22.5;15.7;2506;3867;9.036;62.74;16.37327276;0;1;0;0.207
21202;Laja;La Paz;55.93;-16.5366;-68.3852;22.8;15.3;1343;3863;8.746;66.17;64.79527981;0;1;0;0.377
21203;Batallas;La Paz;20.63;-16.2993;-68.5317;22.4;16.2;1735;3853;9.21;65.17;3.490063015;0;1;0;0.224
21204;Puerto Perez;La Paz;62.1;-16.2847;-68.6005;22.5;17.2;1053;3837;9.138;59.4;0;0;1;0;0.161
21301;Sica Sica;La Paz;19.26;-17.3329;-67.7389;23.5;15.8;1458;3936;9.486;64.27;3.426791277;1;1;1;0.183
21302;Umala;La Paz;10.48;-17.3733;-68.0208;24.1;19.5;1698;3827;9.261;60.9;0.763358779;0;1;0;0.11
21303;Ayo Ayo;La Paz;22.89;-17.091;-68.0026;23.4;16.1;1778;3896;8.848;62.04;1.834862385;0;1;0;0.14
21304;Calamarca;La Paz;30.83;-16.9058;-68.1155;23.3;16.8;1665;4053;8.362;65.37;332.5332468;1;1;0;0.171
21305;Patacamaya;La Paz;43.88;-17.2327;-67.9203;23.5;16.3;1723;3805;9.217;65.01;82.61166819;1;1;0;0.319
21306;Colquencha;La Paz;40.43;-16.9326;-68.2494;23.5;17.5;1781;3985;8.468;62.59;3.240168192;0;1;0;0.234
21307;Collana;La Paz;43.99;-16.9045;-68.2845;23.5;17.3;1885;3967;8.529;60.89;4.910206865;0;1;0;0.209
21401;Coroico;La Paz;28.92;-16.1886;-67.7275;19.1;7.13;2832;1742;15.149;87.56;1.590594744;0;1;0;0.441
21402;Coripata;La Paz;69.06;-16.3132;-67.6036;18.8;5.22;1398;1730;15.299;87.55;0.057920649;0;1;0;0.415
21501;Ixiamas;La Paz;0.33;-13.7676;-68.1259;17.1;24.2;2258;265;24.579;78.74;0;0;1;0;0.758
21502;San Buenaventura;La Paz;3.56;-14.4387;-67.5365;17.4;19.8;2596;212;26.064;84.11;0;0;1;0;0.606
21601;Charazani;La Paz;6.12;-15.1762;-68.9952;21;12.8;1762;3190;10.815;84.44;5.882352941;0;1;0;0.136
21602;Curva;La Paz;10.68;-15.13;-68.9999;21;12.6;1645;3733;10.833;84.44;0;0;1;0;0.109
21701;Copacabana;La Paz;98.42;-16.1657;-69.0854;23.4;18.3;3104;3857;9.299;64.32;0.508026824;0;1;0;0.286
21702;San Pedro de Tiquina;La Paz;148.64;-16.2217;-68.853;23;19;1854;3832;9.023;63.4;0;0;1;0;0.159
21703;Tito Yupanqui;La Paz;504.16;-16.1928;-68.9564;23.2;18.6;829;3835;9.14;63.73;0;0;1;0;0.098
21801;San Pedro de Curahuara;La Paz;12.33;-17.654;-68.0492;24.5;21.1;1513;3894;9.446;50.23;0;0;1;0;0.119
21802;Papel Pampa;La Paz;6.81;-17.8191;-67.7688;24.5;20.9;1687;3738;9.63;50.54;60.49926579;0;1;0;0.24
21803;Chacarilla;La Paz;5.49;-17.5809;-68.2046;24.5;21.3;1208;3842;9.409;50.33;0;0;1;0;0.096
21901;Santiago de Machaca;La Paz;5.3;-17.0661;-69.192;24.5;17.3;1861;3886;8.413;47.95;0;0;1;0;0.069
21902;Catacora;La Paz;9.46;-16.3023;-68.4617;22.2;15.3;1092;3938;9.296;62.74;0;0;1;0;0.114
22001;Caranavi;La Paz;28.11;-15.6946;-67.3921;17.4;12.3;2461;1573;22.494;88.08;137.4955532;0;1;0;0.342
22002;Alto Beni;La Paz;11.05;-15.5765;-67.4404;17.2;14.2;2317;674;23.238;87.81;22.08144796;0;1;0;0.414
30101;Cochabamba;Cochabamba;2286.5;-17.3936;-66.1569;21.2;15.4;3920;2583;13.851;72.31;120.0516073;1;1;1;1.202
30201;Aiquile;Cochabamba;8.45;-18.2002;-65.1806;20.8;19.6;1779;2258;16.357;71.11;7.692307692;1;1;0;0.461
30202;Pasorapa;Cochabamba;2.71;-18.3216;-64.6775;20.2;21.1;1681;2117;18.314;72.63;0.36900369;0;1;0;0.338
30203;Omereque;Cochabamba;8.79;-18.1072;-64.908;20.2;24.8;2580;1582;16.969;72.1;3.981797497;0;1;0;0.449
30301;Independencia;Cochabamba;14.34;-17.0841;-66.8194;20.8;6.7;1097;2645;11.418;71.77;4.672245467;0;1;0;0.147
